dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.642442,1.912244,0.001786,0.178571,8.928571,446.428571,1.577455
0.020000,10.642443,1.912092,0.001937,0.007579,-8.549615,-873.909308,1.577616
0.020000,10.642434,1.913359,0.003204,0.063320,2.787022,566.831834,1.577884
0.020000,10.642346,1.925509,0.015354,0.607534,27.210708,1221.184318,1.578256
0.020000,10.642226,1.941135,0.030981,0.781327,8.689651,-926.052852,1.578729
0.020000,10.642069,1.960240,0.050086,0.955279,8.697600,0.397447,1.579300
0.020000,10.641869,1.982829,0.072676,1.129485,8.710305,0.635245,1.579965
0.020000,10.641620,2.008905,0.098753,1.303855,8.718522,0.410861,1.580719
0.020000,10.641314,2.038474,0.128324,1.478546,8.734541,0.800938,1.581555
0.020000,10.640943,2.071542,0.161394,1.653508,8.748088,0.677359,1.582468
0.020000,10.640498,2.108116,0.197971,1.828838,8.766493,0.920214,1.583450
0.020000,10.639970,2.148203,0.238061,2.004512,8.783693,0.860007,1.584494
0.020000,10.639349,2.191811,0.281673,2.180605,8.804694,1.050057,1.585591
0.020000,10.638624,2.238948,0.328816,2.357136,8.826505,1.090549,1.586731
0.020000,10.637787,2.289622,0.379498,2.534079,8.847173,1.033432,1.587905
0.020000,10.636826,2.343845,0.433729,2.711566,8.874354,1.359044,1.589103
0.020000,10.635733,2.401626,0.491520,2.889546,8.899005,1.232521,1.590313
0.020000,10.634498,2.462975,0.552881,3.068074,8.926368,1.368172,1.591524
0.020000,10.633112,2.527904,0.617825,3.247187,8.955668,1.465013,1.592724
0.020000,10.631569,2.596424,0.686363,3.426870,8.984163,1.424724,1.593900
0.020000,10.629860,2.668548,0.758507,3.607199,9.016451,1.614414,1.595039
0.020000,10.627982,2.744288,0.834270,3.788184,9.049226,1.638720,1.596126
0.020000,10.625930,2.823658,0.913667,3.969820,9.081798,1.628635,1.597148
0.020000,10.623702,2.906672,0.996711,4.152195,9.118789,1.849520,1.598090
0.020000,10.621298,2.993344,1.083416,4.335286,9.154508,1.785942,1.598935
0.020000,10.618721,3.083690,1.173799,4.519137,9.192569,1.903054,1.599667
0.020000,10.615975,3.177726,1.267875,4.703789,9.232610,2.002073,1.600270
0.020000,10.613070,3.275468,1.365660,4.889265,9.273788,2.058880,1.600727
0.020000,10.610016,3.376934,1.467172,5.075601,9.316781,2.149666,1.601018
0.020000,10.606828,3.482142,1.572429,5.262833,9.361633,2.242587,1.601125
0.020000,10.603525,3.591113,1.681449,5.451006,9.408631,2.349919,1.601028
0.020000,10.600132,3.703865,1.794252,5.640163,9.457842,2.460564,1.600705
0.020000,10.596675,3.820421,1.910859,5.830351,9.509429,2.579337,1.600135
0.020000,10.593191,3.940803,2.031292,6.021633,9.564070,2.732062,1.599295
0.020000,10.589717,4.065035,2.155573,6.214061,9.621425,2.867715,1.598160
0.020000,10.586301,4.193144,2.283727,6.407707,9.682302,3.043874,1.596705
0.020000,10.582995,4.325156,2.415780,6.602647,9.746987,3.234237,1.594900
0.020000,10.579863,4.461099,2.551760,6.798981,9.816695,3.485382,1.592719
0.020000,10.576972,4.601005,2.691695,6.996786,9.890251,3.677848,1.590128
0.020000,10.574404,4.744905,2.835619,7.196168,9.969108,3.942828,1.587094
0.020000,10.572248,4.892835,2.983564,7.397270,10.055093,4.299249,1.583580
0.020000,10.570606,5.044831,3.135569,7.600239,10.148452,4.667930,1.579548
0.020000,10.569600,5.199093,3.289834,7.713239,5.650004,-224.922398,1.575011
0.020000,10.569329,5.353799,3.444541,7.735357,1.105910,-227.204685,1.570003
0.020000,10.569873,5.508962,3.599705,7.758180,1.141133,1.761155,1.564510
0.020000,10.571311,5.664589,3.755338,7.781663,1.174138,1.650237,1.558517
0.020000,10.573729,5.820689,3.911456,7.805929,1.213308,1.958497,1.552007
0.020000,10.577217,5.977271,4.068078,7.831081,1.257609,2.215087,1.544963
0.020000,10.581866,6.134345,4.225220,7.857104,1.301158,2.177412,1.537364
0.020000,10.587773,6.291917,4.382903,7.884169,1.353252,2.604716,1.529190
0.020000,10.595041,6.449996,4.541149,7.912299,1.406501,2.662439,1.520417
0.020000,10.603777,6.608587,4.699980,7.941539,1.462012,2.775582,1.511022
0.020000,10.614092,6.767695,4.859422,7.972093,1.527702,3.284475,1.500977
0.020000,10.626107,6.927322,5.019501,8.003933,1.591978,3.213804,1.490254
0.020000,10.639946,7.087468,5.180244,8.037149,1.660813,3.441756,1.478825
0.020000,10.655741,7.248130,5.341681,8.071851,1.735090,3.713847,1.466657
0.020000,10.673632,7.409303,5.503843,8.108110,1.812957,3.893323,1.453717
0.020000,10.693764,7.570974,5.666763,8.145991,1.894059,4.055103,1.439971
0.020000,10.716293,7.733127,5.830474,8.185550,1.977917,4.192938,1.425384
0.020000,10.741382,7.895740,5.995010,8.226828,2.063905,4.299373,1.409917
0.020000,10.769201,8.058781,6.160408,8.269894,2.153301,4.469795,1.393534
0.020000,10.799931,8.222213,6.326704,8.314781,2.244343,4.552106,1.376197
0.020000,10.833758,8.385982,6.493930,8.361321,2.327005,4.133131,1.357868
0.020000,10.870878,8.550029,6.662124,8.409704,2.419138,4.606608,1.338510
0.020000,10.911492,8.714274,6.831316,8.459591,2.494355,3.760852,1.318089
0.020000,10.955810,8.878626,7.001539,8.511131,2.576998,4.132167,1.296573
0.020000,11.004041,9.042972,7.172816,8.563851,2.636020,2.951083,1.273934
0.020000,11.056401,9.207179,7.345169,8.617647,2.689822,2.690123,1.250149
0.020000,11.113102,9.371093,7.518612,8.672180,2.726620,1.839906,1.225204
0.020000,11.174353,9.534533,7.693153,8.727038,2.742906,0.814270,1.199092
0.020000,11.240357,9.697293,7.868787,8.781691,2.732630,-0.513767,1.171816
0.020000,11.311299,9.859139,8.045498,8.835567,2.693842,-1.939431,1.143393
0.020000,11.387351,10.019809,8.223259,8.888025,2.622859,-3.549114,1.113854
0.020000,11.468658,10.179014,8.402025,8.938294,2.513460,-5.469946,1.083244
0.020000,11.555336,10.336442,8.581736,8.985593,2.364968,-7.424623,1.051628
0.020000,11.647463,10.491756,8.762318,9.029098,2.175249,-9.485973,1.019085
0.020000,11.745077,10.644605,8.943678,9.067981,1.944130,-11.555941,0.985715
0.020000,11.848170,10.794626,9.125707,9.101444,1.673181,-13.547444,0.951632
0.020000,11.956684,10.941453,9.308282,9.128763,1.365914,-15.363329,0.916968
0.020000,12.070510,11.084728,9.491268,9.149308,1.027245,-16.933462,0.881866
0.020000,12.189489,11.224104,9.674521,9.162638,0.666501,-18.037201,0.846480
0.020000,12.313413,11.359261,9.857891,9.168486,0.292403,-18.704910,0.810970
0.020000,12.442031,11.489908,10.041225,9.166694,-0.089605,-19.100397,0.775498
0.020000,12.575056,11.615797,10.224374,9.157465,-0.461404,-18.589968,0.740222
0.020000,12.712174,11.736722,10.407197,9.141151,-0.815704,-17.714991,0.705294
0.020000,12.853048,11.852526,10.589559,9.118112,-1.151948,-16.812198,0.670856
0.020000,12.997331,11.963101,10.771341,9.089080,-1.451614,-14.983278,0.637037
0.020000,13.144672,12.068387,10.952434,9.054635,-1.722264,-13.532497,0.603949
0.020000,13.294729,12.168372,11.132750,9.015828,-1.940340,-10.903804,0.571689
0.020000,13.447168,12.263085,11.312217,8.973335,-2.124630,-9.214509,0.540333
0.020000,13.601676,12.352593,11.490778,8.928076,-2.262972,-6.917087,0.509944
0.020000,13.757949,12.436991,11.668385,8.880340,-2.386780,-6.190402,0.480565
0.020000,13.915726,12.516407,11.845022,8.831828,-2.425613,-1.941667,0.452223
0.020000,14.074752,12.590983,12.020666,8.782235,-2.479683,-2.703470,0.424936
0.020000,14.234807,12.660880,12.195318,8.732596,-2.481904,-0.111097,0.398705
0.020000,14.395693,12.726269,12.368984,8.683284,-2.465602,0.815119,0.373523
0.020000,14.557231,12.787326,12.541676,8.634622,-2.433098,1.625202,0.349375
0.020000,14.718423,12.843946,12.712524,8.542351,-4.613560,-109.023119,0.326356
0.020000,14.877188,12.895759,12.879529,8.350267,-9.604196,-249.531801,0.304683
0.020000,15.032318,12.942811,13.041638,8.105444,-12.241155,-131.847902,0.284415
0.020000,15.183725,12.985510,13.198950,7.865627,-11.990878,12.513838,0.265458
0.020000,15.331321,13.024227,13.351540,7.629482,-11.807222,9.182764,0.247723
0.020000,15.475046,13.059304,13.499484,7.397188,-11.614703,9.625983,0.231127
0.020000,15.614871,13.091059,13.642869,7.169261,-11.396374,10.916424,0.215590
0.020000,15.750752,13.119776,13.781752,6.944135,-11.256293,7.004049,0.201039
0.020000,15.882669,13.145719,13.916195,6.722176,-11.097914,7.918977,0.187407
0.020000,16.010619,13.169133,14.046270,6.503743,-10.921692,8.811081,0.174631
0.020000,16.134584,13.190235,14.172018,6.287383,-10.817970,5.186127,0.162654
0.020000,16.254569,13.209230,14.293497,6.073989,-10.669722,7.412395,0.151423
0.020000,16.370567,13.226303,14.410745,5.862383,-10.580312,4.470509,0.140889
0.020000,16.482595,13.241625,14.523816,5.653537,-10.442267,6.902230,0.131006
0.020000,16.590645,13.255350,14.632734,5.445896,-10.382037,3.011480,0.121736
0.020000,16.694735,13.267624,14.737545,5.240581,-10.265776,5.813072,0.113040
0.020000,16.794862,13.278575,14.838270,5.036214,-10.218331,2.372235,0.104884
0.020000,16.891054,13.288328,14.934954,4.834235,-10.098970,5.968080,0.097236
0.020000,16.983302,13.296992,15.027609,4.632716,-10.075969,1.150019,0.090069
0.020000,17.071629,13.304669,15.116269,4.432998,-9.985866,4.505149,0.083356
0.020000,17.156046,13.311454,15.200957,4.234430,-9.928406,2.873012,0.077071
0.020000,17.236548,13.317432,15.281681,4.036200,-9.911514,0.844600,0.071196
0.020000,17.313168,13.322685,15.358481,3.839974,-9.811284,5.011501,0.065707
0.020000,17.385895,13.327283,15.431353,3.643612,-9.818115,-0.341546,0.060588
0.020000,17.454750,13.331295,15.500325,3.448619,-9.749660,3.422741,0.055822
0.020000,17.519744,13.334782,15.565412,3.254355,-9.713207,1.822664,0.051393
0.020000,17.580872,13.337800,15.626615,3.060136,-9.710916,0.114548,0.047287
0.020000,17.638163,13.340402,15.683965,2.867474,-9.633094,3.891096,0.043492
0.020000,17.691604,13.342634,15.737453,2.674405,-9.653488,-1.019711,0.039996
0.020000,17.741216,13.344539,15.787102,2.482449,-9.597761,2.786372,0.036789
0.020000,17.787004,13.346157,15.832917,2.290789,-9.583034,0.736360,0.033862
0.020000,17.828974,13.347523,15.874910,2.099611,-9.558889,1.207209,0.031205
0.020000,17.867126,13.348668,15.913079,1.908485,-9.556283,0.130294,0.028811
0.020000,17.901471,13.349621,15.947438,1.717921,-9.528200,1.404160,0.026674
0.020000,17.932010,13.350407,15.977987,1.527450,-9.523579,0.231062,0.024787
0.020000,17.958752,13.351048,16.004736,1.337476,-9.498659,1.245987,0.023146
0.020000,17.981698,13.351563,16.027688,1.147564,-9.495605,0.152714,0.021745
0.020000,18.000851,13.351969,16.046845,0.957890,-9.483705,0.594986,0.020581
0.020000,18.016220,13.352278,16.062217,0.768599,-9.464575,0.956510,0.019651
0.020000,18.027789,13.352501,16.073788,0.578534,-9.503257,-1.934103,0.018953
0.020000,18.035579,13.352647,16.081580,0.389616,-9.445892,2.868235,0.018484
0.020000,18.039586,13.352721,16.085588,0.200373,-9.462132,-0.811962,0.018243
0.020000,18.040643,13.352740,16.086645,0.052840,-7.376632,104.274974,0.018180
0.020000,18.040643,13.352740,16.086645,0.000000,-2.642023,236.730437,0.018180
