dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.649580,2.458659,0.001786,0.178571,8.928571,446.428571,0.760731
0.020000,10.650340,2.459383,0.002836,0.052500,-6.303562,-761.606667,0.761848
0.020000,10.654302,2.463173,0.008318,0.274130,11.081468,869.251502,0.763707
0.020000,10.665081,2.473521,0.023261,0.747114,23.649218,628.387487,0.766306
0.020000,10.678895,2.486861,0.042464,0.960193,10.653934,-649.764204,0.769638
0.020000,10.695709,2.503220,0.065924,1.172966,10.638677,-0.762833,0.773698
0.020000,10.715483,2.522629,0.093631,1.385374,10.620406,-0.913546,0.778478
0.020000,10.738167,2.545125,0.125578,1.597342,10.598393,-1.100653,0.783969
0.020000,10.763704,2.570747,0.161753,1.808747,10.570251,-1.407116,0.790158
0.020000,10.792029,2.599540,0.202144,2.019527,10.539016,-1.561718,0.797033
0.020000,10.823070,2.631553,0.246735,2.229564,10.501848,-1.858417,0.804577
0.020000,10.856747,2.666836,0.295510,2.438754,10.459474,-2.118703,0.812772
0.020000,10.892972,2.705441,0.348450,2.646999,10.412243,-2.361530,0.821599
0.020000,10.931651,2.747423,0.405533,2.854144,10.357281,-2.748132,0.831034
0.020000,10.972680,2.792834,0.466735,3.060085,10.297041,-3.011977,0.841052
0.020000,11.015952,2.841731,0.532028,3.264683,10.229908,-3.356675,0.851623
0.020000,11.061350,2.894164,0.601384,3.467805,10.156103,-3.690245,0.862716
0.020000,11.108755,2.950185,0.674771,3.669311,10.075260,-4.042121,0.874298
0.020000,11.158039,3.009842,0.752152,3.869059,9.987406,-4.392710,0.886330
0.020000,11.209071,3.073179,0.833490,4.066934,9.893786,-4.681031,0.898773
0.020000,11.261719,3.140237,0.918746,4.262784,9.792459,-5.066352,0.911584
0.020000,11.315845,3.211050,1.007876,4.456487,9.685187,-5.363562,0.924716
0.020000,11.371312,3.285648,1.100835,4.647960,9.573625,-5.578109,0.938124
0.020000,11.427980,3.364055,1.197576,4.837064,9.455202,-5.921183,0.951755
0.020000,11.485712,3.446287,1.298051,5.023743,9.333946,-6.062773,0.965559
0.020000,11.544373,3.532356,1.402209,5.207916,9.208653,-6.264640,0.979482
0.020000,11.603831,3.622264,1.509999,5.389483,9.078370,-6.514140,0.993469
