dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.537188,2.917484,0.001786,0.178571,8.928571,446.428571,1.042948
0.020000,9.537815,2.918559,0.003031,0.062265,-5.815321,-737.194609,1.041623
0.020000,9.539284,2.921063,0.005934,0.145137,4.143589,497.945468,1.039414
0.020000,9.547114,2.934337,0.021345,0.770586,31.272472,1356.444166,1.036317
0.020000,9.557246,2.951374,0.041167,0.991092,11.025297,-1012.358754,1.032327
0.020000,9.569728,2.972156,0.065409,1.212106,11.050680,1.269139,1.027435
0.020000,9.584620,2.996650,0.094075,1.433293,11.059363,0.434177,1.021636
0.020000,9.601992,3.024825,0.127175,1.655008,11.085739,1.318799,1.014919
0.020000,9.621924,3.056638,0.164717,1.877082,11.103708,0.898435,1.007276
0.020000,9.644507,3.092041,0.206709,2.099612,11.126510,1.140107,0.998696
0.020000,9.669843,3.130979,0.253165,2.322778,11.158285,1.588739,0.989169
0.020000,9.698042,3.173382,0.304088,2.546165,11.169378,0.554671,0.978686
0.020000,9.729227,3.219177,0.359493,2.770216,11.202533,1.657730,0.967238
0.020000,9.763526,3.268276,0.419385,2.994609,11.219645,0.855603,0.954815
0.020000,9.801073,3.320573,0.483765,3.219032,11.221157,0.075618,0.941415
0.020000,9.842016,3.375960,0.552642,3.443857,11.241221,1.003168,0.927032
0.020000,9.886503,3.434304,0.626012,3.668483,11.231302,-0.495939,0.911668
0.020000,9.934686,3.495461,0.703869,3.892868,11.219271,-0.601536,0.895328
0.020000,9.986725,3.559274,0.786211,4.117064,11.209799,-0.473603,0.878020
0.020000,10.042772,3.625559,0.873015,4.340212,11.157387,-2.620604,0.859762
0.020000,10.102983,3.694121,0.964263,4.562401,11.109458,-2.396436,0.840575
0.020000,10.167505,3.764747,1.059925,4.783085,11.034194,-3.763211,0.820492
0.020000,10.236483,3.837207,1.159966,5.002056,10.948546,-4.282399,0.799550
0.020000,10.310043,3.911250,1.264338,5.218614,10.827927,-6.030970,0.777799
0.020000,10.388306,3.986614,1.372988,5.432478,10.693166,-6.738036,0.755296
0.020000,10.471370,4.063022,1.485850,5.643131,10.532672,-8.024711,0.732111
0.020000,10.559319,4.140190,1.602854,5.850170,10.351951,-9.036033,0.708320
0.020000,10.652213,4.217822,1.723915,6.053088,10.145911,-10.302019,0.684011
0.020000,10.750089,4.295622,1.848946,6.251519,9.921530,-11.219035,0.659279
0.020000,10.852962,4.373294,1.977848,6.445111,9.679611,-12.095966,0.634227
0.020000,10.960821,4.450548,2.110520,6.633582,9.423569,-12.802066,0.608965
0.020000,11.073632,4.527104,2.246855,6.816746,9.158180,-13.269473,0.583604
0.020000,11.191340,4.602696,2.386745,6.994496,8.887515,-13.533251,0.558261
0.020000,11.313866,4.677076,2.530080,7.166788,8.614610,-13.645245,0.533052
0.020000,11.441117,4.750019,2.676755,7.333760,8.348573,-13.301854,0.508089
0.020000,11.572983,4.821325,2.826665,7.495496,8.086820,-13.087635,0.483485
0.020000,11.709341,4.890819,2.979711,7.652270,7.838682,-12.406877,0.459344
0.020000,11.850062,4.958356,3.135800,7.804446,7.608826,-11.492817,0.435765
0.020000,11.995011,5.023819,3.294846,7.952313,7.393308,-10.775918,0.412840
0.020000,12.144051,5.087122,3.456772,8.096304,7.199547,-9.688016,0.390651
0.020000,12.297043,5.148204,3.621507,8.236756,7.022629,-8.845902,0.369273
0.020000,12.453853,5.207034,3.788990,8.374123,6.868351,-7.713933,0.348771
0.020000,12.612464,5.262962,3.957172,8.409116,1.749639,-255.935564,0.329425
0.020000,12.770876,5.315516,4.124074,8.345097,-3.200948,-247.529379,0.311443
0.020000,12.928996,5.364951,4.289742,8.283394,-3.085140,5.790429,0.294773
0.020000,13.086751,5.411508,4.454223,8.224069,-2.966266,5.943661,0.279365
0.020000,13.244081,5.455419,4.617566,8.167123,-2.847309,5.947886,0.265170
0.020000,13.400936,5.496905,4.779814,8.112440,-2.734135,5.658671,0.252138
0.020000,13.557278,5.536176,4.941013,8.059920,-2.626003,5.406617,0.240224
0.020000,13.713074,5.573431,5.101202,8.009439,-2.524031,5.098602,0.229384
0.020000,13.868299,5.608861,5.260418,7.960837,-2.430093,4.696868,0.219578
0.020000,14.022931,5.642644,5.418698,7.913976,-2.343094,4.349971,0.210770
0.020000,14.176953,5.674954,5.576073,7.868738,-2.261897,4.059848,0.202924
0.020000,14.330351,5.705952,5.732571,7.824935,-2.190119,3.588903,0.196010
0.020000,14.483111,5.735796,5.888219,7.782405,-2.126522,3.179846,0.190002
0.020000,14.635220,5.764634,6.043038,7.740930,-2.073731,2.639573,0.184875
0.020000,14.786667,5.792612,6.197047,7.700467,-2.023181,2.527492,0.180610
0.020000,14.937440,5.819866,6.350263,7.660794,-1.983621,1.977986,0.177189
0.020000,15.087524,5.846530,6.502698,7.621724,-1.953528,1.504654,0.174599
0.020000,15.236906,5.872733,6.654361,7.583169,-1.927736,1.289612,0.172829
0.020000,15.385571,5.898602,6.805260,7.544937,-1.911598,0.806886,0.171873
0.020000,15.533500,5.924259,6.955397,7.506878,-1.902957,0.432074,0.171727
0.020000,15.680673,5.949824,7.104774,7.468850,-1.901399,0.077860,0.172390
0.020000,15.827067,5.975415,7.253388,7.430696,-1.907686,-0.314325,0.173865
0.020000,15.972656,6.001148,7.401234,7.392273,-1.921153,-0.673373,0.176157
0.020000,16.117410,6.027137,7.548302,7.353401,-1.943613,-1.122988,0.179276
