dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.349247,2.444029,0.001786,0.178571,8.928571,446.428571,1.042948
0.020000,10.349247,2.444029,0.007143,0.357143,8.928571,0.000000,1.041623
0.020000,10.349665,2.444741,0.016071,0.535714,8.928571,0.000000,1.039414
0.020000,10.356017,2.455508,0.028571,0.714286,8.928571,-0.000000,1.036317
0.020000,10.364230,2.469321,0.044643,0.892857,8.928571,0.000000,1.032327
0.020000,10.374346,2.486161,0.064286,1.071429,8.928571,0.000000,1.027435
0.020000,10.386405,2.505997,0.087500,1.250000,8.928571,0.000000,1.021636
0.020000,10.400464,2.528798,0.114286,1.428571,8.928571,-0.000000,1.014919
0.020000,10.416581,2.554523,0.144643,1.607143,8.928571,0.000000,1.007276
0.020000,10.434827,2.583126,0.178571,1.785714,8.928571,0.000000,0.998696
0.020000,10.455279,2.614558,0.216071,1.964286,8.928571,0.000000,0.989169
0.020000,10.478021,2.648756,0.257143,2.142857,8.928571,-0.000000,0.978686
0.020000,10.503149,2.685656,0.301786,2.321429,8.928571,0.000000,0.967238
0.020000,10.530760,2.725182,0.350000,2.500000,8.928571,-0.000000,0.954815
0.020000,10.560961,2.767247,0.401786,2.678571,8.928571,0.000000,0.941415
0.020000,10.593868,2.811762,0.457143,2.857143,8.928571,-0.000000,0.927032
0.020000,10.629598,2.858622,0.516071,3.035714,8.928571,0.000000,0.911668
0.020000,10.668275,2.907714,0.578571,3.214286,8.928571,-0.000000,0.895328
0.020000,10.710032,2.958918,0.644643,3.392857,8.928571,0.000000,0.878020
0.020000,10.754998,3.012098,0.714286,3.571429,8.928571,-0.000000,0.859762
0.020000,10.803308,3.067109,0.787500,3.750000,8.928571,0.000000,0.840575
0.020000,10.855098,3.123797,0.864286,3.928571,8.928571,0.000000,0.820492
0.020000,10.910502,3.181999,0.944643,4.107143,8.928571,0.000000,0.799550
0.020000,10.969653,3.241538,1.028571,4.285714,8.928571,-0.000000,0.777799
0.020000,11.032680,3.302230,1.116071,4.464286,8.928571,0.000000,0.755296
0.020000,11.099705,3.363883,1.207143,4.642857,8.928571,0.000000,0.732111
0.020000,11.170844,3.426301,1.301786,4.821429,8.928571,0.000000,0.708320
0.020000,11.246205,3.489280,1.400000,5.000000,8.928571,-0.000000,0.684011
0.020000,11.325883,3.552613,1.501786,5.178571,8.928571,0.000000,0.659279
0.020000,11.409964,3.616096,1.607143,5.357143,8.928571,0.000000,0.634227
0.020000,11.498518,3.679522,1.716071,5.535714,8.928571,0.000000,0.608965
0.020000,11.591605,3.742691,1.828571,5.714286,8.928571,-0.000000,0.583604
0.020000,11.689269,3.805409,1.944643,5.892857,8.928571,0.000000,0.558261
0.020000,11.791540,3.867491,2.064286,6.071429,8.928571,0.000000,0.533052
0.020000,11.898436,3.928764,2.187500,6.250000,8.928571,0.000000,0.508089
0.020000,12.009958,3.989068,2.314286,6.428571,8.928571,-0.000000,0.483485
0.020000,12.126100,4.048256,2.444643,6.607143,8.928571,0.000000,0.459344
0.020000,12.246840,4.106201,2.578571,6.785714,8.928571,0.000000,0.435765
0.020000,12.372151,4.162793,2.716071,6.964286,8.928571,0.000000,0.412840
0.020000,12.501994,4.217940,2.857143,7.142857,8.928571,-0.000000,0.390651
0.020000,12.636324,4.271570,3.001786,7.321429,8.928571,0.000000,0.369273
0.020000,12.775092,4.323629,3.150000,7.500000,8.928571,0.000000,0.348771
0.020000,12.916554,4.373507,3.300000,7.500000,0.000000,-446.428571,0.329425
0.020000,13.058922,4.420738,3.450000,7.500000,0.000000,0.000000,0.311443
0.020000,13.202088,4.465495,3.600000,7.500000,0.000000,0.000000,0.294773
0.020000,13.345952,4.507951,3.750000,7.500000,0.000000,0.000000,0.279365
0.020000,13.490429,4.548274,3.900000,7.500000,0.000000,0.000000,0.265170
0.020000,13.635442,4.586627,4.050000,7.500000,0.000000,0.000000,0.252138
0.020000,13.780922,4.623168,4.200000,7.500000,0.000000,0.000000,0.240224
0.020000,13.926809,4.658053,4.350000,7.500000,0.000000,0.000000,0.229384
0.020000,14.073048,4.691431,4.500000,7.500000,0.000000,0.000000,0.219578
0.020000,14.219590,4.723446,4.650000,7.500000,0.000000,0.000000,0.210770
0.020000,14.366395,4.754241,4.800000,7.500000,0.000000,0.000000,0.202924
0.020000,14.513423,4.783952,4.950000,7.500000,0.000000,0.000000,0.196010
0.020000,14.660640,4.812712,5.100000,7.500000,0.000000,0.000000,0.190002
0.020000,14.808015,4.840653,5.250000,7.500000,0.000000,0.000000,0.184875
0.020000,14.955519,4.867901,5.400000,7.500000,0.000000,0.000000,0.180610
0.020000,15.103127,4.894583,5.550000,7.500000,0.000000,0.000000,0.177189
0.020000,15.250814,4.920821,5.700000,7.500000,0.000000,0.000000,0.174599
0.020000,15.398558,4.946737,5.850000,7.500000,0.000000,0.000000,0.172829
0.020000,15.546338,4.972452,6.000000,7.500000,0.000000,0.000000,0.171873
0.020000,15.694132,4.998086,6.150000,7.500000,0.000000,0.000000,0.171727
0.020000,15.841919,5.023757,6.300000,7.500000,0.000000,0.000000,0.172390
0.020000,15.989678,5.049587,6.450000,7.500000,0.000000,0.000000,0.173865
0.020000,16.137389,5.075695,6.600000,7.500000,0.000000,0.000000,0.176157
0.020000,16.285028,5.102202,6.750000,7.500000,0.000000,0.000000,0.179276
0.020000,16.432573,5.129231,6.900000,7.500000,0.000000,0.000000,0.183234
0.020000,16.579997,5.156907,7.050000,7.500000,0.000000,0.000000,0.188047
0.020000,16.727275,5.185356,7.200000,7.500000,0.000000,0.000000,0.193734
0.020000,16.874374,5.214708,7.350000,7.500000,0.000000,0.000000,0.200317
0.020000,17.021264,5.245095,7.500000,7.500000,0.000000,0.000000,0.207823
0.020000,17.167907,5.276653,7.650000,7.500000,0.000000,0.000000,0.216280
0.020000,17.314261,5.309521,7.800000,7.500000,0.000000,0.000000,0.225721
0.020000,17.460281,5.343844,7.950000,7.500000,0.000000,0.000000,0.236182
0.020000,17.605914,5.379769,8.100000,7.500000,0.000000,0.000000,0.247703
0.020000,17.751103,5.417449,8.250000,7.500000,0.000000,0.000000,0.260325
0.020000,17.895783,5.457041,8.400000,7.500000,0.000000,0.000000,0.274095
0.020000,18.039879,5.498706,8.550000,7.500000,0.000000,0.000000,0.289058
0.020000,18.183308,5.542612,8.700000,7.500000,0.000000,0.000000,0.305266
0.020000,18.325976,5.588928,8.850000,7.500000,0.000000,0.000000,0.322768
0.020000,18.467778,5.637828,9.000000,7.500000,0.000000,0.000000,0.341615
0.020000,18.608599,5.689490,9.150000,7.500000,0.000000,0.000000,0.361856
0.020000,18.748305,5.744091,9.300000,7.500000,0.000000,0.000000,0.383539
0.020000,18.886751,5.801810,9.450000,7.500000,0.000000,0.000000,0.406704
0.020000,19.023778,5.862825,9.600000,7.500000,0.000000,0.000000,0.431387
0.020000,19.159205,5.927306,9.750000,7.500000,0.000000,0.000000,0.457613
0.020000,19.292843,5.995421,9.900000,7.500000,0.000000,0.000000,0.485394
0.020000,19.424481,6.067323,10.050000,7.500000,0.000000,0.000000,0.514726
0.020000,19.553894,6.143153,10.200000,7.500000,0.000000,0.000000,0.545585
0.020000,19.680846,6.223036,10.350000,7.500000,0.000000,0.000000,0.577926
0.020000,19.805089,6.307069,10.500000,7.500000,0.000000,0.000000,0.611675
0.020000,19.926366,6.395327,10.650000,7.500000,0.000000,0.000000,0.646733
0.020000,20.044419,6.487852,10.800000,7.500000,0.000000,0.000000,0.682970
0.020000,20.158991,6.584653,10.950000,7.500000,0.000000,0.000000,0.720229
0.020000,20.269834,6.685703,11.100000,7.500000,0.000000,0.000000,0.758327
0.020000,20.376712,6.790937,11.250000,7.500000,0.000000,0.000000,0.797055
0.020000,20.479410,6.900253,11.400000,7.500000,0.000000,0.000000,0.836192
0.020000,20.577741,7.013514,11.550000,7.500000,0.000000,0.000000,0.875504
0.020000,20.671546,7.130551,11.700000,7.500000,0.000000,0.000000,0.914756
0.020000,20.760700,7.251168,11.850000,7.500000,0.000000,0.000000,0.953720
0.020000,20.845118,7.375146,12.000000,7.500000,0.000000,0.000000,0.992179
0.020000,20.924749,7.502253,12.150000,7.500000,0.000000,0.000000,1.029938
0.020000,20.999546,7.632180,12.299927,7.492705,-0.364771,-18.238574,1.066808
0.020000,21.068729,7.763083,12.447995,7.314133,-8.928571,-428.189997,1.102225
0.020000,21.131802,7.893080,12.592492,7.135562,-8.928571,0.000000,1.135728
0.020000,21.189157,8.021797,12.733418,6.956990,-8.928571,0.000000,1.167317
0.020000,21.241191,8.148912,12.870772,6.778419,-8.928571,-0.000000,1.197027
0.020000,21.288285,8.274127,13.004555,6.599847,-8.928571,0.000000,1.224910
0.020000,21.330814,8.397188,13.134766,6.421276,-8.928571,0.000000,1.251036
0.020000,21.369139,8.517889,13.261406,6.242705,-8.928571,0.000000,1.275487
0.020000,21.403599,8.636031,13.384474,6.064133,-8.928571,-0.000000,1.298349
0.020000,21.434513,8.751454,13.503971,5.885562,-8.928571,0.000000,1.319712
0.020000,21.462187,8.864029,13.619897,5.706990,-8.928571,0.000000,1.339664
0.020000,21.486899,8.973630,13.732251,5.528419,-8.928571,0.000000,1.358294
0.020000,21.508910,9.080158,13.841033,5.349847,-8.928571,-0.000000,1.375683
0.020000,21.528465,9.183537,13.946245,5.171276,-8.928571,0.000000,1.391915
0.020000,21.545787,9.283686,14.047884,4.992705,-8.928571,0.000000,1.407061
0.020000,21.561084,9.380553,14.145953,4.814133,-8.928571,0.000000,1.421195
0.020000,21.574549,9.474090,14.240450,4.635562,-8.928571,0.000000,1.434383
0.020000,21.586356,9.564238,14.331375,4.456990,-8.928571,-0.000000,1.446682
0.020000,21.596671,9.650983,14.418729,4.278419,-8.928571,0.000000,1.458151
0.020000,21.605641,9.734284,14.502512,4.099847,-8.928571,0.000000,1.468842
0.020000,21.613406,9.814116,14.582723,3.921276,-8.928571,0.000000,1.478801
0.020000,21.620091,9.890465,14.659363,3.742705,-8.928571,-0.000000,1.488073
0.020000,21.625813,9.963306,14.732431,3.564133,-8.928571,0.000000,1.496696
0.020000,21.630680,10.032635,14.801928,3.385562,-8.928571,0.000000,1.504708
0.020000,21.634788,10.098432,14.867854,3.206990,-8.928571,-0.000000,1.512142
0.020000,21.638228,10.160688,14.930208,3.028419,-8.928571,0.000000,1.519026
0.020000,21.641082,10.219403,14.988991,2.849847,-8.928571,-0.000000,1.525391
0.020000,21.643426,10.274564,15.044202,2.671276,-8.928571,0.000000,1.531259
0.020000,21.645328,10.326175,15.095842,2.492705,-8.928571,-0.000000,1.536655
0.020000,21.646850,10.374216,15.143910,2.314133,-8.928571,0.000000,1.541597
0.020000,21.648048,10.418698,15.188407,2.135562,-8.928571,-0.000000,1.546106
0.020000,21.648975,10.459611,15.229332,1.956990,-8.928571,0.000000,1.550196
0.020000,21.649675,10.496954,15.266687,1.778419,-8.928571,0.000000,1.553883
0.020000,21.650191,10.530738,15.300469,1.599847,-8.928571,0.000000,1.557181
0.020000,21.650558,10.560945,15.330680,1.421276,-8.928571,0.000000,1.560100
0.020000,21.650809,10.587581,15.357320,1.242705,-8.928571,0.000000,1.562651
0.020000,21.650971,10.610649,15.380389,1.064133,-8.928571,0.000000,1.564844
0.020000,21.651069,10.630149,15.399886,0.885562,-8.928571,0.000000,1.566684
0.020000,21.651123,10.646073,15.415811,0.706990,-8.928571,0.000000,1.568179
0.020000,21.651148,10.658425,15.428165,0.528419,-8.928571,-0.000000,1.569334
0.020000,21.651157,10.667208,15.436948,0.349847,-8.928571,0.000000,1.570152
0.020000,21.651160,10.672424,15.442159,0.171276,-8.928571,0.000000,1.570637
0.020000,21.651160,10.674140,15.443872,0.000000,-8.563800,18.238574,1.570796
0.020000,21.651160,10.674140,15.443872,0.000000,0.000000,428.189997,1.570796
