dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.947130,2.651462,0.001786,0.178571,8.928571,446.428571,1.043187
0.020000,10.946463,2.650319,0.003109,0.066151,-5.621009,-727.479032,1.041780
0.020000,10.945707,2.649027,0.004606,0.074870,0.435934,302.847142,1.039432
0.020000,10.950486,2.657128,0.014011,0.470264,19.769687,966.687667,1.036139
0.020000,10.956662,2.667507,0.026089,0.603890,6.681341,-654.417319,1.031891
0.020000,10.964261,2.680141,0.040833,0.737165,6.663723,-0.880858,1.026677
0.020000,10.973312,2.694996,0.058228,0.869786,6.631055,-1.633422,1.020487
0.020000,10.983851,2.712036,0.078264,1.001764,6.598919,-1.606813,1.013305
0.020000,10.995918,2.731216,0.100923,1.132987,6.561149,-1.888489,1.005116
0.020000,11.009559,2.752485,0.126192,1.263419,6.521590,-1.977962,0.995905
0.020000,11.024828,2.775790,0.154053,1.393070,6.482526,-1.953181,0.985651
0.020000,11.041782,2.801067,0.184489,1.521789,6.435942,-2.329223,0.974339
0.020000,11.060485,2.828251,0.217485,1.649812,6.401161,-1.739019,0.961949
0.020000,11.081007,2.857267,0.253026,1.777032,6.361020,-2.007079,0.948465
0.020000,11.103422,2.888036,0.291094,1.903391,6.317933,-2.154342,0.933872
0.020000,11.127815,2.920473,0.331678,2.029248,6.292848,-1.254224,0.918157
0.020000,11.154271,2.954488,0.374771,2.154626,6.268916,-1.196613,0.901311
0.020000,11.182887,2.989986,0.420367,2.279781,6.257760,-0.557817,0.883330
0.020000,11.213766,3.026870,0.468470,2.405185,6.270206,0.622334,0.864215
0.020000,11.247016,3.065035,0.519087,2.530855,6.283467,0.663045,0.843976
0.020000,11.282755,3.104373,0.572236,2.657451,6.329816,2.317434,0.822631
0.020000,11.321107,3.144775,0.627943,2.785324,6.393670,3.192681,0.800210
0.020000,11.362207,3.186130,0.686247,2.915221,6.494843,5.058691,0.776750
0.020000,11.406196,3.228318,0.747197,3.047472,6.612535,5.884596,0.752306
0.020000,11.453221,3.271223,0.810854,3.182862,6.769485,7.847463,0.726944
0.020000,11.503443,3.314724,0.877296,3.322109,6.962361,9.643834,0.700744
0.020000,11.557023,3.358698,0.946611,3.465725,7.180825,10.923183,0.673802
0.020000,11.614133,3.403017,1.018900,3.614464,7.436942,12.805877,0.646225
0.020000,11.674945,3.447555,1.094277,3.768862,7.719869,14.146340,0.618134
0.020000,11.739637,3.492177,1.172866,3.929444,8.029134,15.463237,0.589660
0.020000,11.808384,3.536749,1.254798,4.096588,8.357178,16.402217,0.560943
0.020000,11.881358,3.581133,1.340209,4.270570,8.699079,17.095050,0.532129
0.020000,11.958725,3.625188,1.429240,4.451524,9.047732,17.432636,0.503365
0.020000,12.040639,3.668771,1.522027,4.639373,9.392451,17.235943,0.474800
0.020000,12.127246,3.711740,1.618708,4.834020,9.732354,16.995175,0.446576
0.020000,12.218673,3.753955,1.719410,5.035112,10.054573,16.110911,0.418831
0.020000,12.315032,3.795277,1.824255,5.242258,10.357338,15.138260,0.391694
0.020000,12.416414,3.835575,1.933352,5.454858,10.629982,13.632214,0.365282
0.020000,12.522894,3.874725,2.046802,5.672501,10.882139,12.607856,0.339699
0.020000,12.634528,3.912615,2.164691,5.894438,11.096841,10.735088,0.315040
0.020000,12.751352,3.949144,2.287093,6.120090,11.282602,9.288067,0.291383
0.020000,12.873388,3.984226,2.414071,6.348908,11.440896,7.914695,0.268794
0.020000,12.999133,4.017412,2.544121,6.502503,7.679776,-188.056024,0.247573
0.020000,13.126973,4.048372,2.675657,6.576784,3.714063,-198.285650,0.227932
0.020000,13.256758,4.077221,2.808610,6.647671,3.544347,-8.485774,0.209800
0.020000,13.388352,4.104078,2.942917,6.715332,3.383022,-8.066277,0.193107
0.020000,13.521626,4.129063,3.078512,6.779774,3.222126,-8.044782,0.177784
0.020000,13.656461,4.152300,3.215335,6.841148,3.068663,-7.673139,0.163767
0.020000,13.792751,4.173913,3.353328,6.899633,2.924254,-7.220460,0.150994
0.020000,13.930398,4.194027,3.492436,6.955431,2.789911,-6.717140,0.139408
0.020000,14.069315,4.212765,3.632612,7.008755,2.666195,-6.185798,0.128956
0.020000,14.209423,4.230254,3.773807,7.059764,2.550438,-5.787863,0.119590
0.020000,14.350654,4.246616,3.915982,7.108776,2.450605,-4.991657,0.111267
0.020000,14.492947,4.261975,4.059102,7.155985,2.360445,-4.508013,0.103948
0.020000,14.636249,4.276453,4.203133,7.201567,2.279137,-4.065387,0.097598
0.020000,14.780512,4.290172,4.348048,7.245714,2.207320,-3.590845,0.092188
0.020000,14.925699,4.303254,4.493822,7.288734,2.151016,-2.815196,0.087693
0.020000,15.071773,4.315821,4.640437,7.330721,2.099323,-2.584630,0.084091
0.020000,15.218709,4.327993,4.787875,7.371933,2.060601,-1.936116,0.081366
0.020000,15.366481,4.339894,4.936126,7.412549,2.030831,-1.488493,0.079505
0.020000,15.515072,4.351647,5.085181,7.452743,2.009713,-1.055906,0.078500
0.020000,15.664467,4.363377,5.235036,7.492728,1.999208,-0.525285,0.078345
0.020000,15.814655,4.375209,5.385689,7.532677,1.997478,-0.086485,0.079040
0.020000,15.965629,4.387274,5.537145,7.572767,2.004495,0.350841,0.080588
0.020000,16.117385,4.399703,5.689409,7.613217,2.022514,0.900973,0.082997
0.020000,16.269922,4.412633,5.842493,7.654174,2.047828,1.265705,0.086277
0.020000,16.423239,4.426205,5.996410,7.695856,2.084104,1.813795,0.090444
0.020000,16.577341,4.440563,6.151179,7.738476,2.131011,2.345342,0.095518
0.020000,16.732231,4.455861,6.306822,7.782160,2.184196,2.659243,0.101522
0.020000,16.887914,4.472256,6.463367,7.827220,2.252976,3.438990,0.108484
0.020000,17.044397,4.489916,6.620843,7.873794,2.328741,3.788254,0.116437
0.020000,17.201683,4.509016,6.779284,7.922078,2.414198,4.272852,0.125418
0.020000,17.359777,4.529743,6.938731,7.972329,2.512508,4.915532,0.135469
0.020000,17.518681,4.552292,7.099226,8.024784,2.622772,5.513207,0.146636
0.020000,17.678393,4.576873,7.260820,8.079659,2.743729,6.047806,0.158969
0.020000,17.838907,4.603708,7.423562,8.137104,2.872275,6.427298,0.172526
0.020000,18.000211,4.633035,7.587509,8.197365,3.013024,7.037454,0.187365
0.020000,18.162280,4.665105,7.752721,8.260620,3.162752,7.486398,0.203551
0.020000,18.325085,4.700187,7.919263,8.327094,3.323711,8.047979,0.221150
0.020000,18.488577,4.738567,8.087199,8.396798,3.485193,8.074082,0.240233
0.020000,18.652688,4.780548,8.256595,8.469782,3.649195,8.200093,0.260870
0.020000,18.817331,4.826448,8.427516,8.546056,3.813722,8.226370,0.283131
0.020000,18.982392,4.876601,8.600029,8.625640,3.979191,8.273470,0.307085
0.020000,19.147720,4.931354,8.774187,8.707908,4.113387,6.709794,0.332791
0.020000,19.313130,4.991063,8.950044,8.792864,4.247817,6.721487,0.360304
0.020000,19.478388,5.056085,9.127634,8.879484,4.330984,4.158335,0.389662
0.020000,19.643212,5.126772,9.306976,8.967102,4.380932,2.497410,0.420885
0.020000,19.807264,5.203465,9.488069,9.054677,4.378724,-0.110386,0.453972
0.020000,19.970146,5.286471,9.670882,9.140644,4.298380,-4.017192,0.488889
0.020000,20.131400,5.376060,9.855352,9.223470,4.141276,-7.855231,0.525570
0.020000,20.290512,5.472441,10.041378,9.301312,3.892093,-12.459129,0.563908
0.020000,20.446916,5.575750,10.228822,9.372181,3.543467,-17.431287,0.603756
0.020000,20.600011,5.686033,10.417503,9.434055,3.093715,-22.487638,0.644920
0.020000,20.749175,5.803236,10.607203,9.485014,2.547953,-27.288063,0.687170
0.020000,20.893783,5.927194,10.797669,9.523291,1.913847,-31.705332,0.730235
0.020000,21.033241,6.057635,10.988623,9.547724,1.221637,-34.610512,0.773821
0.020000,21.167004,6.194187,11.179775,9.557575,0.492558,-36.453931,0.817615
0.020000,21.294597,6.336384,11.370824,9.552461,-0.255688,-37.412275,0.861302
0.020000,21.415640,6.483696,11.561487,9.533132,-0.966487,-35.539995,0.904575
0.020000,21.529852,6.635541,11.751490,9.500168,-1.648190,-34.085147,0.947149
0.020000,21.637063,6.791325,11.940601,9.455538,-2.231507,-29.165839,0.988772
0.020000,21.737207,6.950451,12.128616,9.400769,-2.738432,-25.346239,1.029228
0.020000,21.830315,7.112346,12.315376,9.338002,-3.138380,-19.997383,1.068344
0.020000,21.915892,7.275266,12.499404,9.201397,-6.830230,-184.592495,1.105721
0.020000,21.993363,7.436716,12.678479,8.953762,-12.381751,-277.576056,1.140885
0.020000,22.062987,7.595433,12.851795,8.665798,-14.398192,-100.822061,1.173720
0.020000,22.125429,7.751008,13.019434,8.381929,-14.193447,10.237253,1.204314
0.020000,22.181331,7.903131,13.181503,8.103472,-13.922842,13.530225,1.232781
0.020000,22.231296,8.051567,13.338122,7.830952,-13.626027,14.840778,1.259243
0.020000,22.275883,8.196121,13.489397,7.563740,-13.360599,13.271378,1.283825
0.020000,22.315613,8.336675,13.635458,7.303030,-13.035484,16.255750,1.306655
0.020000,22.350959,8.473122,13.776408,7.047531,-12.774978,13.025312,1.327856
0.020000,22.382358,8.605414,13.912376,6.798367,-12.458186,15.839621,1.347547
0.020000,22.410201,8.733503,14.043456,6.554012,-12.217723,12.023132,1.365840
0.020000,22.434847,8.857371,14.169753,6.314844,-11.958397,12.966301,1.382839
0.020000,22.456617,8.976999,14.291345,6.079621,-11.761149,9.862410,1.398640
0.020000,22.475806,9.092398,14.408328,5.849148,-11.523660,11.874444,1.413332
0.020000,22.492675,9.203571,14.520774,5.622280,-11.343414,9.012288,1.426996
0.020000,22.507467,9.310540,14.628761,5.399381,-11.144958,9.922804,1.439709
0.020000,22.520395,9.413298,14.732329,5.178360,-11.051022,4.696792,1.451535
0.020000,22.531656,9.511886,14.831558,4.961489,-10.843581,10.372074,1.462539
0.020000,22.541428,9.606321,14.926497,4.746929,-10.727999,5.779094,1.472775
0.020000,22.549873,9.696626,15.017197,4.534982,-10.597340,6.532942,1.482297
0.020000,22.557134,9.782808,15.103684,4.324358,-10.531200,3.306978,1.491147
0.020000,22.563346,9.864911,15.186022,4.116887,-10.373567,7.881643,1.499371
0.020000,22.568629,9.942941,15.264230,3.910411,-10.323777,2.489523,1.507004
0.020000,22.573091,10.016917,15.338341,3.705557,-10.242694,4.054130,1.514082
0.020000,22.576831,10.086859,15.408382,3.502065,-10.174600,3.404720,1.520635
0.020000,22.579940,10.152796,15.474393,3.300550,-10.075783,4.940853,1.526693
0.020000,22.582500,10.214739,15.536389,3.099774,-10.038779,1.850213,1.532280
0.020000,22.584585,10.272712,15.594399,2.900497,-9.963826,3.747618,1.537420
0.020000,22.586260,10.326720,15.648433,2.701708,-9.939461,1.218242,1.542132
0.020000,22.587587,10.376775,15.698506,2.503653,-9.902764,1.834878,1.546436
0.020000,22.588621,10.422895,15.744637,2.306574,-9.853944,2.440972,1.550348
0.020000,22.589409,10.465102,15.786852,2.110709,-9.793278,3.033320,1.553884
0.020000,22.589996,10.503393,15.825147,1.914774,-9.796712,-0.171699,1.557056
0.020000,22.590420,10.537794,15.859550,1.720166,-9.730411,3.315034,1.559877
0.020000,22.590715,10.568295,15.890053,1.525144,-9.751099,-1.034367,1.562355
0.020000,22.590911,10.594914,15.916673,1.330985,-9.707934,2.158226,1.564502
0.020000,22.591034,10.617655,15.939415,1.137082,-9.695184,0.637517,1.566323
0.020000,22.591104,10.636520,15.958279,0.943230,-9.692588,0.129774,1.567824
0.020000,22.591140,10.651530,15.973289,0.750495,-9.636727,2.793071,1.569014
0.020000,22.591155,10.662668,15.984428,0.556939,-9.677827,-2.054996,1.569893
0.020000,22.591159,10.669958,15.991717,0.364461,-9.623888,2.696952,1.570467
0.020000,22.591160,10.673389,15.995148,0.171570,-9.644547,-1.032968,1.570737
0.020000,22.591160,10.674140,15.995899,0.037522,-6.702401,147.107335,1.570796
0.020000,22.591160,10.674140,15.995899,0.000000,-1.876108,241.314630,1.570796
