dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.717019,10.480937,0.001875,0.187500,9.375000,468.750000,0.043124
0.020000,6.717588,10.480962,0.002445,0.028490,-7.950504,-866.275222,0.042518
0.020000,6.719782,10.481054,0.004641,0.109822,4.066623,600.856387,0.041508
0.020000,6.734223,10.481643,0.019094,0.722642,30.640995,1328.718573,0.040096
0.020000,6.752789,10.482371,0.037675,0.929031,10.319442,-1016.077615,0.038281
0.020000,6.775483,10.483215,0.060383,1.135436,10.320255,0.040621,0.036065
0.020000,6.802300,10.484147,0.087217,1.341660,10.311174,-0.454065,0.033449
0.020000,6.833242,10.485136,0.118175,1.547906,10.312304,0.056514,0.030436
0.020000,6.868307,10.486144,0.153255,1.753989,10.304168,-0.406800,0.027026
0.020000,6.907494,10.487129,0.192454,1.959954,10.298268,-0.294987,0.023224
0.020000,6.950802,10.488044,0.235771,2.165878,10.296181,-0.104345,0.019030
0.020000,6.998226,10.488838,0.283202,2.371532,10.282701,-0.674027,0.014449
0.020000,7.049763,10.489454,0.334743,2.577051,10.275923,-0.338882,0.009485
0.020000,7.105409,10.489833,0.390390,2.782353,10.265101,-0.541116,0.004143
0.020000,7.165157,10.489910,0.450138,2.987395,10.252100,-0.650019,6.281612
0.020000,7.229000,10.489615,0.513982,3.192196,10.240093,-0.600390,6.275528
0.020000,7.296929,10.488876,0.581915,3.396676,10.223966,-0.806317,6.269082
0.020000,7.368935,10.487615,0.653931,3.600811,10.206777,-0.859474,6.262283
0.020000,7.445003,10.485753,0.730023,3.804554,10.187112,-0.983243,6.255138
0.020000,7.525119,10.483205,0.810179,4.007848,10.164710,-1.120106,6.247657
0.020000,7.609267,10.479885,0.894393,4.210666,10.140915,-1.189730,6.239850
0.020000,7.697427,10.475703,0.982652,4.412951,10.114269,-1.332312,6.231729
0.020000,7.789577,10.470567,1.074945,4.614654,10.085138,-1.456522,6.223305
0.020000,7.885693,10.464384,1.171259,4.815713,10.052938,-1.610024,6.214592
0.020000,7.985747,10.457057,1.271581,5.016094,10.019051,-1.694341,6.205606
0.020000,8.089709,10.448491,1.375896,5.215725,9.981549,-1.875132,6.196361
0.020000,8.197545,10.438588,1.484186,5.414512,9.939329,-2.110975,6.186876
0.020000,8.309220,10.427251,1.596435,5.612448,9.896810,-2.125943,6.177170
0.020000,8.424694,10.414383,1.712624,5.809439,9.849587,-2.361140,6.167261
0.020000,8.543925,10.399887,1.832732,6.005438,9.799938,-2.482477,6.157171
0.020000,8.666868,10.383670,1.956740,6.200407,9.748417,-2.576034,6.146922
0.020000,8.793476,10.365638,2.084625,6.394244,9.691881,-2.826829,6.136539
0.020000,8.923697,10.345702,2.216364,6.586934,9.634471,-2.870480,6.126045
0.020000,9.057480,10.323776,2.351932,6.778405,9.573592,-3.043967,6.115467
0.020000,9.194771,10.299777,2.491304,6.968610,9.510224,-3.168372,6.104830
0.020000,9.335512,10.273627,2.634455,7.157515,9.445247,-3.248839,6.094164
0.020000,9.479647,10.245252,2.781356,7.345068,9.377679,-3.378431,6.083497
0.020000,9.627117,10.214584,2.931981,7.531239,9.308516,-3.458135,6.072858
