dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.727270,9.572928,0.001800,0.180000,9.000000,450.000000,0.017478
0.020000,4.727270,9.572928,0.007200,0.360000,9.000000,0.000000,0.017268
0.020000,4.728033,9.572940,0.016200,0.540000,9.000000,0.000000,0.016918
0.020000,4.740631,9.573151,0.028800,0.720000,9.000000,-0.000000,0.016428
0.020000,4.756829,9.573412,0.045000,0.900000,9.000000,0.000000,0.015799
0.020000,4.776627,9.573717,0.064800,1.080000,9.000000,0.000000,0.015031
0.020000,4.800025,9.574058,0.088200,1.260000,9.000000,0.000000,0.014125
0.020000,4.827022,9.574425,0.115200,1.440000,9.000000,-0.000000,0.013082
0.020000,4.857620,9.574807,0.145800,1.620000,9.000000,0.000000,0.011902
0.020000,4.891817,9.575192,0.180000,1.800000,9.000000,0.000000,0.010588
0.020000,4.929616,9.575565,0.217800,1.980000,9.000000,-0.000000,0.009139
0.020000,4.971014,9.575910,0.259200,2.160000,9.000000,0.000000,0.007558
0.020000,5.016013,9.576212,0.304200,2.340000,9.000000,-0.000000,0.005845
0.020000,5.064612,9.576451,0.352800,2.520000,9.000000,0.000000,0.004003
0.020000,5.116812,9.576609,0.405000,2.700000,9.000000,-0.000000,0.002033
0.020000,5.172612,9.576664,0.460800,2.880000,9.000000,0.000000,6.283123
0.020000,5.232012,9.576594,0.520200,3.060000,9.000000,0.000000,6.280903
0.020000,5.295012,9.576376,0.583200,3.240000,9.000000,-0.000000,6.278561
0.020000,5.361611,9.575986,0.649800,3.420000,9.000000,0.000000,6.276100
0.020000,5.431808,9.575398,0.720000,3.600000,9.000000,0.000000,6.273523
0.020000,5.505604,9.574586,0.793800,3.780000,9.000000,-0.000000,6.270831
0.020000,5.582996,9.573521,0.871200,3.960000,9.000000,0.000000,6.268027
0.020000,5.663985,9.572175,0.952200,4.140000,9.000000,0.000000,6.265116
0.020000,5.748569,9.570519,1.036800,4.320000,9.000000,-0.000000,6.262099
0.020000,5.836746,9.568521,1.125000,4.500000,9.000000,0.000000,6.258981
0.020000,5.928515,9.566152,1.216800,4.680000,9.000000,0.000000,6.255764
0.020000,6.023875,9.563378,1.312200,4.860000,9.000000,0.000000,6.252453
0.020000,6.122823,9.560167,1.411200,5.040000,9.000000,0.000000,6.249051
0.020000,6.225357,9.556487,1.513800,5.220000,9.000000,-0.000000,6.245562
0.020000,6.331474,9.552302,1.620000,5.400000,9.000000,0.000000,6.241991
0.020000,6.441173,9.547580,1.729800,5.580000,9.000000,0.000000,6.238342
0.020000,6.554449,9.542285,1.843200,5.760000,9.000000,-0.000000,6.234620
0.020000,6.671300,9.536383,1.960200,5.940000,9.000000,0.000000,6.230829
0.020000,6.791722,9.529839,2.080800,6.120000,9.000000,-0.000000,6.226975
0.020000,6.915712,9.522618,2.205000,6.300000,9.000000,0.000000,6.223062
0.020000,7.043265,9.514686,2.332800,6.480000,9.000000,0.000000,6.219096
0.020000,7.174378,9.506006,2.464200,6.660000,9.000000,0.000000,6.215084
0.020000,7.309046,9.496546,2.599200,6.840000,9.000000,-0.000000,6.211029
0.020000,7.447265,9.486270,2.737800,7.020000,9.000000,0.000000,6.206939
0.020000,7.589029,9.475145,2.880000,7.200000,9.000000,-0.000000,6.202819
0.020000,7.734334,9.463139,3.025800,7.380000,9.000000,0.000000,6.198676
0.020000,7.883174,9.450217,3.175200,7.560000,9.000000,0.000000,6.194516
0.020000,8.035544,9.436350,3.328200,7.740000,9.000000,0.000000,6.190346
0.020000,8.191439,9.421505,3.484800,7.920000,9.000000,-0.000000,6.186172
0.020000,8.350852,9.405654,3.645000,8.100000,9.000000,0.000000,6.182003
0.020000,8.513780,9.388769,3.808800,8.280000,9.000000,0.000000,6.177844
0.020000,8.680214,9.370821,3.976200,8.460000,9.000000,-0.000000,6.173703
0.020000,8.850152,9.351786,4.147200,8.640000,9.000000,0.000000,6.169588
0.020000,9.023585,9.331639,4.321800,8.820000,9.000000,-0.000000,6.165507
0.020000,9.200510,9.310357,4.500000,9.000000,9.000000,0.000000,6.161466
0.020000,9.379134,9.288147,4.680000,9.000000,0.000000,-450.000000,6.157514
0.020000,9.557671,9.265242,4.860000,9.000000,0.000000,0.000000,6.153691
0.020000,9.736120,9.241667,5.040000,9.000000,0.000000,0.000000,6.149998
0.020000,9.914483,9.217444,5.220000,9.000000,0.000000,0.000000,6.146435
0.020000,10.092760,9.192598,5.400000,9.000000,0.000000,0.000000,6.143002
0.020000,10.270952,9.167151,5.580000,9.000000,0.000000,0.000000,6.139699
0.020000,10.449060,9.141128,5.760000,9.000000,0.000000,0.000000,6.136527
0.020000,10.627088,9.114551,5.940000,9.000000,0.000000,0.000000,6.133485
0.020000,10.805035,9.087445,6.120000,9.000000,0.000000,0.000000,6.130573
0.020000,10.982904,9.059832,6.300000,9.000000,0.000000,0.000000,6.127792
0.020000,11.160698,9.031736,6.480000,9.000000,0.000000,0.000000,6.125141
