dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.743696,8.633071,0.001875,0.187500,9.375000,468.750000,0.017475
0.020000,4.743490,8.633067,0.002081,0.010296,-8.860214,-911.760700,0.017256
0.020000,4.744585,8.633086,0.003177,0.054779,2.224186,554.220018,0.016892
0.020000,4.757229,8.633296,0.015822,0.632263,28.874202,1332.500781,0.016381
0.020000,4.773486,8.633557,0.032081,0.812948,9.034248,-991.997691,0.015726
0.020000,4.793357,8.633862,0.051954,0.993668,9.035998,0.087487,0.014926
0.020000,4.816842,8.634201,0.075442,1.174403,9.036728,0.036515,0.013983
0.020000,4.843944,8.634566,0.102546,1.355202,9.039952,0.161168,0.012897
0.020000,4.874662,8.634943,0.133267,1.536033,9.041534,0.079139,0.011669
0.020000,4.908999,8.635320,0.167605,1.716925,9.044592,0.152865,0.010300
0.020000,4.946955,8.635682,0.205563,1.897879,9.047720,0.156434,0.008792
0.020000,4.988531,8.636014,0.247141,2.078898,9.050932,0.160562,0.007146
0.020000,5.033730,8.636296,0.292341,2.259991,9.054678,0.187320,0.005364
0.020000,5.082553,8.636511,0.341164,2.441165,9.058704,0.201319,0.003447
0.020000,5.135002,8.636639,0.393613,2.622438,9.063631,0.246335,0.001398
0.020000,5.191078,8.636656,0.449689,2.803796,9.067897,0.213315,6.282404
0.020000,5.250783,8.636540,0.509394,2.985268,9.073612,0.285754,6.280096
0.020000,5.314119,8.636267,0.572731,3.166852,9.079186,0.278661,6.277662
0.020000,5.381089,8.635812,0.639702,3.348545,9.084684,0.274903,6.275104
0.020000,5.451693,8.635146,0.710310,3.530384,9.091929,0.362275,6.272426
0.020000,5.525935,8.634244,0.784557,3.712347,9.098145,0.310795,6.269630
0.020000,5.603815,8.633074,0.862446,3.894455,9.105426,0.364068,6.266720
0.020000,5.685336,8.631609,0.943980,4.076729,9.113689,0.413119,6.263698
0.020000,5.770500,8.629815,1.029163,4.259151,9.121095,0.370327,6.260568
