dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.540440,3.099721,0.001786,0.178571,8.928571,446.428571,6.275749
0.020000,0.540176,3.099723,0.002049,0.013156,-8.270768,-859.966982,6.276029
0.020000,0.539738,3.099726,0.002487,0.021917,0.438064,435.441598,6.276495
0.020000,0.547049,3.099680,0.009798,0.365546,17.181423,837.167982,6.277147
0.020000,0.562332,3.099594,0.025081,0.764159,19.930678,137.462753,6.277986
0.020000,0.581012,3.099507,0.043762,0.934025,8.493298,-571.869035,6.279009
0.020000,0.603090,3.099428,0.065840,1.103923,8.494869,0.078577,6.280218
0.020000,0.628567,3.099370,0.091317,1.273834,8.495587,0.035879,6.281611
0.020000,0.657442,3.099347,0.120192,1.443747,8.495613,0.001311,0.000001
0.020000,0.689718,3.099376,0.152468,1.613791,8.502239,0.331297,0.001760
0.020000,0.725394,3.099473,0.188144,1.783805,8.500668,-0.078531,0.003701
0.020000,0.764471,3.099659,0.227222,1.953891,8.504304,0.181757,0.005821
0.020000,0.806951,3.099956,0.269702,2.124036,8.507264,0.148015,0.008122
0.020000,0.852833,3.100385,0.315587,2.294226,8.509510,0.112324,0.010599
0.020000,0.902121,3.100973,0.364878,2.464560,8.516691,0.359046,0.013254
0.020000,0.954813,3.101746,0.417576,2.634886,8.516290,-0.020078,0.016083
0.020000,1.010911,3.102733,0.473682,2.805334,8.522404,0.305713,0.019084
0.020000,1.070416,3.103963,0.533200,2.975890,8.527806,0.270080,0.022257
0.020000,1.133329,3.105468,0.596131,3.146542,8.532605,0.239966,0.025598
0.020000,1.199650,3.107283,0.662477,3.317281,8.536917,0.215585,0.029106
0.020000,1.269380,3.109441,0.732240,3.488157,8.543815,0.344923,0.032777
0.020000,1.342518,3.111980,0.805423,3.659142,8.549231,0.270823,0.036610
0.020000,1.419067,3.114937,0.882029,3.830293,8.557563,0.416555,0.040600
0.020000,1.499026,3.118351,0.962060,4.001589,8.564825,0.363145,0.044746
0.020000,1.582395,3.122264,1.045521,4.173042,8.572634,0.390412,0.049043
0.020000,1.669174,3.126716,1.132414,4.344635,8.579656,0.351128,0.053488
0.020000,1.759362,3.131753,1.222743,4.516449,8.590675,0.550923,0.058078
0.020000,1.852959,3.137417,1.316511,4.688424,8.598759,0.404199,0.062807
0.020000,1.949965,3.143755,1.413724,4.860619,8.609751,0.549636,0.067672
0.020000,2.050378,3.150813,1.514384,5.033030,8.620549,0.539871,0.072668
0.020000,2.154196,3.158639,1.618497,5.205656,8.631308,0.537978,0.077791
0.020000,2.261420,3.167280,1.726068,5.378550,8.644686,0.668889,0.083034
0.020000,2.372045,3.176786,1.837102,5.551667,8.655865,0.558921,0.088394
0.020000,2.486072,3.187206,1.951603,5.725072,8.670272,0.720375,0.093863
0.020000,2.603496,3.198591,2.069579,5.898765,8.684609,0.716838,0.099436
0.020000,2.724317,3.210992,2.191033,6.072745,8.699039,0.721487,0.105107
0.020000,2.848529,3.224458,2.315974,6.247020,8.713716,0.733862,0.110870
0.020000,2.976131,3.239043,2.444406,6.421633,8.730681,0.848267,0.116716
0.020000,3.107119,3.254795,2.576338,6.596569,8.746795,0.805700,0.122640
0.020000,3.241488,3.271767,2.711775,6.771864,8.764731,0.896792,0.128633
0.020000,3.379236,3.290010,2.850726,6.947521,8.782837,0.905290,0.134689
0.020000,3.520357,3.309574,2.993196,7.123546,8.801258,0.921065,0.140799
0.020000,3.663148,3.330257,3.137477,7.214051,4.525281,-213.798854,0.146882
0.020000,3.805906,3.351815,3.281854,7.218823,0.238579,-214.335117,0.152865
0.020000,3.948628,3.374235,3.426327,7.223633,0.240482,0.095156,0.158745
0.020000,4.091314,3.397502,3.570897,7.228511,0.243902,0.171029,0.164521
0.020000,4.233961,3.421602,3.715565,7.233415,0.245198,0.064786,0.170193
0.020000,4.376568,3.446520,3.860333,7.238378,0.248156,0.147882,0.175759
0.020000,4.519133,3.472241,4.005200,7.243367,0.249469,0.065653,0.181219
0.020000,4.661657,3.498751,4.150168,7.248401,0.251687,0.110893,0.186572
0.020000,4.804137,3.526036,4.295237,7.253463,0.253102,0.070756,0.191817
0.020000,4.946574,3.554079,4.440408,7.258557,0.254706,0.080196,0.196954
