dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.032629,2.096277,0.001875,0.187500,9.375000,468.750000,0.015542
0.020000,0.032629,2.096277,0.007500,0.375000,9.375000,0.000000,0.015853
0.020000,0.032629,2.096277,0.016875,0.562500,9.375000,0.000000,0.016370
0.020000,0.040408,2.096409,0.030000,0.750000,9.375000,0.000000,0.017094
0.020000,0.057280,2.096705,0.046875,0.937500,9.375000,0.000000,0.018024
0.020000,0.077902,2.097089,0.067500,1.125000,9.375000,0.000000,0.019159
0.020000,0.102272,2.097572,0.091875,1.312500,9.375000,0.000000,0.020499
0.020000,0.130391,2.098170,0.120000,1.500000,9.375000,0.000000,0.022043
0.020000,0.162257,2.098900,0.151875,1.687500,9.375000,0.000000,0.023790
0.020000,0.197872,2.099783,0.187500,1.875000,9.375000,0.000000,0.025738
0.020000,0.237232,2.100838,0.226875,2.062500,9.375000,0.000000,0.027887
0.020000,0.280339,2.102091,0.270000,2.250000,9.375000,0.000000,0.030235
0.020000,0.327191,2.103568,0.316875,2.437500,9.375000,0.000000,0.032781
0.020000,0.377786,2.105297,0.367500,2.625000,9.375000,0.000000,0.035522
0.020000,0.432124,2.107308,0.421875,2.812500,9.375000,0.000000,0.038457
0.020000,0.490203,2.109633,0.480000,3.000000,9.375000,0.000000,0.041583
0.020000,0.552020,2.112308,0.541875,3.187500,9.375000,0.000000,0.044899
0.020000,0.617573,2.115368,0.607500,3.375000,9.375000,0.000000,0.048400
0.020000,0.686861,2.118853,0.676875,3.562500,9.375000,0.000000,0.052086
0.020000,0.759879,2.122801,0.750000,3.750000,9.375000,0.000000,0.055952
0.020000,0.836625,2.127255,0.826875,3.937500,9.375000,0.000000,0.059995
0.020000,0.917094,2.132259,0.907500,4.125000,9.375000,0.000000,0.064212
0.020000,1.001283,2.137858,0.991875,4.312500,9.375000,0.000000,0.068600
0.020000,1.089186,2.144099,1.080000,4.500000,9.375000,0.000000,0.073153
0.020000,1.180799,2.151030,1.171875,4.687500,9.375000,0.000000,0.077867
0.020000,1.276116,2.158701,1.267500,4.875000,9.375000,0.000000,0.082738
0.020000,1.375130,2.167163,1.366875,5.062500,9.375000,0.000000,0.087762
0.020000,1.477835,2.176468,1.470000,5.250000,9.375000,0.000000,0.092931
0.020000,1.584222,2.186669,1.576875,5.437500,9.375000,0.000000,0.098242
0.020000,1.694283,2.197819,1.687500,5.625000,9.375000,0.000000,0.103688
0.020000,1.808010,2.209975,1.801875,5.812500,9.375000,0.000000,0.109263
0.020000,1.925393,2.223191,1.920000,6.000000,9.375000,0.000000,0.114960
0.020000,2.046422,2.237523,2.041875,6.187500,9.375000,0.000000,0.120772
0.020000,2.171087,2.253028,2.167500,6.375000,9.375000,0.000000,0.126693
0.020000,2.299375,2.269763,2.296875,6.562500,9.375000,0.000000,0.132714
0.020000,2.431274,2.287782,2.430000,6.750000,9.375000,0.000000,0.138828
