dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.047002,1.156387,0.001875,0.187500,9.375000,468.750000,0.015291
0.020000,0.047355,1.156393,0.002228,0.017675,-8.491255,-893.312741,0.015667
0.020000,0.047944,1.156402,0.002817,0.029447,0.588585,453.991972,0.016294
0.020000,0.056331,1.156544,0.011205,0.419384,19.496847,945.413110,0.017170
0.020000,0.074261,1.156862,0.029138,0.896661,23.863883,218.351826,0.018297
0.020000,0.096175,1.157278,0.051056,1.095901,9.961993,-695.094497,0.019673
0.020000,0.122072,1.157809,0.076959,1.295133,9.961598,-0.019764,0.021297
0.020000,0.151951,1.158473,0.106845,1.494311,9.958920,-0.133929,0.023170
0.020000,0.185809,1.159294,0.140713,1.693392,9.954014,-0.245299,0.025291
0.020000,0.223646,1.160296,0.178563,1.892499,9.955347,0.066689,0.027658
0.020000,0.265458,1.161507,0.220393,2.091488,9.949452,-0.294778,0.030270
0.020000,0.311244,1.162959,0.266202,2.290473,9.949271,-0.009033,0.033126
0.020000,0.361003,1.164685,0.315990,2.489406,9.946656,-0.130753,0.036224
0.020000,0.414729,1.166722,0.369755,2.688240,9.941707,-0.247460,0.039564
0.020000,0.472418,1.169109,0.427494,2.886931,9.934533,-0.358701,0.043143
0.020000,0.534068,1.171888,0.489206,3.085631,9.935005,0.023628,0.046959
0.020000,0.599672,1.175104,0.554889,3.284131,9.924977,-0.501438,0.051010
0.020000,0.669225,1.178805,0.624540,3.482558,9.921390,-0.179327,0.055294
0.020000,0.742720,1.183039,0.698157,3.680864,9.915271,-0.305937,0.059807
0.020000,0.820150,1.187860,0.775737,3.878999,9.906780,-0.424575,0.064546
0.020000,0.901506,1.193321,0.857277,4.076955,9.897754,-0.451269,0.069508
0.020000,0.986780,1.199480,0.942773,4.274812,9.892856,-0.244942,0.074690
0.020000,1.075961,1.206396,1.032221,4.472419,9.880382,-0.623685,0.080088
0.020000,1.169037,1.214129,1.125618,4.669821,9.870071,-0.515559,0.085696
0.020000,1.265995,1.222743,1.222958,4.866998,9.858879,-0.559606,0.091510
0.020000,1.366821,1.232301,1.324236,5.063918,9.845970,-0.645424,0.097525
0.020000,1.471502,1.242871,1.429449,5.260647,9.836454,-0.475818,0.103735
0.020000,1.580018,1.254520,1.538589,5.456994,9.817380,-0.953712,0.110134
0.020000,1.692353,1.267317,1.651650,5.653072,9.803877,-0.675120,0.116716
0.020000,1.808487,1.281332,1.768627,5.848838,9.788308,-0.778465,0.123473
0.020000,1.928399,1.296636,1.889512,6.044245,9.770343,-0.898250,0.130399
0.020000,2.052067,1.313301,2.014297,6.239250,9.750264,-1.003917,0.137484
0.020000,2.179465,1.331398,2.142975,6.433886,9.731786,-0.923916,0.144721
0.020000,2.310570,1.351001,2.275536,6.628071,9.709243,-1.127146,0.152101
0.020000,2.445352,1.372180,2.411973,6.821837,9.688307,-1.046799,0.159614
0.020000,2.583785,1.395009,2.552275,7.015138,9.665041,-1.163303,0.167250
0.020000,2.725838,1.419560,2.696434,7.207933,9.639782,-1.262953,0.174999
0.020000,2.871479,1.445901,2.844438,7.400190,9.612852,-1.346526,0.182850
0.020000,3.020676,1.474105,2.996277,7.591942,9.587578,-1.263672,0.190790
0.020000,3.173393,1.504238,3.151939,7.783103,9.558070,-1.475413,0.198809
0.020000,3.329597,1.536367,3.311413,7.973692,9.529441,-1.431429,0.206893
0.020000,3.489250,1.570559,3.474686,8.163674,9.499101,-1.517006,0.215030
0.020000,3.652316,1.606875,3.641747,8.353022,9.467398,-1.585160,0.223207
0.020000,3.818755,1.645376,3.812581,8.541735,9.435641,-1.587827,0.231409
0.020000,3.988530,1.686119,3.987177,8.729771,9.401791,-1.692528,0.239623
0.020000,4.161601,1.729160,4.165520,8.917140,9.368457,-1.666721,0.247834
0.020000,4.337929,1.774550,4.347596,9.103803,9.333144,-1.765610,0.256027
0.020000,4.517474,1.822336,4.533391,9.289759,9.297798,-1.767337,0.264188
0.020000,4.698315,1.872039,4.720938,9.377363,4.380214,-245.879191,0.272217
0.020000,4.878559,1.923117,4.908279,9.367044,-0.515943,-244.807832,0.280027
0.020000,5.058204,1.975522,5.095412,9.356656,-0.519406,-0.173153,0.287616
0.020000,5.237252,2.029209,5.282336,9.346207,-0.522450,-0.152192,0.294983
0.020000,5.415706,2.084132,5.469050,9.335712,-0.524760,-0.115525,0.302126
0.020000,5.593568,2.140246,5.655554,9.325180,-0.526603,-0.092117,0.309045
0.020000,5.770843,2.197503,5.841846,9.314612,-0.528403,-0.090009,0.315739
0.020000,5.947536,2.255860,6.027927,9.304031,-0.529032,-0.031482,0.322209
0.020000,6.123654,2.315271,6.213796,9.293439,-0.529587,-0.027731,0.328452
0.020000,6.299204,2.375691,6.399452,9.282834,-0.530294,-0.035327,0.334470
0.020000,6.474194,2.437077,6.584897,9.272235,-0.529932,0.018067,0.340263
0.020000,6.648633,2.499385,6.770130,9.261647,-0.529412,0.025990,0.345830
0.020000,6.822531,2.562571,6.955151,9.251065,-0.529069,0.017150,0.351172
0.020000,6.995897,2.626592,7.139961,9.240496,-0.528440,0.031465,0.356289
0.020000,7.168744,2.691406,7.324560,9.229957,-0.526988,0.072589,0.361182
0.020000,7.341082,2.756971,7.508949,9.219440,-0.525824,0.058232,0.365851
0.020000,7.512924,2.823246,7.693128,9.208937,-0.525173,0.032523,0.370297
0.020000,7.684282,2.890188,7.877097,9.198472,-0.523236,0.096854,0.374520
0.020000,7.855169,2.957757,8.060858,9.188039,-0.521676,0.077988,0.378521
0.020000,8.025598,3.025914,8.244411,9.177632,-0.520308,0.068433,0.382300
0.020000,8.195584,3.094617,8.427756,9.167250,-0.519124,0.059211,0.385859
0.020000,8.365141,3.163828,8.610894,9.156909,-0.517023,0.105016,0.389198
0.020000,8.534282,3.233508,8.793826,9.146600,-0.515476,0.077385,0.392317
0.020000,8.703023,3.303618,8.976552,9.136316,-0.514176,0.064985,0.395217
0.020000,8.871379,3.374119,9.159073,9.126061,-0.512765,0.070534,0.397899
0.020000,9.039364,3.444974,9.341390,9.115841,-0.510990,0.088768,0.400364
0.020000,9.206994,3.516144,9.523503,9.105649,-0.509636,0.067702,0.402612
0.020000,9.374285,3.587594,9.705413,9.095478,-0.508533,0.055163,0.404643
0.020000,9.541251,3.659284,9.887119,9.085331,-0.507359,0.058660,0.406459
0.020000,9.707909,3.731180,10.068624,9.075210,-0.506031,0.066411,0.408059
0.020000,9.874273,3.803244,10.249926,9.065109,-0.505065,0.048299,0.409445
0.020000,10.040361,3.875440,10.431026,9.055023,-0.504289,0.038831,0.410615
0.020000,10.206187,3.947733,10.611925,9.044951,-0.503594,0.034717,0.411572
0.020000,10.371767,4.020085,10.792623,9.034895,-0.502820,0.038688,0.412314
0.020000,10.537117,4.092463,10.973120,9.024847,-0.502364,0.022822,0.412843
0.020000,10.702253,4.164829,11.153416,9.014806,-0.502051,0.015629,0.413158
0.020000,10.867190,4.237149,11.333512,9.004769,-0.501859,0.009609,0.413259
0.020000,11.031943,4.309388,11.513406,8.994734,-0.501747,0.005589,0.413147
0.020000,11.196528,4.381510,11.693100,8.984697,-0.501856,-0.005403,0.412822
0.020000,11.360961,4.453481,11.872593,8.974655,-0.502106,-0.012504,0.412282
0.020000,11.525256,4.525264,12.051886,8.964608,-0.502336,-0.011509,0.411529
0.020000,11.689428,4.596826,12.230977,8.954550,-0.502927,-0.029579,0.410562
0.020000,11.853492,4.668132,12.409866,8.944478,-0.503604,-0.033846,0.409381
0.020000,12.017463,4.739145,12.588554,8.934390,-0.504398,-0.039670,0.407985
0.020000,12.181354,4.809832,12.767040,8.924289,-0.505057,-0.032980,0.406374
0.020000,12.345181,4.880158,12.945323,8.914165,-0.506193,-0.056792,0.404548
0.020000,12.508957,4.950087,13.123403,8.904016,-0.507419,-0.061285,0.402506
0.020000,12.672696,5.019584,13.301280,8.893843,-0.508665,-0.062310,0.400247
0.020000,12.836411,5.088614,13.478953,8.883650,-0.509654,-0.049475,0.397772
0.020000,13.000115,5.157141,13.656422,8.873426,-0.511208,-0.077698,0.395078
0.020000,13.163821,5.225131,13.833685,8.863169,-0.512837,-0.081409,0.392167
0.020000,13.327541,5.292548,14.010743,8.852882,-0.514373,-0.076794,0.389037
0.020000,13.491288,5.359356,14.187594,8.842573,-0.515452,-0.053973,0.385688
0.020000,13.655074,5.425520,14.364239,8.832225,-0.517370,-0.095907,0.382118
0.020000,13.818908,5.491004,14.540676,8.821843,-0.519094,-0.086193,0.378328
0.020000,13.982804,5.555771,14.716904,8.811431,-0.520637,-0.077170,0.374316
0.020000,14.146770,5.619787,14.892924,8.800999,-0.521562,-0.046213,0.370082
0.020000,14.310818,5.683014,15.068735,8.790526,-0.523685,-0.106161,0.365625
0.020000,14.474957,5.745416,15.244335,8.780024,-0.525086,-0.070068,0.360945
0.020000,14.639196,5.806957,15.419725,8.769503,-0.526048,-0.048066,0.356041
0.020000,14.803543,5.867600,15.594904,8.758959,-0.527176,-0.056444,0.350912
0.020000,14.968008,5.927310,15.769872,8.748389,-0.528540,-0.068170,0.345559
0.020000,15.132597,5.986048,15.944628,8.737802,-0.529316,-0.038815,0.339981
0.020000,15.297317,6.043778,16.119173,8.727216,-0.529311,0.000240,0.334177
0.020000,15.462176,6.100464,16.293505,8.716611,-0.530272,-0.048056,0.328148
0.020000,15.627179,6.156069,16.467625,8.706005,-0.530287,-0.000718,0.321893
0.020000,15.792331,6.210556,16.641533,8.695412,-0.529660,0.031323,0.315413
0.020000,15.957638,6.263887,16.815230,8.684827,-0.529248,0.020622,0.308707
0.020000,16.123102,6.316027,16.988715,8.674260,-0.528323,0.046265,0.301777
0.020000,16.288729,6.366938,17.161989,8.663726,-0.526706,0.080810,0.294623
0.020000,16.454520,6.416584,17.335054,8.653230,-0.524795,0.095559,0.287245
0.020000,16.620477,6.464929,17.507910,8.642781,-0.522440,0.117779,0.279645
0.020000,16.786602,6.511937,17.680557,8.632394,-0.519379,0.153024,0.271824
0.020000,16.951704,6.557248,17.851765,8.560357,-3.601855,-154.123779,0.263842
0.020000,17.114045,6.600406,18.019744,8.398967,-8.069510,-223.382741,0.255793
0.020000,17.273072,6.641312,18.183948,8.210213,-9.437671,-68.408075,0.247716
0.020000,17.428775,6.680025,18.344391,8.022160,-9.402670,1.750037,0.239628
0.020000,17.581142,6.716602,18.501087,7.834781,-9.368962,1.685435,0.231543
0.020000,17.730162,6.751104,18.654049,7.648083,-9.334893,1.703413,0.223474
0.020000,17.875822,6.783596,18.803289,7.462018,-9.303249,1.582192,0.215436
0.020000,18.018113,6.814140,18.948821,7.276598,-9.270978,1.613567,0.207442
0.020000,18.157022,6.842803,19.090657,7.091791,-9.240366,1.530621,0.199506
0.020000,18.292540,6.869651,19.228808,6.907575,-9.210773,1.479635,0.191639
0.020000,18.424655,6.894752,19.363287,6.723914,-9.183074,1.384968,0.183855
0.020000,18.553357,6.918175,19.494103,6.540830,-9.154174,1.444957,0.176163
0.020000,18.678638,6.939987,19.621268,6.358264,-9.128307,1.293369,0.168577
0.020000,18.800487,6.960258,19.744792,6.176190,-9.103732,1.228774,0.161107
0.020000,18.918896,6.979056,19.864684,5.994595,-9.079739,1.199651,0.153762
0.020000,19.033857,6.996450,19.980954,5.813474,-9.056060,1.183945,0.146553
0.020000,19.145363,7.012508,20.093609,5.632791,-9.034115,1.097253,0.139488
0.020000,19.253405,7.027297,20.202660,5.452507,-9.014243,0.993577,0.132577
