dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.124025,3.002957,0.001875,0.187500,9.375000,468.750000,0.024932
0.020000,0.123794,3.002951,0.002106,0.011573,-8.796332,-908.566579,0.025178
0.020000,0.129752,3.003103,0.008067,0.298014,14.322032,1155.918157,0.025589
0.020000,0.142333,3.003429,0.020652,0.629282,16.563389,112.067863,0.026162
0.020000,0.158510,3.003858,0.036835,0.809120,8.991902,-378.574363,0.026899
0.020000,0.178282,3.004399,0.056614,0.988980,8.993026,0.056242,0.027799
0.020000,0.201650,3.005061,0.079992,1.168878,8.994886,0.092994,0.028860
0.020000,0.228615,3.005856,0.106968,1.348820,8.997112,0.111310,0.030082
0.020000,0.259177,3.006797,0.137545,1.528810,8.999460,0.117382,0.031463
0.020000,0.293336,3.007898,0.171722,1.708854,9.002211,0.137555,0.033004
0.020000,0.331094,3.009177,0.209501,1.888966,9.005624,0.170648,0.034701
0.020000,0.372450,3.010651,0.250884,2.069144,9.008880,0.162789,0.036554
0.020000,0.417407,3.012340,0.295872,2.249400,9.012805,0.196236,0.038562
0.020000,0.465963,3.014266,0.344467,2.429744,9.017207,0.220136,0.040722
0.020000,0.518121,3.016452,0.396670,2.610182,9.021910,0.235137,0.043032
0.020000,0.573881,3.018921,0.452485,2.790721,9.026946,0.251799,0.045490
0.020000,0.633243,3.021701,0.511912,2.971367,9.032298,0.267613,0.048093
0.020000,0.696209,3.024818,0.574955,3.152131,9.038199,0.295023,0.050841
0.020000,0.762778,3.028302,0.641615,3.333026,9.044748,0.327470,0.053728
0.020000,0.832952,3.032183,0.711896,3.514053,9.051336,0.329368,0.056754
0.020000,0.906731,3.036492,0.785801,3.695225,9.058616,0.364004,0.059914
0.020000,0.984115,3.041262,0.863332,3.876553,9.066402,0.389328,0.063205
0.020000,1.065105,3.046527,0.944493,4.058043,9.074497,0.404719,0.066625
0.020000,1.149701,3.052322,1.029287,4.239705,9.083093,0.429837,0.070168
0.020000,1.237903,3.058684,1.117718,4.421556,9.092528,0.471714,0.073832
0.020000,1.329711,3.065649,1.209790,4.603594,9.101910,0.469117,0.077611
0.020000,1.425125,3.073256,1.305507,4.785839,9.112288,0.518908,0.081503
0.020000,1.524145,3.081544,1.404873,4.968296,9.122840,0.527592,0.085502
0.020000,1.626770,3.090553,1.507892,5.150981,9.134217,0.568829,0.089603
0.020000,1.732999,3.100322,1.614570,5.333896,9.145768,0.577574,0.093802
0.020000,1.842833,3.110894,1.724911,5.517062,9.158317,0.627446,0.098093
0.020000,1.956270,3.122308,1.838921,5.700485,9.171126,0.640470,0.102471
0.020000,2.073309,3.134608,1.956604,5.884171,9.184297,0.658549,0.106930
0.020000,2.193948,3.147835,2.077967,6.068140,9.198448,0.707511,0.111465
0.020000,2.318188,3.162031,2.203015,6.252398,9.212909,0.723081,0.116068
0.020000,2.446026,3.177239,2.331754,6.436953,9.227763,0.742690,0.120733
0.020000,2.577460,3.193501,2.464191,6.621822,9.243448,0.784231,0.125455
0.020000,2.712489,3.210859,2.600331,6.807011,9.259450,0.800126,0.130226
0.020000,2.851111,3.229354,2.740182,6.992534,9.276138,0.834411,0.135039
0.020000,2.993325,3.249028,2.883750,7.178397,9.293178,0.851958,0.139887
0.020000,3.139128,3.269922,3.031042,7.364616,9.310916,0.886940,0.144762
0.020000,3.288518,3.292075,3.182066,7.551195,9.328952,0.901763,0.149656
0.020000,3.441494,3.315527,3.336829,7.738147,9.347594,0.932116,0.154563
0.020000,3.598053,3.340315,3.495338,7.925481,9.366717,0.956142,0.159473
