dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.147459,2.063249,0.001875,0.187500,9.375000,468.750000,0.024932
0.020000,0.147459,2.063249,0.007500,0.375000,9.375000,0.000000,0.025178
0.020000,0.153803,2.063411,0.016875,0.562500,9.375000,0.000000,0.025589
0.020000,0.166923,2.063750,0.030000,0.750000,9.375000,0.000000,0.026162
0.020000,0.183792,2.064198,0.046875,0.937500,9.375000,0.000000,0.026899
0.020000,0.204410,2.064762,0.067500,1.125000,9.375000,0.000000,0.027799
0.020000,0.228775,2.065453,0.091875,1.312500,9.375000,0.000000,0.028860
0.020000,0.256888,2.066281,0.120000,1.500000,9.375000,0.000000,0.030082
0.020000,0.288747,2.067262,0.151875,1.687500,9.375000,0.000000,0.031463
0.020000,0.324354,2.068410,0.187500,1.875000,9.375000,0.000000,0.033004
0.020000,0.363706,2.069743,0.226875,2.062500,9.375000,0.000000,0.034701
0.020000,0.406804,2.071279,0.270000,2.250000,9.375000,0.000000,0.036554
0.020000,0.453646,2.073039,0.316875,2.437500,9.375000,0.000000,0.038562
0.020000,0.504231,2.075045,0.367500,2.625000,9.375000,0.000000,0.040722
0.020000,0.558558,2.077322,0.421875,2.812500,9.375000,0.000000,0.043032
0.020000,0.616627,2.079894,0.480000,3.000000,9.375000,0.000000,0.045490
0.020000,0.678434,2.082788,0.541875,3.187500,9.375000,0.000000,0.048093
0.020000,0.743978,2.086033,0.607500,3.375000,9.375000,0.000000,0.050841
0.020000,0.813259,2.089659,0.676875,3.562500,9.375000,0.000000,0.053728
0.020000,0.886272,2.093696,0.750000,3.750000,9.375000,0.000000,0.056754
0.020000,0.963016,2.098178,0.826875,3.937500,9.375000,0.000000,0.059914
0.020000,1.043488,2.103139,0.907500,4.125000,9.375000,0.000000,0.063205
0.020000,1.127686,2.108612,0.991875,4.312500,9.375000,0.000000,0.066625
0.020000,1.215605,2.114635,1.080000,4.500000,9.375000,0.000000,0.070168
0.020000,1.307241,2.121245,1.171875,4.687500,9.375000,0.000000,0.073832
0.020000,1.402592,2.128479,1.267500,4.875000,9.375000,0.000000,0.077611
0.020000,1.501653,2.136377,1.366875,5.062500,9.375000,0.000000,0.081503
0.020000,1.604419,2.144978,1.470000,5.250000,9.375000,0.000000,0.085502
0.020000,1.710884,2.154324,1.576875,5.437500,9.375000,0.000000,0.089603
0.020000,1.821044,2.164455,1.687500,5.625000,9.375000,0.000000,0.093802
0.020000,1.934893,2.175412,1.801875,5.812500,9.375000,0.000000,0.098093
0.020000,2.052424,2.187239,1.920000,6.000000,9.375000,0.000000,0.102471
0.020000,2.173632,2.199977,2.041875,6.187500,9.375000,0.000000,0.106930
0.020000,2.298508,2.213668,2.167500,6.375000,9.375000,0.000000,0.111465
0.020000,2.427047,2.228355,2.296875,6.562500,9.375000,0.000000,0.116068
0.020000,2.559240,2.244082,2.430000,6.750000,9.375000,0.000000,0.120733
0.020000,2.695079,2.260888,2.566875,6.937500,9.375000,0.000000,0.125455
0.020000,2.834556,2.278818,2.707500,7.125000,9.375000,0.000000,0.130226
0.020000,2.977663,2.297912,2.851875,7.312500,9.375000,0.000000,0.135039
0.020000,3.124390,2.318210,3.000000,7.500000,9.375000,0.000000,0.139887
0.020000,3.274729,2.339754,3.151875,7.687500,9.375000,0.000000,0.144762
0.020000,3.428670,2.362582,3.307500,7.875000,9.375000,0.000000,0.149656
0.020000,3.586205,2.386733,3.466875,8.062500,9.375000,0.000000,0.154563
0.020000,3.747323,2.412243,3.630000,8.250000,9.375000,0.000000,0.159473
0.020000,3.912014,2.439148,3.796875,8.437500,9.375000,0.000000,0.164378
0.020000,4.080270,2.467482,3.967500,8.625000,9.375000,0.000000,0.169269
0.020000,4.252080,2.497278,4.141875,8.812500,9.375000,0.000000,0.174139
0.020000,4.427436,2.528566,4.320000,9.000000,9.375000,0.000000,0.178978
0.020000,4.604483,2.561033,4.500000,9.000000,0.000000,-468.750000,0.183728
0.020000,4.781377,2.594328,4.680000,9.000000,0.000000,0.000000,0.188338
0.020000,4.958118,2.628426,4.860000,9.000000,0.000000,0.000000,0.192806
0.020000,5.134707,2.663301,5.040000,9.000000,0.000000,0.000000,0.197134
0.020000,5.311146,2.698927,5.220000,9.000000,0.000000,0.000000,0.201320
0.020000,5.487437,2.735279,5.400000,9.000000,0.000000,0.000000,0.205365
0.020000,5.663582,2.772331,5.580000,9.000000,0.000000,0.000000,0.209268
0.020000,5.839584,2.810058,5.760000,9.000000,0.000000,0.000000,0.213030
0.020000,6.015445,2.848435,5.940000,9.000000,0.000000,0.000000,0.216651
0.020000,6.191137,2.887428,6.119968,8.996775,-0.161253,-8.062663,0.220129
0.020000,6.364836,2.926597,6.298028,8.809275,-9.375000,-460.687337,0.223431
0.020000,6.534753,2.965486,6.472339,8.621775,-9.375000,0.000000,0.226530
0.020000,6.700900,3.004036,6.642899,8.434275,-9.375000,0.000000,0.229433
0.020000,6.863287,3.042196,6.809710,8.246775,-9.375000,0.000000,0.232151
0.020000,7.021925,3.079914,6.972770,8.059275,-9.375000,0.000000,0.234690
0.020000,7.176824,3.117145,7.132081,7.871775,-9.375000,-0.000000,0.237059
0.020000,7.327993,3.153846,7.287641,7.684275,-9.375000,0.000000,0.239266
0.020000,7.475442,3.189976,7.439452,7.496775,-9.375000,-0.000000,0.241318
0.020000,7.619178,3.225498,7.587512,7.309275,-9.375000,-0.000000,0.243224
0.020000,7.759210,3.260377,7.731823,7.121775,-9.375000,0.000000,0.244989
