dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.170893,1.123542,0.001875,0.187500,9.375000,468.750000,0.024932
0.020000,0.171124,1.123547,0.002106,0.011573,-8.796332,-908.566579,0.025178
0.020000,0.177853,1.123719,0.008838,0.336570,16.249809,1252.307040,0.025589
0.020000,0.191513,1.124072,0.022502,0.683214,17.332217,54.120391,0.026162
0.020000,0.209075,1.124538,0.040070,0.878385,9.758536,-378.684074,0.026899
0.020000,0.230537,1.125125,0.061540,1.073519,9.756733,-0.090118,0.027799
0.020000,0.255899,1.125844,0.086913,1.268620,9.755039,-0.084697,0.028860
0.020000,0.285160,1.126707,0.116186,1.463681,9.753043,-0.099816,0.030082
0.020000,0.318318,1.127727,0.149360,1.658690,9.750466,-0.128829,0.031463
0.020000,0.355372,1.128922,0.186433,1.853642,9.747602,-0.143226,0.033004
0.020000,0.396319,1.130309,0.227404,2.048537,9.744714,-0.144384,0.034701
0.020000,0.441158,1.131907,0.272271,2.243355,9.740898,-0.190796,0.036554
0.020000,0.489885,1.133738,0.321033,2.438095,9.737032,-0.193312,0.038562
0.020000,0.542499,1.135825,0.373688,2.632753,9.732889,-0.207157,0.040722
0.020000,0.598996,1.138192,0.430234,2.827318,9.728256,-0.231663,0.043032
0.020000,0.659372,1.140866,0.490670,3.021781,9.723147,-0.255423,0.045490
0.020000,0.723624,1.143875,0.554992,3.216131,9.717523,-0.281188,0.048093
0.020000,0.791748,1.147248,0.623200,3.410364,9.711613,-0.295516,0.050841
0.020000,0.863739,1.151015,0.695289,3.604474,9.705502,-0.305547,0.053728
0.020000,0.939592,1.155210,0.771258,3.798444,9.698507,-0.349758,0.056754
0.020000,1.019302,1.159865,0.851103,3.992270,9.691313,-0.359690,0.059914
0.020000,1.102862,1.165016,0.934822,4.185944,9.683697,-0.380823,0.063205
0.020000,1.190266,1.170698,1.022411,4.379453,9.675421,-0.413770,0.066625
0.020000,1.281508,1.176948,1.113867,4.572786,9.666676,-0.437252,0.070168
0.020000,1.376580,1.183805,1.209186,4.765942,9.657803,-0.443676,0.073832
0.020000,1.475474,1.191308,1.308364,4.958899,9.647823,-0.498987,0.077611
0.020000,1.578181,1.199497,1.411397,5.151656,9.637849,-0.498686,0.081503
0.020000,1.684693,1.208412,1.518281,5.344195,9.626980,-0.543452,0.085502
0.020000,1.794999,1.218095,1.629011,5.536513,9.615903,-0.553853,0.089603
0.020000,1.909089,1.228587,1.743583,5.728591,9.603908,-0.599770,0.093802
0.020000,2.026953,1.239931,1.861991,5.920429,9.591869,-0.601952,0.098093
0.020000,2.148579,1.252170,1.984232,6.112009,9.578988,-0.644060,0.102471
0.020000,2.273955,1.265346,2.110298,6.303316,9.565370,-0.680891,0.106930
0.020000,2.403068,1.279501,2.240185,6.494349,9.551676,-0.684702,0.111465
0.020000,2.535906,1.294680,2.373887,6.685093,9.537191,-0.724228,0.116068
0.020000,2.672453,1.310924,2.511397,6.875533,9.522008,-0.759157,0.120733
0.020000,2.812697,1.328276,2.652711,7.065665,9.506602,-0.770278,0.125455
0.020000,2.956623,1.346777,2.797820,7.255474,9.490437,-0.808282,0.130226
0.020000,3.104214,1.366469,2.946719,7.444953,9.473917,-0.825987,0.135039
0.020000,3.255455,1.387393,3.099401,7.634087,9.456703,-0.860725,0.139887
0.020000,3.410330,1.409586,3.255858,7.822870,9.439183,-0.875959,0.144762
0.020000,3.568823,1.433089,3.416084,8.011289,9.420952,-0.911560,0.149656
0.020000,3.730916,1.457939,3.580071,8.199337,9.402363,-0.929468,0.154563
0.020000,3.896592,1.484170,3.747811,8.387003,9.383306,-0.952822,0.159473
0.020000,4.065834,1.511818,3.919297,8.574277,9.363724,-0.979118,0.164378
0.020000,4.238625,1.540916,4.094520,8.761152,9.343730,-0.999718,0.169269
0.020000,4.414945,1.571494,4.273472,8.947618,9.323328,-1.020065,0.174139
0.020000,4.594778,1.603581,4.456145,9.133667,9.302458,-1.043514,0.178978
0.020000,4.776218,1.636854,4.640610,9.223251,4.479192,-241.163307,0.183728
0.020000,4.957370,1.670950,4.824943,9.216642,-0.330477,-240.483462,0.188338
0.020000,5.138235,1.705844,5.009144,9.210020,-0.331101,-0.031203,0.192806
0.020000,5.318815,1.741506,5.193211,9.203388,-0.331602,-0.025017,0.197134
0.020000,5.499111,1.777911,5.377146,9.196747,-0.332010,-0.020428,0.201320
0.020000,5.679126,1.815031,5.560948,9.190102,-0.332264,-0.012663,0.205365
0.020000,5.858861,1.852839,5.744617,9.183453,-0.332440,-0.008800,0.209268
0.020000,6.038321,1.891307,5.928153,9.176802,-0.332574,-0.006718,0.213030
0.020000,6.217507,1.930409,6.111556,9.170151,-0.332553,0.001058,0.216651
0.020000,6.396391,1.970111,6.294794,9.161860,-0.414546,-4.099673,0.220129
0.020000,6.573118,2.009963,6.475958,9.058225,-5.181745,-238.359919,0.223431
0.020000,6.745875,2.049501,6.653181,8.861158,-9.853336,-233.579562,0.226530
0.020000,6.914680,2.088669,6.826471,8.664499,-9.832976,1.017974,0.229433
0.020000,7.079554,2.127412,6.995836,8.468236,-9.813149,0.991354,0.232151
0.020000,7.240514,2.165683,7.161283,8.272362,-9.793702,0.972371,0.234690
0.020000,7.397578,2.203434,7.322821,8.076868,-9.774673,0.951430,0.237059
0.020000,7.550763,2.240624,7.480455,7.881745,-9.756162,0.925584,0.239266
0.020000,7.700086,2.277214,7.634195,7.686983,-9.738089,0.903622,0.241318
0.020000,7.845561,2.313165,7.784047,7.492576,-9.720390,0.884932,0.243224
0.020000,7.987203,2.348446,7.930017,7.298510,-9.703260,0.856542,0.244989
0.020000,8.125027,2.383024,8.072112,7.104780,-9.686507,0.837633,0.246622
0.020000,8.259047,2.416871,8.210340,6.911374,-9.670290,0.810847,0.248130
0.020000,8.389274,2.449962,8.344706,6.718286,-9.654440,0.792494,0.249518
0.020000,8.515722,2.482271,8.475216,6.525502,-9.639158,0.764085,0.250794
0.020000,8.638401,2.513777,8.601876,6.333018,-9.624207,0.747562,0.251964
0.020000,8.757323,2.544460,8.724693,6.140823,-9.609780,0.721363,0.253035
0.020000,8.872498,2.574303,8.843671,5.948906,-9.595828,0.697588,0.254011
0.020000,8.983935,2.603287,8.958816,5.757261,-9.582257,0.678555,0.254899
0.020000,9.091644,2.631399,9.070133,5.565878,-9.569163,0.654703,0.255704
0.020000,9.195634,2.658626,9.177628,5.374746,-9.556563,0.630012,0.256432
0.020000,9.295912,2.684955,9.281306,5.183860,-9.544315,0.612407,0.257088
0.020000,9.392487,2.710376,9.381170,4.993209,-9.532582,0.586654,0.257677
0.020000,9.485365,2.734879,9.477225,4.802784,-9.521237,0.567213,0.258204
0.020000,9.574553,2.758456,9.569477,4.612576,-9.510373,0.543238,0.258673
0.020000,9.660057,2.781100,9.657929,4.422578,-9.499901,0.523581,0.259089
0.020000,9.741883,2.802804,9.742584,4.232780,-9.489911,0.499502,0.259457
0.020000,9.820036,2.823563,9.823448,4.043174,-9.480313,0.479886,0.259779
0.020000,9.894522,2.843371,9.900523,3.853750,-9.471169,0.457208,0.260060
0.020000,9.965346,2.862226,9.973813,3.664502,-9.462443,0.436289,0.260304
0.020000,10.032510,2.880123,10.043321,3.475419,-9.454153,0.414525,0.260515
0.020000,10.096021,2.897059,10.109051,3.286493,-9.446296,0.392817,0.260695
0.020000,10.155880,2.913033,10.171005,3.097715,-9.438856,0.371996,0.260848
0.020000,10.212093,2.928041,10.229187,2.909078,-9.431857,0.349982,0.260977
