dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.706140,10.519724,0.002500,0.100000,2.000000,40.000000,5.772937
0.050000,6.704825,10.520459,0.004007,0.030141,-1.397173,-67.943454,5.774326
0.050000,6.705240,10.520231,0.004481,0.009470,-0.413427,19.674917,5.776638
0.050000,6.717488,10.513461,0.018475,0.279888,5.408366,116.435856,5.779869
0.050000,6.733277,10.504810,0.036479,0.360085,1.603927,-76.088771,5.784013
0.050000,6.752639,10.494317,0.058502,0.440449,1.607276,0.066980,5.789061
0.050000,6.775611,10.482030,0.084553,0.521031,1.611649,0.087452,5.795004
0.050000,6.802238,10.468006,0.114648,0.601887,1.617120,0.109410,5.801829
0.050000,6.832571,10.452310,0.148801,0.683070,1.623655,0.130717,5.809522
0.050000,6.866668,10.435016,0.187033,0.764635,1.631309,0.153074,5.818064
0.050000,6.904592,10.416206,0.229365,0.846654,1.640371,0.181230,5.827434
0.050000,6.946414,10.395971,0.275825,0.929192,1.650768,0.207957,5.837610
0.050000,6.992207,10.374407,0.326441,1.012327,1.662707,0.238765,5.848562
0.050000,7.042053,10.351622,0.381248,1.096139,1.676235,0.270560,5.860260
0.050000,7.096036,10.327727,0.440284,1.180705,1.691322,0.301748,5.872670
0.050000,7.154247,10.302844,0.503589,1.266114,1.708183,0.337228,5.885751
0.050000,7.216777,10.277100,0.571212,1.352456,1.726826,0.372853,5.899463
0.050000,7.283723,10.250629,0.643202,1.439791,1.746712,0.397721,5.913757
0.050000,7.355184,10.223569,0.719614,1.528244,1.769060,0.446952,5.928584
0.050000,7.431257,10.196065,0.800507,1.617855,1.792205,0.462904,5.943889
0.050000,7.512044,10.168268,0.885942,1.708702,1.816959,0.495072,5.959616
0.050000,7.597644,10.140329,0.975986,1.800875,1.843457,0.529978,5.975704
0.050000,7.688153,10.112407,1.070704,1.894369,1.869863,0.528120,5.992091
0.050000,7.783668,10.084658,1.170168,1.989290,1.898420,0.571133,6.008712
0.050000,7.884282,10.057243,1.274450,2.085630,1.926816,0.567919,6.025503
0.050000,7.990081,10.030320,1.383621,2.183415,1.955690,0.577476,6.042395
0.050000,8.101146,10.004050,1.497751,2.282610,1.983913,0.564455,6.059324
0.050000,8.217557,9.978586,1.616914,2.383260,2.012996,0.581679,6.076223
0.050000,8.339383,9.954082,1.741180,2.485313,2.041060,0.561273,6.093027
0.050000,8.466688,9.930684,1.870617,2.588741,2.068552,0.549845,6.109674
0.050000,8.599525,9.908535,2.005288,2.693424,2.093672,0.502387,6.126104
0.050000,8.737948,9.887766,2.145260,2.799444,2.120389,0.534338,6.142258
0.050000,8.881996,9.868503,2.290591,2.906613,2.143386,0.459949,6.158081
0.050000,9.031705,9.850861,2.441336,3.014892,2.165571,0.443700,6.173522
0.050000,9.187103,9.834943,2.597548,3.124238,2.186920,0.426971,6.188532
0.050000,9.348218,9.820841,2.759278,3.234608,2.207400,0.409606,6.203066
0.050000,9.515062,9.808635,2.926568,3.345799,2.223830,0.328600,6.217082
0.050000,9.687653,9.798391,3.099463,3.457900,2.242010,0.363598,6.230542
0.050000,9.866001,9.790159,3.278001,3.570761,2.257219,0.304176,6.243409
0.050000,10.050115,9.783975,3.462218,3.684351,2.271815,0.291928,6.255650
0.050000,10.237650,9.779900,3.649797,3.751580,1.344575,-18.544802,6.267098
0.050000,10.426210,9.777874,3.838368,3.771416,0.396722,-18.957066,6.277630
0.050000,10.615733,9.777751,4.027892,3.790474,0.381150,-0.311425,0.004100
0.050000,10.806165,9.779384,4.218331,3.808771,0.365949,-0.304025,0.012912
0.050000,10.997456,9.782633,4.409649,3.826373,0.352026,-0.278465,0.020913
0.050000,11.189565,9.787358,4.601816,3.843340,0.339356,-0.253392,0.028133
0.050000,11.382456,9.793422,4.794803,3.859728,0.327750,-0.232128,0.034596
0.050000,11.576101,9.800692,4.988584,3.875620,0.317852,-0.197949,0.040328
0.050000,11.770475,9.809036,5.183137,3.891059,0.308778,-0.181495,0.045348
0.050000,11.965559,9.818323,5.378442,3.906101,0.300842,-0.158718,0.049675
0.050000,12.161338,9.828426,5.574482,3.920802,0.294012,-0.136591,0.053325
0.050000,12.357803,9.839217,5.771243,3.935215,0.288259,-0.115057,0.056311
0.050000,12.554946,9.850572,5.968712,3.949391,0.283520,-0.094781,0.058643
0.050000,12.752764,9.862364,6.166881,3.963385,0.279880,-0.072814,0.060330
0.050000,12.951257,9.874469,6.365744,3.977249,0.277276,-0.052072,0.061379
0.050000,13.150430,9.886761,6.565295,3.991030,0.275629,-0.032949,0.061792
0.050000,13.350288,9.899115,6.765534,4.004779,0.274973,-0.013121,0.061572
0.050000,13.550839,9.911403,6.966461,4.018544,0.275307,0.006682,0.060718
0.050000,13.752094,9.923498,7.168080,4.032376,0.276634,0.026556,0.059226
0.050000,13.954068,9.935269,7.370396,4.046324,0.278964,0.046589,0.057091
0.050000,14.156774,9.946582,7.573418,4.060439,0.282307,0.066863,0.054306
0.050000,14.360231,9.957301,7.777157,4.074773,0.286679,0.087447,0.050860
0.050000,14.564456,9.967287,7.981626,4.089378,0.292099,0.108400,0.046742
0.050000,14.769469,9.976394,8.186841,4.104308,0.298588,0.129765,0.041935
0.050000,14.975291,9.984474,8.392822,4.119616,0.306166,0.151569,0.036422
0.050000,15.181944,9.991371,8.599590,4.135359,0.314857,0.173817,0.030185
0.050000,15.389449,9.996924,8.807170,4.151593,0.324681,0.196490,0.023199
0.050000,15.597829,10.000963,9.015589,4.168376,0.335658,0.219537,0.015439
0.050000,15.807104,10.003312,9.224877,4.185766,0.347802,0.242874,0.006877
0.050000,16.017295,10.003785,9.435068,4.203822,0.361121,0.266369,6.280669
0.050000,16.228422,10.002185,9.646201,4.222664,0.376833,0.314252,6.270408
0.050000,16.440499,9.998306,9.858313,4.242246,0.391641,0.296163,6.259244
0.050000,16.653537,9.991930,10.071447,4.262668,0.408435,0.335873,6.247137
0.050000,16.867546,9.982826,10.285650,4.284062,0.427896,0.389218,6.234046
0.050000,17.082526,9.970749,10.500969,4.306375,0.446256,0.367200,6.219926
0.050000,17.298470,9.955441,10.717454,4.329714,0.466781,0.410512,6.204730
0.050000,17.515361,9.936626,10.935160,4.354102,0.487764,0.419658,6.188409
0.050000,17.733170,9.914017,11.154139,4.379589,0.509732,0.439349,6.170915
0.050000,17.951850,9.887308,11.374444,4.406108,0.530387,0.413099,6.152196
0.050000,18.171341,9.856178,11.596132,4.433752,0.552865,0.449562,6.132204
0.050000,18.391558,9.820292,11.819253,4.462429,0.573551,0.413727,6.110891
0.050000,18.612387,9.779302,12.043855,4.492034,0.592099,0.370960,6.088212
0.050000,18.833689,9.732848,12.269979,4.522488,0.609071,0.339436,6.064129
0.050000,19.055285,9.680563,12.497661,4.553621,0.622670,0.271990,6.038611
0.050000,19.276960,9.622077,12.726921,4.585211,0.631792,0.182428,6.011636
0.050000,19.498453,9.557026,12.957770,4.616972,0.635222,0.068599,5.983196
0.050000,19.719457,9.485053,13.190197,4.648556,0.631677,-0.070886,5.953300
0.050000,19.939612,9.405824,13.424175,4.679558,0.620056,-0.232435,5.921975
0.050000,20.158510,9.319035,13.659650,4.709496,0.598746,-0.426183,5.889270
0.050000,20.375689,9.224428,13.896541,4.737811,0.566300,-0.648929,5.855259
0.050000,20.590642,9.121796,14.134739,4.763963,0.523036,-0.865286,5.820041
0.050000,20.802825,9.011001,14.374107,4.787368,0.468113,-1.098447,5.783745
0.050000,21.011664,8.891984,14.614479,4.807438,0.401405,-1.334167,5.746522
0.050000,21.216570,8.764769,14.855663,4.823685,0.324933,-1.529442,5.708550
0.050000,21.416956,8.629475,15.097447,4.835668,0.239667,-1.705318,5.670026
0.050000,21.612254,8.486308,15.339600,4.843064,0.147916,-1.835018,5.631161
0.050000,21.801933,8.335565,15.581885,4.845689,0.052503,-1.908264,5.592174
0.050000,21.985517,8.177620,15.824061,4.843522,-0.043349,-1.917038,5.553287
0.050000,22.162595,8.012915,16.065896,4.836710,-0.136231,-1.857649,5.514714
0.050000,22.332838,7.841940,16.307175,4.825571,-0.222793,-1.731222,5.476656
0.050000,22.495999,7.665222,16.547696,4.810421,-0.303005,-1.604239,5.439297
0.050000,22.651915,7.483308,16.787285,4.791779,-0.372841,-1.396720,5.402796
0.050000,22.800509,7.296740,17.025795,4.770216,-0.431243,-1.168057,5.367288
0.050000,22.941780,7.106051,17.263114,4.746372,-0.476896,-0.913053,5.332882
0.050000,23.075794,6.911750,17.499149,4.720703,-0.513372,-0.729524,5.299659
0.050000,23.202676,6.714314,17.733841,4.693832,-0.537420,-0.480953,5.267676
0.050000,23.322600,6.514178,17.967156,4.666312,-0.550406,-0.259727,5.236966
0.050000,23.435766,6.311757,18.199063,4.638134,-0.563550,-0.262883,5.207545
0.050000,23.542418,6.107393,18.429583,4.610396,-0.554754,0.175924,5.179409
0.050000,23.642809,5.901409,18.658728,4.582909,-0.549751,0.100060,5.152541
0.050000,23.737202,5.694088,18.886526,4.555954,-0.539098,0.213059,5.126914
0.050000,23.825866,5.485672,19.113018,4.529842,-0.522243,0.337108,5.102491
0.050000,23.908995,5.276571,19.338038,4.500389,-0.589054,-1.336219,5.079250
0.050000,23.985916,5.069624,19.558818,4.415612,-1.695541,-22.129741,5.057415
0.050000,24.056270,4.867405,19.772926,4.282156,-2.669120,-19.471582,5.037130
0.050000,24.120626,4.670069,19.980491,4.151300,-2.617117,1.040062,5.018274
0.050000,24.179495,4.477759,20.181609,4.022362,-2.578771,0.766926,5.000737
0.050000,24.233356,4.290545,20.376418,3.896169,-2.523850,1.098413,4.984416
0.050000,24.282637,4.108504,20.565011,3.771869,-2.486008,0.756834,4.969215
0.050000,24.327730,3.931685,20.747489,3.649566,-2.446047,0.799218,4.955049
0.050000,24.368984,3.760147,20.923918,3.528569,-2.419943,0.522091,4.941839
0.050000,24.406727,3.593905,21.094391,3.409457,-2.382244,0.753975,4.929513
0.050000,24.441254,3.432976,21.258982,3.291822,-2.352709,0.590702,4.918006
0.050000,24.472827,3.277392,21.417738,3.175117,-2.334085,0.372468,4.907260
0.050000,24.501696,3.127139,21.570738,3.060012,-2.302106,0.639587,4.897220
