dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554256,4.240743,0.004762,0.190476,3.809524,76.190476,6.283177
0.050000,0.570587,4.240743,0.023810,0.571429,7.619048,76.190476,0.000050
0.050000,0.613444,4.240748,0.066667,1.142857,11.428571,76.190476,0.000183
0.050000,0.684873,4.240769,0.138095,1.714286,11.428571,0.000000,0.000405
0.050000,0.784872,4.240826,0.238095,2.285714,11.428571,-0.000000,0.000720
0.050000,0.913444,4.240944,0.366667,2.857143,11.428571,0.000000,0.001131
0.050000,1.070587,4.241162,0.523810,3.428571,11.428571,0.000000,0.001643
0.050000,1.256301,4.241525,0.709524,4.000000,11.428571,-0.000000,0.002262
0.050000,1.470585,4.242088,0.923810,4.571429,11.428571,0.000000,0.002995
0.050000,1.713441,4.242918,1.166667,5.142857,11.428571,0.000000,0.003850
0.050000,1.984867,4.244096,1.438095,5.714286,11.428571,-0.000000,0.004835
0.050000,2.284863,4.245715,1.738095,6.285714,11.428571,0.000000,0.005961
0.050000,2.613427,4.247882,2.066667,6.857143,11.428571,0.000000,0.007238
0.050000,2.970559,4.250723,2.423810,7.428571,11.428571,-0.000000,0.008680
0.050000,3.351494,4.254332,2.804762,7.809524,7.619048,-76.190476,0.010278
0.050000,3.746707,4.258733,3.200000,8.000000,3.809524,-76.190476,0.012003
0.050000,4.146674,4.263894,3.600000,8.000000,0.000000,-76.190476,0.013817
0.050000,4.546630,4.269795,4.000000,8.000000,0.000000,0.000000,0.015700
0.050000,4.946575,4.276463,4.400000,8.000000,0.000000,0.000000,0.017652
0.050000,5.346505,4.283925,4.800000,8.000000,0.000000,0.000000,0.019672
0.050000,5.746419,4.292209,5.200000,8.000000,0.000000,0.000000,0.021762
0.050000,6.146315,4.301342,5.600000,8.000000,0.000000,0.000000,0.023921
0.050000,6.546190,4.311353,6.000000,8.000000,0.000000,0.000000,0.026148
0.050000,6.946040,4.322268,6.400000,8.000000,0.000000,0.000000,0.028445
0.050000,7.345865,4.334115,6.800000,8.000000,0.000000,0.000000,0.030810
0.050000,7.745660,4.346921,7.200000,8.000000,0.000000,0.000000,0.033244
0.050000,8.132217,4.360317,7.600000,8.000000,0.000000,0.000000,0.037130
0.050000,8.531877,4.376780,8.000000,8.000000,0.000000,0.000000,0.045126
0.050000,8.931397,4.396337,8.400000,8.000000,0.000000,0.000000,0.052609
0.050000,9.330767,4.418779,8.800000,8.000000,0.000000,0.000000,0.059575
0.050000,9.729976,4.443899,9.200000,8.000000,0.000000,0.000000,0.066024
0.050000,10.129023,4.471490,9.600000,8.000000,0.000000,0.000000,0.071953
0.050000,10.527907,4.501343,10.000000,8.000000,0.000000,0.000000,0.077362
0.050000,10.926632,4.533248,10.400000,8.000000,0.000000,0.000000,0.082250
0.050000,11.325205,4.566999,10.800000,8.000000,0.000000,0.000000,0.086617
0.050000,11.723637,4.602386,11.200000,8.000000,0.000000,0.000000,0.090462
0.050000,12.121939,4.639201,11.600000,8.000000,0.000000,0.000000,0.093786
0.050000,12.520126,4.677235,12.000000,8.000000,0.000000,0.000000,0.096589
0.050000,12.918216,4.716283,12.400000,8.000000,0.000000,0.000000,0.098871
0.050000,13.316226,4.756134,12.800000,8.000000,0.000000,0.000000,0.100632
0.050000,13.714175,4.796583,13.200000,8.000000,0.000000,0.000000,0.101872
0.050000,14.112085,4.837422,13.600000,8.000000,0.000000,0.000000,0.102592
0.050000,14.509976,4.878444,14.000000,8.000000,0.000000,0.000000,0.102791
0.050000,14.907869,4.919441,14.400000,8.000000,0.000000,0.000000,0.102470
0.050000,15.305787,4.960207,14.800000,8.000000,0.000000,0.000000,0.101628
0.050000,15.703749,5.000535,15.200000,8.000000,0.000000,0.000000,0.100266
0.050000,16.101775,5.040216,15.600000,8.000000,0.000000,0.000000,0.098382
0.050000,16.499886,5.079044,16.000000,8.000000,0.000000,0.000000,0.095978
0.050000,16.898099,5.116812,16.400000,8.000000,0.000000,0.000000,0.093053
0.050000,17.296430,5.153310,16.800000,8.000000,0.000000,0.000000,0.089607
0.050000,17.694894,5.188332,17.200000,8.000000,0.000000,0.000000,0.085639
0.050000,18.092309,5.221571,17.598803,7.952132,-0.957370,-19.147391,0.081164
0.050000,18.482743,5.252384,17.990451,7.713787,-4.766893,-76.190476,0.076265
0.050000,18.856693,5.280003,18.365420,7.284966,-8.576417,-76.190476,0.071107
0.050000,19.205833,5.303966,18.715383,6.713537,-11.428571,-57.043085,0.065881
0.050000,19.526580,5.324307,19.036774,6.142109,-11.428571,-0.000000,0.060731
0.050000,19.818902,5.341358,19.329594,5.570680,-11.428571,0.000000,0.055747
0.050000,20.082774,5.355462,19.593842,4.999252,-11.428571,0.000000,0.051012
0.050000,20.318170,5.366963,19.829519,4.427823,-11.428571,0.000000,0.046599
0.050000,20.525069,5.376196,20.036624,3.856395,-11.428571,-0.000000,0.042574
0.050000,20.703455,5.383477,20.215158,3.284966,-11.428571,0.000000,0.038994
0.050000,20.853312,5.389093,20.365121,2.713537,-11.428571,-0.000000,0.035908
0.050000,20.974630,5.393297,20.486512,2.142109,-11.428571,0.000000,0.033357
0.050000,21.067401,5.396301,20.579332,1.570680,-11.428571,-0.000000,0.031375
0.050000,21.131619,5.398272,20.643580,0.999252,-11.428571,0.000000,0.029987
0.050000,21.168477,5.399362,20.680454,0.475692,-10.471202,19.147391,0.029185
0.050000,21.183928,5.399811,20.695911,0.142608,-6.661678,76.190476,0.028847
0.050000,21.187491,5.399914,20.699476,0.000000,-2.852154,76.190476,0.028769
0.050000,21.187491,5.399914,20.699476,0.000000,0.000000,57.043085,0.028769
