dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.646325,8.626131,0.002500,0.100000,2.000000,40.000000,5.772937
0.050000,5.647641,8.625396,0.004007,0.030141,-1.397173,-67.943454,5.774326
0.050000,5.652440,8.622729,0.009498,0.109813,1.593436,59.812169,5.776638
0.050000,5.670824,8.612568,0.030503,0.420105,6.205828,92.247840,5.779869
0.050000,5.694499,8.599596,0.057499,0.539920,2.396314,-76.190265,5.784013
0.050000,5.723493,8.583883,0.090477,0.659552,2.392640,-0.073493,5.789061
0.050000,5.757837,8.565513,0.129425,0.778962,2.388191,-0.088980,5.795004
0.050000,5.797568,8.544587,0.174330,0.898105,2.382867,-0.106469,5.801829
0.050000,5.842727,8.521220,0.225176,1.016924,2.376387,-0.129615,5.809522
0.050000,5.893355,8.495542,0.281944,1.135353,2.368579,-0.156155,5.818064
0.050000,5.949496,8.467697,0.344611,1.253334,2.359621,-0.179160,5.827434
0.050000,6.011192,8.437844,0.413150,1.370792,2.349156,-0.209293,5.837610
0.050000,6.078488,8.406155,0.487533,1.487655,2.337254,-0.238046,5.848562
0.050000,6.151421,8.372815,0.567725,1.603844,2.323782,-0.269431,5.860260
0.050000,6.230028,8.338021,0.653689,1.719271,2.308537,-0.304908,5.872670
0.050000,6.314341,8.301980,0.745382,1.833857,2.291726,-0.336208,5.885751
0.050000,6.404384,8.264908,0.842758,1.947523,2.273321,-0.368110,5.899463
0.050000,6.500174,8.227030,0.945765,2.060153,2.252590,-0.414611,5.913757
0.050000,6.601723,8.188575,1.054351,2.171723,2.231408,-0.423643,5.928584
0.050000,6.709030,8.149779,1.168457,2.282104,2.207612,-0.475935,5.943889
0.050000,6.822087,8.110877,1.288019,2.391238,2.182679,-0.498652,5.959616
0.050000,6.940874,8.072105,1.412973,2.499097,2.157187,-0.509843,5.975704
0.050000,7.065361,8.033698,1.543251,2.605550,2.129065,-0.562437,5.992091
0.050000,7.195512,7.995885,1.678783,2.710649,2.101973,-0.541830,6.008712
0.050000,7.331278,7.958889,1.819499,2.814315,2.073319,-0.573081,6.025503
0.050000,7.472601,7.922925,1.965326,2.916546,2.044628,-0.573824,6.042395
0.050000,7.619414,7.888197,2.116191,3.017299,2.015044,-0.591694,6.059324
0.050000,7.771647,7.854895,2.272024,3.116659,1.987209,-0.556681,6.076223
0.050000,7.929222,7.823198,2.432755,3.214620,1.959224,-0.559702,6.093027
0.050000,8.092055,7.793268,2.598317,3.311232,1.932241,-0.539667,6.109674
0.050000,8.260058,7.765252,2.768640,3.406455,1.904459,-0.555648,6.126104
0.050000,8.433146,7.739279,2.943666,3.500521,1.881311,-0.462954,6.142258
0.050000,8.611228,7.715462,3.123333,3.593340,1.856374,-0.498747,6.158081
0.050000,8.794212,7.693896,3.307584,3.685018,1.833563,-0.456206,6.173522
0.050000,8.982013,7.674656,3.496367,3.775664,1.812927,-0.412731,6.188532
0.050000,9.174545,7.657802,3.689636,3.865384,1.794408,-0.370368,6.203066
0.050000,9.371723,7.643375,3.887341,3.954093,1.774167,-0.404833,6.217082
0.050000,9.573470,7.631397,4.089443,4.042041,1.758971,-0.303913,6.230542
