dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.179235,3.674666,0.002500,0.100000,2.000000,40.000000,1.504880
0.050000,11.179188,3.673959,0.003209,0.014181,-1.716389,-74.327784,1.505534
0.050000,11.179818,3.683683,0.012953,0.194881,3.614006,106.607913,1.506617
0.050000,11.180823,3.699520,0.028822,0.317388,2.450136,-23.277405,1.508119
0.050000,11.182083,3.719910,0.049252,0.408588,1.823997,-12.522787,1.510027
0.050000,11.183573,3.744874,0.074259,0.500151,1.831263,0.145318,1.512325
0.050000,11.185264,3.774433,0.103867,0.592153,1.840043,0.175599,1.514990
0.050000,11.187122,3.808617,0.138101,0.684688,1.850712,0.213380,1.518000
0.050000,11.189109,3.847456,0.176991,0.777797,1.862182,0.229408,1.521327
0.050000,11.191185,3.890985,0.220570,0.871568,1.875417,0.264703,1.524942
0.050000,11.193305,3.939241,0.268873,0.966057,1.889765,0.286965,1.528811
0.050000,11.195424,3.992263,0.321937,1.061282,1.904501,0.294714,1.532899
0.050000,11.197492,4.050093,0.379803,1.157335,1.921070,0.331375,1.537169
0.050000,11.199461,4.112774,0.442516,1.254244,1.938174,0.342079,1.541582
0.050000,11.201281,4.180351,0.510118,1.352039,1.955911,0.354743,1.546096
0.050000,11.202905,4.252871,0.582655,1.450749,1.974201,0.365797,1.550670
0.050000,11.204286,4.330380,0.660177,1.550434,1.993699,0.389970,1.555258
0.050000,11.205378,4.412928,0.742732,1.651097,2.013244,0.390896,1.559816
0.050000,11.206141,4.500562,0.830369,1.752748,2.033018,0.395468,1.564297
0.050000,11.206539,4.593333,0.923141,1.855441,2.053877,0.417197,1.568655
0.050000,11.206540,4.691292,1.021100,1.959174,2.074645,0.415349,1.572840
0.050000,11.206121,4.794490,1.124299,2.063980,2.096127,0.429637,1.576804
0.050000,11.205265,4.902980,1.232792,2.169875,2.117910,0.435659,1.580497
0.050000,11.203964,5.016818,1.346637,2.276898,2.140461,0.451018,1.583865
0.050000,11.202222,5.136059,1.465891,2.385070,2.163436,0.459504,1.586858
0.050000,11.200053,5.260762,1.590613,2.494441,2.187415,0.479576,1.589418
0.050000,11.197486,5.390989,1.720865,2.605047,2.212120,0.494099,1.591490
0.050000,11.194564,5.526805,1.856713,2.716960,2.238263,0.522877,1.593012
0.050000,11.191348,5.668281,1.998226,2.830246,2.265719,0.549117,1.593923
0.050000,11.187917,5.815491,2.145476,2.944999,2.295052,0.586651,1.594153
0.050000,11.184373,5.968516,2.298542,3.061327,2.326560,0.630158,1.593631
0.050000,11.180840,6.127445,2.457510,3.179362,2.360712,0.683043,1.592278
0.050000,11.177471,6.292374,2.622473,3.299267,2.398099,0.747753,1.590008
0.050000,11.174452,6.463410,2.793535,3.421240,2.439458,0.827166,1.586725
0.050000,11.172004,6.640668,2.970811,3.545507,2.485330,0.917443,1.582324
0.050000,11.170388,6.824279,3.154429,3.672362,2.537116,1.035730,1.576685
0.050000,11.169916,7.014385,3.344535,3.802125,2.595257,1.162805,1.569674
0.050000,11.170955,7.211143,3.541296,3.935213,2.661758,1.330023,1.561139
0.050000,11.173939,7.414725,3.744900,4.072094,2.737613,1.517106,1.550903
0.050000,11.179379,7.625322,3.955567,4.213334,2.824802,1.743775,1.538767
0.050000,11.187757,7.840436,4.170844,4.305537,1.844053,-19.614968,1.524685
0.050000,11.199480,8.057483,4.388208,4.347276,0.834780,-20.185480,1.508680
0.050000,11.215056,8.276529,4.607807,4.391989,0.894272,1.189841,1.490613
