dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.261878,3.603199,0.002500,0.100000,2.000000,40.000000,1.504880
0.050000,12.261878,3.603199,0.010000,0.200000,2.000000,0.000000,1.505534
0.050000,12.262584,3.614095,0.022500,0.300000,2.000000,-0.000000,1.506617
0.050000,12.263693,3.631560,0.040000,0.400000,2.000000,0.000000,1.508119
0.050000,12.265081,3.654017,0.062500,0.500000,2.000000,-0.000000,1.510027
0.050000,12.266719,3.681468,0.090000,0.600000,2.000000,0.000000,1.512325
0.050000,12.268575,3.713915,0.122500,0.700000,2.000000,0.000000,1.514990
0.050000,12.270610,3.751360,0.160000,0.800000,2.000000,0.000000,1.518000
0.050000,12.272782,3.793804,0.202500,0.900000,2.000000,-0.000000,1.521327
0.050000,12.275045,3.841250,0.250000,1.000000,2.000000,0.000000,1.524942
0.050000,12.277349,3.893700,0.302500,1.100000,2.000000,0.000000,1.528811
0.050000,12.279644,3.951154,0.360000,1.200000,2.000000,-0.000000,1.532899
0.050000,12.281878,4.013614,0.422500,1.300000,2.000000,0.000000,1.537169
0.050000,12.283998,4.081081,0.490000,1.400000,2.000000,-0.000000,1.541582
0.050000,12.285950,4.153555,0.562500,1.500000,2.000000,0.000000,1.546096
0.050000,12.287686,4.231035,0.640000,1.600000,2.000000,0.000000,1.550670
0.050000,12.289155,4.313522,0.722500,1.700000,2.000000,-0.000000,1.555258
0.050000,12.290313,4.401014,0.810000,1.800000,2.000000,0.000000,1.559816
0.050000,12.291118,4.493510,0.902500,1.900000,2.000000,-0.000000,1.564297
0.050000,12.291537,4.591009,1.000000,2.000000,2.000000,0.000000,1.568655
0.050000,12.291538,4.693509,1.102500,2.100000,2.000000,0.000000,1.572840
0.050000,12.291102,4.801009,1.210000,2.200000,2.000000,0.000000,1.576804
0.050000,12.290214,4.913505,1.322500,2.300000,2.000000,-0.000000,1.580497
0.050000,12.288871,5.030997,1.440000,2.400000,2.000000,0.000000,1.583865
0.050000,12.287082,5.153484,1.562500,2.500000,2.000000,0.000000,1.586858
0.050000,12.284865,5.280965,1.690000,2.600000,2.000000,0.000000,1.589418
0.050000,12.282254,5.413439,1.822500,2.700000,2.000000,0.000000,1.591490
0.050000,12.279297,5.550908,1.960000,2.800000,2.000000,-0.000000,1.593012
0.050000,12.276058,5.693371,2.102500,2.900000,2.000000,0.000000,1.593923
0.050000,12.272621,5.840831,2.250000,3.000000,2.000000,0.000000,1.594153
0.050000,12.269090,5.993290,2.402500,3.100000,2.000000,0.000000,1.593631
0.050000,12.265589,6.150751,2.560000,3.200000,2.000000,0.000000,1.592278
0.050000,12.262271,6.313217,2.722500,3.300000,2.000000,-0.000000,1.590008
0.050000,12.259315,6.480691,2.890000,3.400000,2.000000,0.000000,1.586725
0.050000,12.256932,6.653175,3.062500,3.500000,2.000000,0.000000,1.582324
0.050000,12.255369,6.830668,3.240000,3.600000,2.000000,0.000000,1.576685
0.050000,12.254915,7.013167,3.422500,3.700000,2.000000,0.000000,1.569674
0.050000,12.255904,7.200664,3.610000,3.800000,2.000000,-0.000000,1.561139
0.050000,12.258724,7.393143,3.802500,3.900000,2.000000,0.000000,1.550903
0.050000,12.263823,7.590576,4.000000,4.000000,2.000000,0.000000,1.538767
0.050000,12.271604,7.790423,4.200000,4.000000,0.000000,-40.000000,1.524685
0.050000,12.282388,7.990130,4.400000,4.000000,0.000000,0.000000,1.508680
0.050000,12.296570,8.189623,4.600000,4.000000,0.000000,0.000000,1.490613
0.050000,12.314572,8.388808,4.800000,4.000000,0.000000,0.000000,1.470331
0.050000,12.336844,8.587560,5.000000,4.000000,0.000000,0.000000,1.447664
0.050000,12.363866,8.785721,5.200000,4.000000,0.000000,0.000000,1.422431
0.050000,12.396148,8.983092,5.400000,4.000000,0.000000,0.000000,1.394438
0.050000,12.434228,9.179424,5.600000,4.000000,0.000000,0.000000,1.363489
0.050000,12.478669,9.374415,5.800000,4.000000,0.000000,0.000000,1.329392
0.050000,12.530049,9.567690,6.000000,4.000000,0.000000,0.000000,1.291974
0.050000,12.588952,9.758805,6.200000,4.000000,0.000000,0.000000,1.251095
0.050000,12.655948,9.947232,6.400000,4.000000,0.000000,0.000000,1.206676
0.050000,12.731572,10.132363,6.600000,4.000000,0.000000,0.000000,1.158724
0.050000,12.816294,10.313507,6.800000,4.000000,0.000000,0.000000,1.107356
0.050000,12.910488,10.489909,7.000000,4.000000,0.000000,0.000000,1.052835
0.050000,13.014394,10.660767,7.200000,4.000000,0.000000,0.000000,0.995575
0.050000,13.128093,10.825268,7.400000,4.000000,0.000000,0.000000,0.936153
0.050000,13.251484,10.982628,7.600000,4.000000,0.000000,0.000000,0.875283
0.050000,13.384277,11.132138,7.800000,4.000000,0.000000,0.000000,0.813774
0.050000,13.526004,11.273207,8.000000,4.000000,0.000000,0.000000,0.752472
0.050000,13.676051,11.405397,8.200000,4.000000,0.000000,0.000000,0.692189
0.050000,13.832500,11.527562,8.398524,3.940979,-1.180411,-23.608224,0.634073
0.050000,13.992330,11.638441,8.593073,3.840979,-2.000000,-16.391776,0.579339
0.050000,14.153538,11.738102,8.782622,3.740979,-2.000000,-0.000000,0.528508
0.050000,14.315050,11.827355,8.967171,3.640979,-2.000000,0.000000,0.481616
0.050000,14.475931,11.907039,9.146720,3.540979,-2.000000,0.000000,0.438568
0.050000,14.635395,11.977997,9.321269,3.440979,-2.000000,0.000000,0.399178
0.050000,14.792776,12.041041,9.490818,3.340979,-2.000000,0.000000,0.363210
0.050000,14.947530,12.096942,9.655367,3.240979,-2.000000,-0.000000,0.330403
0.050000,15.099209,12.146416,9.814916,3.140979,-2.000000,0.000000,0.300487
0.050000,15.247444,12.190121,9.969465,3.040979,-2.000000,0.000000,0.273205
0.050000,15.391937,12.228658,10.119014,2.940979,-2.000000,0.000000,0.248310
0.050000,15.532448,12.262572,10.263563,2.840979,-2.000000,0.000000,0.225576
0.050000,15.668779,12.292357,10.403112,2.740979,-2.000000,-0.000000,0.204795
0.050000,15.800770,12.318455,10.537661,2.640979,-2.000000,0.000000,0.185783
0.050000,15.928293,12.341266,10.667210,2.540979,-2.000000,0.000000,0.168372
0.050000,16.051244,12.361149,10.791759,2.440979,-2.000000,0.000000,0.152413
0.050000,16.169536,12.378428,10.911308,2.340979,-2.000000,0.000000,0.137775
0.050000,16.283102,12.393392,11.025857,2.240979,-2.000000,-0.000000,0.124340
0.050000,16.391890,12.406303,11.135406,2.140979,-2.000000,0.000000,0.112004
0.050000,16.495850,12.417396,11.239955,2.040979,-2.000000,0.000000,0.100675
0.050000,16.594941,12.426883,11.339504,1.940979,-2.000000,0.000000,0.090273
0.050000,16.689148,12.434954,11.434053,1.840979,-2.000000,-0.000000,0.080724
0.050000,16.778436,12.441782,11.523602,1.740979,-2.000000,0.000000,0.071964
0.050000,16.862785,12.447521,11.608151,1.640979,-2.000000,-0.000000,0.063937
0.050000,16.942194,12.452311,11.687700,1.540979,-2.000000,0.000000,0.056592
0.050000,17.016637,12.456277,11.762249,1.440979,-2.000000,0.000000,0.049885
0.050000,17.086106,12.459532,11.831798,1.340979,-2.000000,-0.000000,0.043777
0.050000,17.150602,12.462177,11.896347,1.240979,-2.000000,0.000000,0.038232
0.050000,17.210111,12.464304,11.955896,1.140979,-2.000000,-0.000000,0.033219
0.050000,17.264636,12.465992,12.010445,1.040979,-2.000000,0.000000,0.028711
0.050000,17.314165,12.467315,12.059994,0.940979,-2.000000,0.000000,0.024685
0.050000,17.358707,12.468335,12.104543,0.840979,-2.000000,-0.000000,0.021119
0.050000,17.398248,12.469108,12.144092,0.740979,-2.000000,0.000000,0.017996
0.050000,17.432789,12.469683,12.178641,0.640979,-2.000000,0.000000,0.015299
0.050000,17.462334,12.470101,12.208190,0.540979,-2.000000,0.000000,0.013016
0.050000,17.486880,12.470398,12.232739,0.440979,-2.000000,-0.000000,0.011135
0.050000,17.506428,12.470601,12.252287,0.340979,-2.000000,0.000000,0.009648
0.050000,17.520978,12.470733,12.266836,0.240979,-2.000000,-0.000000,0.008547
0.050000,17.530526,12.470811,12.276385,0.140979,-2.000000,0.000000,0.007827
0.050000,17.535079,12.470846,12.280934,0.040979,-2.000000,0.000000,0.007484
0.050000,17.536104,12.470854,12.281959,0.000000,-0.819589,23.608224,0.007407
0.050000,17.536104,12.470854,12.281959,0.000000,0.000000,16.391776,0.007407
