dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554207,3.155743,0.004762,0.190476,3.809524,76.190476,6.283140
0.050000,0.570878,3.155745,0.021433,0.333426,2.859005,-19.010379,0.000269
0.050000,0.614494,3.155772,0.065049,0.872312,10.777702,158.373939,0.000968
0.050000,0.687165,3.155884,0.137720,1.453415,11.622062,16.887206,0.002113
0.050000,0.788857,3.156179,0.239413,2.033860,11.608916,-0.262914,0.003673
0.050000,0.919525,3.156786,0.370082,2.613386,11.590505,-0.368236,0.005607
0.050000,1.079108,3.157862,0.529668,3.191727,11.566817,-0.473761,0.007859
0.050000,1.267531,3.159581,0.718099,3.768619,11.537847,-0.579395,0.010363
0.050000,1.484706,3.162127,0.935289,4.343799,11.503594,-0.685067,0.013039
0.050000,1.730530,3.165677,1.181139,4.917001,11.464059,-0.790700,0.015798
0.050000,2.004888,3.170396,1.455537,5.487964,11.419249,-0.896195,0.018535
0.050000,2.307649,3.176413,1.758358,6.056423,11.369174,-1.001494,0.021135
0.050000,2.638672,3.183812,2.089464,6.622115,11.313845,-1.106575,0.023471
0.050000,2.997804,3.192608,2.448703,7.184778,11.253270,-1.211507,0.025403
0.050000,3.380105,3.202606,2.831135,7.648642,9.277263,-39.520137,0.026767
0.050000,3.775907,3.213358,3.227084,7.918969,5.406541,-77.414435,0.027421
0.050000,4.175621,3.224322,3.626947,7.997273,1.566093,-76.808962,0.027296
0.050000,4.574480,3.235055,4.025951,7.980066,-0.344154,-38.204941,0.026377
0.050000,4.972492,3.245242,4.424093,7.962856,-0.344196,-0.000836,0.024665
0.050000,5.369665,3.254569,4.821375,7.945643,-0.344254,-0.001177,0.022161
0.050000,5.766002,3.262726,5.217797,7.928428,-0.344307,-0.001049,0.018862
0.050000,6.161506,3.269404,5.613357,7.911212,-0.344321,-0.000286,0.014771
0.050000,6.556176,3.274296,6.008057,7.893999,-0.344253,0.001358,0.009887
0.050000,6.950006,3.277099,6.401897,7.876797,-0.344050,0.004072,0.004209
0.050000,7.342986,3.277508,6.794878,7.859614,-0.343648,0.008041,6.280926
0.050000,7.735103,3.275225,7.187001,7.842466,-0.342971,0.013540,6.273667
0.050000,8.113380,3.270188,7.565312,7.566207,-5.525179,-103.644165,6.266095
0.050000,8.505288,3.262034,7.957305,7.839866,5.473196,219.967492,6.258716
0.050000,8.897445,3.251036,8.349616,7.846214,0.126951,-106.924901,6.251630
0.050000,9.289835,3.237306,8.742246,7.852612,0.127956,0.020103,6.244839
0.050000,9.682448,3.220956,9.135199,7.859052,0.128805,0.016989,6.238344
0.050000,10.075272,3.202100,9.528475,7.865529,0.129544,0.014774,6.232148
0.050000,10.468300,3.180851,9.922077,7.872038,0.130171,0.012541,6.226251
0.050000,10.861525,3.157325,10.316006,7.878572,0.130686,0.010309,6.220656
0.050000,11.254944,3.131637,10.710262,7.885127,0.131107,0.008418,6.215363
0.050000,11.648553,3.103904,11.104847,7.891700,0.131449,0.006835,6.210372
0.050000,12.042352,3.074241,11.499761,7.898286,0.131718,0.005373,6.205685
0.050000,12.436340,3.042767,11.895005,7.904882,0.131921,0.004054,6.201302
0.050000,12.830522,3.009598,12.290580,7.911485,0.132068,0.002940,6.197224
0.050000,13.224899,2.974853,12.686484,7.918094,0.132169,0.002033,6.193449
0.050000,13.619477,2.938650,13.082720,7.924705,0.132231,0.001246,6.189980
0.050000,14.014261,2.901106,13.479286,7.931318,0.132261,0.000590,6.186815
0.050000,14.409260,2.862341,13.876182,7.937932,0.132267,0.000124,6.183955
0.050000,14.804482,2.822473,14.273409,7.944544,0.132254,-0.000265,6.181399
0.050000,15.199935,2.781622,14.670967,7.951156,0.132227,-0.000535,6.179148
0.050000,15.595631,2.739907,15.068855,7.957765,0.132191,-0.000733,6.177202
0.050000,15.991579,2.697446,15.467074,7.964373,0.132153,-0.000756,6.175560
0.050000,16.387792,2.654360,15.865623,7.970979,0.132113,-0.000789,6.174223
0.050000,16.784282,2.610768,16.264502,7.977582,0.132077,-0.000735,6.173190
0.050000,17.181062,2.566791,16.663711,7.984185,0.132045,-0.000637,6.172461
0.050000,17.578144,2.522548,17.063251,7.990786,0.132022,-0.000460,6.172037
0.050000,17.975542,2.478161,17.463120,7.997386,0.132007,-0.000297,6.171916
0.050000,18.370222,2.434089,17.860253,7.942657,-1.094572,-24.531580,6.172097
0.050000,18.754398,2.391316,18.246803,7.731000,-4.233149,-62.771545,6.172561
0.050000,19.118566,2.350986,18.613197,7.327877,-8.062456,-76.586130,6.173261
0.050000,19.456242,2.313861,18.952908,6.794220,-10.673145,-52.213782,6.174137
0.050000,19.765676,2.280134,19.264175,6.225343,-11.377546,-14.088013,6.175130
0.050000,20.046811,2.249784,19.546943,5.655369,-11.399478,-0.438642,6.176190
0.050000,20.299592,2.222770,19.801163,5.084399,-11.419394,-0.398327,6.177271
0.050000,20.523967,2.199035,20.026790,4.512534,-11.437297,-0.358051,6.178333
0.050000,20.719889,2.178514,20.223784,3.939875,-11.453183,-0.317723,6.179337
0.050000,20.887316,2.161141,20.392110,3.366523,-11.467048,-0.277306,6.180253
0.050000,21.026212,2.146849,20.531739,2.792578,-11.478898,-0.236993,6.181053
0.050000,21.136544,2.135578,20.642646,2.218142,-11.488723,-0.196503,6.181715
0.050000,21.218290,2.127276,20.724812,1.643315,-11.496527,-0.156086,6.182219
0.050000,21.271428,2.121901,20.778222,1.068200,-11.502309,-0.115639,6.182554
0.050000,21.299018,2.119118,20.805951,0.554596,-10.272078,24.604619,6.182730
0.050000,21.308894,2.118123,20.815877,0.198507,-7.121769,63.006191,6.182793
0.050000,21.310595,2.117951,20.817587,0.034202,-3.286105,76.713272,6.182804
0.050000,21.310595,2.117951,20.817587,0.000000,-0.684044,52.041224,6.182804
