dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.680079,11.179409,0.005000,0.200000,4.000000,80.000000,0.016389
0.050000,6.698168,11.179705,0.023092,0.361832,3.236643,-15.267150,0.016423
0.050000,6.743094,11.180445,0.068023,0.898636,10.736087,149.988890,0.016486
0.050000,6.823018,11.181765,0.147958,1.598701,14.001295,65.304163,0.016546
0.050000,6.943039,11.183751,0.267996,2.400752,16.041024,40.794580,0.016511
0.050000,7.103320,11.186379,0.428298,3.206045,16.105843,1.296370,0.016233
0.050000,7.304077,11.189572,0.629081,4.015660,16.192302,1.729187,0.015511
0.050000,7.545585,11.193160,0.870616,4.830684,16.300487,2.163692,0.014097
0.050000,7.828172,11.196823,1.153226,5.652212,16.430561,2.601487,0.011691
0.050000,8.152223,11.200032,1.477294,6.481352,16.582793,3.044649,0.007942
0.050000,8.513087,11.201961,1.838162,7.217373,14.720421,-37.247444,0.002532
0.050000,8.900954,11.201585,2.226030,7.757347,10.799489,-78.418636,6.278466
0.050000,9.305859,11.197876,2.630951,8.098428,6.821615,-79.557493,6.269321
0.050000,9.717646,11.189971,3.042815,8.237271,2.776858,-80.895136,6.258384
0.050000,10.131143,11.177158,3.456510,8.273900,0.732583,-40.885499,6.245760
0.050000,10.546258,11.158695,3.872036,8.310522,0.732435,-0.002956,6.231447
0.050000,10.962869,11.133835,4.289387,8.347023,0.730029,-0.048128,6.215451
0.050000,11.380807,11.101827,4.708549,8.383249,0.724512,-0.110334,6.197785
0.050000,11.799862,11.061927,5.129499,8.418998,0.714992,-0.190412,6.178470
0.050000,12.219768,11.013400,5.552200,8.454024,0.700517,-0.289493,6.157540
0.050000,12.640207,10.955534,5.976602,8.488033,0.680168,-0.406972,6.135042
0.050000,13.060797,10.887646,6.402637,8.520689,0.653116,-0.541037,6.111037
0.050000,13.481101,10.809097,6.830218,8.551620,0.618635,-0.689621,6.085606
0.050000,13.867096,10.727834,7.224673,7.889116,-13.250087,-277.374457,6.078905
0.050000,14.221560,10.661321,7.585324,7.213011,-13.522092,-5.440098,6.115153
0.050000,14.585366,10.605314,7.953416,7.361846,2.976689,329.975630,6.144550
0.050000,14.957137,10.558036,8.328181,7.495292,2.668915,-6.155475,6.167800
0.050000,15.335808,10.517715,8.708992,7.616225,2.418679,-5.004737,6.185481
0.050000,15.720585,10.482604,9.095368,7.727524,2.225967,-3.854223,6.198035
0.050000,16.110903,10.450966,9.486966,7.831958,2.088683,-2.745689,6.205779
0.050000,16.506382,10.421066,9.883574,7.932157,2.003984,-1.693989,6.208905
0.050000,16.906797,10.391136,10.285106,8.030640,1.969653,-0.686600,6.207493
0.050000,17.312045,10.359338,10.691600,8.129880,1.984803,0.302994,6.201508
0.050000,17.722119,10.323719,11.103218,8.232354,2.049480,1.293529,6.190798
0.050000,18.137076,10.282158,11.520251,8.340666,2.166247,2.335353,6.175096
0.050000,18.557001,10.232294,11.943126,8.457493,2.336537,3.405789,6.154006
0.050000,18.981953,10.171457,12.372410,8.585693,2.563998,4.549234,6.127004
0.050000,19.411888,10.096576,12.808817,8.728143,2.849005,5.700130,6.093430
0.050000,19.846530,10.004101,13.253189,8.887429,3.185709,6.734074,6.052506
0.050000,20.285183,9.889938,13.706454,9.065305,3.557524,7.436314,6.003371
0.050000,20.726438,9.749451,14.169534,9.261588,3.925659,7.362692,5.945174
0.050000,21.167788,9.577618,14.643154,9.472415,4.216536,5.817536,5.877236
0.050000,21.605187,9.369436,15.127568,9.688281,4.317322,2.015728,5.799322
0.050000,22.032703,9.120701,15.622179,9.892208,4.078547,-4.775511,5.711978
0.050000,22.442592,8.829105,16.125207,10.060569,3.367223,-14.226481,5.616845
0.050000,22.826087,8.495338,16.633605,10.167959,2.147796,-24.388527,5.516743
0.050000,23.174933,8.123577,17.143408,10.196065,0.562126,-31.713402,5.415339
0.050000,23.483121,7.720871,17.650510,10.142036,-1.080587,-32.854252,5.316437
0.050000,23.747945,7.295615,18.151483,10.019464,-2.451449,-27.417253,5.223206
0.050000,23.969947,6.855852,18.644106,9.852446,-3.340357,-17.778157,5.137702
0.050000,24.152019,6.408175,19.127391,9.665707,-3.734782,-7.888496,5.060828
0.050000,24.298057,5.958138,19.600530,9.462779,-4.058545,-6.475261,4.992697
0.050000,24.411221,5.515299,20.057600,9.141400,-6.427596,-47.381026,4.933519
0.050000,24.494977,5.092639,20.488478,8.617561,-10.476779,-80.983666,4.883403
0.050000,24.554001,4.701923,20.883627,7.902979,-14.291637,-76.297141,4.841922
0.050000,24.593394,4.353292,21.234477,7.016994,-17.719691,-68.561090,4.808381
0.050000,24.618389,4.050856,21.537944,6.069346,-18.952969,-24.665560,4.781654
0.050000,24.633460,3.793892,21.795350,5.148122,-18.424466,10.570060,4.760513
0.050000,24.641914,3.581725,22.007685,4.246692,-18.028608,7.917158,4.744056
0.050000,24.646181,3.413825,22.175639,3.359081,-17.752226,5.527638,4.731630
0.050000,24.648016,3.289750,22.299728,2.481786,-17.545904,4.126437,4.722769
0.050000,24.648629,3.208434,22.381046,1.626358,-17.108544,8.747197,4.717104
0.050000,24.648771,3.163543,22.425938,0.897832,-14.570524,50.760416,4.714023
0.050000,24.648790,3.144188,22.445292,0.387098,-10.214673,87.117010,4.712705
0.050000,24.648791,3.139531,22.449949,0.093138,-5.879205,86.709371,4.712389
0.050000,24.648791,3.139531,22.449949,0.000000,-1.862765,80.328795,4.712389
