dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.697860,10.094554,0.005000,0.200000,4.000000,80.000000,0.016389
0.050000,6.715986,10.094852,0.025000,0.600000,8.000000,80.000000,0.016423
0.050000,6.760980,10.095592,0.070000,1.200000,12.000000,80.000000,0.016486
0.050000,6.840969,10.096914,0.150000,2.000000,16.000000,80.000000,0.016546
0.050000,6.960953,10.098899,0.270000,2.800000,16.000000,-0.000000,0.016511
0.050000,7.120931,10.101522,0.430000,3.600000,16.000000,0.000000,0.016233
0.050000,7.320906,10.104703,0.630000,4.400000,16.000000,0.000000,0.015511
0.050000,7.560880,10.108268,0.870000,5.200000,16.000000,-0.000000,0.014097
0.050000,7.840856,10.111897,1.150000,6.000000,16.000000,0.000000,0.011691
0.050000,8.160840,10.115066,1.470000,6.800000,16.000000,0.000000,0.007942
0.050000,8.515835,10.116965,1.825000,7.400000,12.000000,-80.000000,0.002532
0.050000,8.895834,10.116597,2.205000,7.800000,8.000000,-80.000000,6.278466
0.050000,9.290816,10.112981,2.600000,8.000000,4.000000,-80.000000,6.269321
0.050000,9.690740,10.105304,3.000000,8.000000,0.000000,-80.000000,6.258384
0.050000,10.090546,10.092917,3.400000,8.000000,0.000000,0.000000,6.245760
0.050000,10.490147,10.075147,3.800000,8.000000,0.000000,0.000000,6.231447
0.050000,10.889433,10.051323,4.200000,8.000000,0.000000,0.000000,6.215451
0.050000,11.288260,10.020781,4.600000,8.000000,0.000000,0.000000,6.197785
0.050000,11.686453,9.982870,5.000000,8.000000,0.000000,0.000000,6.178470
0.050000,12.083802,9.936953,5.400000,8.000000,0.000000,0.000000,6.157540
0.050000,12.480058,9.882418,5.800000,8.000000,0.000000,0.000000,6.135042
0.050000,12.874938,9.818683,6.200000,8.000000,0.000000,0.000000,6.111037
0.050000,13.268120,9.745206,6.600000,8.000000,0.000000,0.000000,6.085606
0.050000,13.646990,9.665394,7.000000,8.000000,0.000000,0.000000,6.078905
0.050000,14.040102,9.591602,7.400000,8.000000,0.000000,0.000000,6.115153
0.050000,14.435428,9.530724,7.800000,8.000000,0.000000,0.000000,6.144550
0.050000,14.832222,9.480250,8.200000,8.000000,0.000000,0.000000,6.167800
0.050000,15.229967,9.437890,8.600000,8.000000,0.000000,0.000000,6.185481
0.050000,15.628309,9.401535,9.000000,8.000000,0.000000,0.000000,6.198035
0.050000,16.027000,9.369215,9.400000,8.000000,0.000000,0.000000,6.205779
0.050000,16.425862,9.339058,9.800000,8.000000,0.000000,0.000000,6.208905
0.050000,16.824749,9.309243,10.200000,8.000000,0.000000,0.000000,6.207493
0.050000,17.223524,9.277955,10.600000,8.000000,0.000000,0.000000,6.201508
0.050000,17.622022,9.243347,11.000000,8.000000,0.000000,0.000000,6.190798
0.050000,18.020027,9.203490,11.400000,8.000000,0.000000,0.000000,6.175096
0.050000,18.417231,9.156335,11.800000,8.000000,0.000000,0.000000,6.154006
0.050000,18.813184,9.099663,12.200000,8.000000,0.000000,0.000000,6.127004
0.050000,19.207236,9.031051,12.600000,8.000000,0.000000,0.000000,6.093430
0.050000,19.598457,8.947841,13.000000,8.000000,0.000000,0.000000,6.052506
0.050000,19.985531,8.847137,13.400000,8.000000,0.000000,0.000000,6.003371
0.050000,20.366639,8.725845,13.800000,8.000000,0.000000,0.000000,5.945174
0.050000,20.739331,8.580798,14.200000,8.000000,0.000000,0.000000,5.877236
0.050000,21.100442,8.408990,14.600000,8.000000,0.000000,0.000000,5.799322
0.050000,21.446100,8.207946,15.000000,8.000000,0.000000,0.000000,5.711978
0.050000,21.771939,7.976198,15.400000,8.000000,0.000000,0.000000,5.616845
0.050000,22.073556,7.713722,15.800000,8.000000,0.000000,0.000000,5.516743
0.050000,22.347144,7.422156,16.200000,8.000000,0.000000,0.000000,5.415339
0.050000,22.590119,7.104614,16.600000,8.000000,0.000000,0.000000,5.316437
0.050000,22.801450,6.765170,17.000000,8.000000,0.000000,0.000000,5.223206
0.050000,22.981610,6.408175,17.400000,8.000000,0.000000,0.000000,5.137702
0.050000,23.132220,6.037723,17.800000,8.000000,0.000000,0.000000,5.060828
0.050000,23.255405,5.657971,18.199310,7.972383,-0.552338,-11.046757,4.992697
0.050000,23.352640,5.277323,18.592238,7.744766,-4.552338,-80.000000,4.933519
0.050000,23.425804,4.907992,18.968786,7.317149,-8.552338,-80.000000,4.883403
0.050000,23.478090,4.561773,19.318953,6.689532,-12.552338,-80.000000,4.841922
0.050000,23.513389,4.249301,19.633430,5.889532,-16.000000,-68.953243,4.808381
0.050000,23.535991,3.975764,19.907906,5.089532,-16.000000,0.000000,4.781654
0.050000,23.549716,3.741697,20.142383,4.289532,-16.000000,0.000000,4.760513
0.050000,23.557458,3.547373,20.336860,3.489532,-16.000000,0.000000,4.744056
0.050000,23.561382,3.392950,20.491336,2.689532,-16.000000,-0.000000,4.731630
0.050000,23.563075,3.278488,20.605813,1.889532,-16.000000,0.000000,4.722769
0.050000,23.563641,3.203319,20.680980,1.117149,-15.447662,11.046757,4.717104
0.050000,23.563773,3.161770,20.722528,0.544766,-11.447662,80.000000,4.714023
0.050000,23.563790,3.143845,20.740457,0.172383,-7.447662,80.000000,4.712705
0.050000,23.563791,3.139531,20.744766,0.000000,-3.447662,80.000000,4.712389
0.050000,23.563791,3.139531,20.744766,0.000000,0.000000,68.953243,4.712389
