dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.529246,3.412823,0.003723,0.148936,2.978723,59.574468,0.023053
0.050000,0.528710,3.412811,0.004260,0.010722,-2.764282,-114.860105,0.023547
0.050000,0.534131,3.412942,0.009683,0.108461,1.954769,94.381022,0.024372
0.050000,0.558931,3.413561,0.034490,0.496151,7.753811,115.980840,0.025529
0.050000,0.590811,3.414399,0.066381,0.637825,2.833480,-98.406617,0.027023
0.050000,0.629759,3.415488,0.105345,0.779268,2.828859,-0.092436,0.028858
0.050000,0.675779,3.416866,0.151385,0.920804,2.830718,0.037193,0.031039
0.050000,0.728852,3.418581,0.204486,1.062024,2.824397,-0.126430,0.033573
0.050000,0.788973,3.420687,0.264643,1.203146,2.822450,-0.038939,0.036467
0.050000,0.856129,3.423247,0.331848,1.344092,2.818906,-0.070870,0.039730
0.050000,0.930305,3.426331,0.406088,1.484808,2.814329,-0.091556,0.043372
0.050000,1.011482,3.430017,0.487349,1.625213,2.808106,-0.124450,0.047404
0.050000,1.099650,3.434396,0.575626,1.765533,2.806390,-0.034314,0.051839
0.050000,1.194777,3.439562,0.670893,1.905344,2.796228,-0.203242,0.056691
0.050000,1.296844,3.445624,0.773139,2.044930,2.791708,-0.090409,0.061974
0.050000,1.405818,3.452699,0.882343,2.184068,2.782772,-0.178718,0.067707
0.050000,1.521673,3.460916,0.998489,2.322927,2.777182,-0.111808,0.073907
0.050000,1.644367,3.470412,1.121550,2.461219,2.765830,-0.227039,0.080597
0.050000,1.773858,3.481339,1.251501,2.599023,2.756090,-0.194788,0.087796
0.050000,1.910104,3.493861,1.388322,2.736412,2.747771,-0.166387,0.095532
0.050000,2.053046,3.508155,1.531977,2.873097,2.733700,-0.281422,0.103830
0.050000,2.202627,3.524411,1.682439,3.009238,2.722819,-0.217623,0.112720
0.050000,2.358772,3.542837,1.839667,3.144569,2.706617,-0.324027,0.122233
0.050000,2.521410,3.563653,2.003632,3.279296,2.694543,-0.241482,0.132405
0.050000,2.690448,3.587097,2.174288,3.413115,2.676378,-0.363296,0.143272
0.050000,2.865787,3.613426,2.351592,3.546087,2.659438,-0.338804,0.154874
0.050000,3.047310,3.642913,2.535494,3.678047,2.639201,-0.404737,0.167256
0.050000,3.234897,3.675853,2.725952,3.809147,2.622015,-0.343717,0.180464
0.050000,3.428396,3.712559,2.922901,3.938994,2.596926,-0.501786,0.194549
0.050000,3.627648,3.753368,3.126289,4.067763,2.575380,-0.430924,0.209564
0.050000,3.832467,3.798637,3.336052,4.195249,2.549724,-0.513124,0.225567
0.050000,4.042648,3.848746,3.552123,4.321421,2.523448,-0.525515,0.242617
0.050000,4.257958,3.904101,3.774435,4.446245,2.496479,-0.539376,0.260780
0.050000,4.478135,3.965130,4.002914,4.569574,2.466568,-0.598226,0.280120
0.050000,4.702890,4.032286,4.237487,4.691459,2.437708,-0.577189,0.300707
0.050000,4.931899,4.106046,4.478082,4.811895,2.408721,-0.579756,0.322610
0.050000,5.164796,4.186908,4.724617,4.930705,2.376194,-0.650539,0.345898
0.050000,5.401180,4.275396,4.977021,5.048082,2.347548,-0.572914,0.370638
0.050000,5.640612,4.372054,5.235227,5.164110,2.320552,-0.539915,0.396895
0.050000,5.882605,4.477441,5.499172,5.278908,2.295970,-0.491649,0.424726
0.050000,6.126627,4.592133,5.768803,5.392625,2.274339,-0.432614,0.454177
0.050000,6.372105,4.716717,6.044085,5.505644,2.260382,-0.279146,0.485282
0.050000,6.618418,4.851785,6.325001,5.618314,2.253399,-0.139662,0.518056
0.050000,6.864906,4.997932,6.611559,5.731151,2.256743,0.066893,0.552494
0.050000,7.110868,5.155743,6.903795,5.844716,2.271294,0.291014,0.588559
0.050000,7.355572,5.325792,7.201782,5.959747,2.300625,0.586616,0.626185
0.050000,7.598253,5.508629,7.505630,6.076961,2.344270,0.872905,0.665271
0.050000,7.835648,5.702661,7.812232,6.132047,1.101725,-24.850912,0.705250
0.050000,8.064839,5.905861,8.118531,6.125970,-0.121543,-24.465344,0.745509
0.050000,8.285594,6.118078,8.424748,6.124335,-0.032696,1.776934,0.785843
0.050000,8.497723,6.339116,8.731108,6.127202,0.057331,1.800544,0.826045
0.050000,8.701072,6.568745,9.037833,6.134498,0.145915,1.771684,0.865911
0.050000,8.895530,6.806693,9.345132,6.145997,0.229995,1.681597,0.905247
0.050000,9.081025,7.052655,9.653200,6.161361,0.307270,1.545489,0.943876
0.050000,9.257526,7.306295,9.962208,6.180158,0.375953,1.373658,0.981640
0.050000,9.425039,7.567251,10.272302,6.201876,0.434357,1.168096,1.018404
0.050000,9.583607,7.835138,10.583602,6.225988,0.482236,0.957573,1.054057
0.050000,9.733308,8.109559,10.896200,6.251962,0.519487,0.745017,1.088514
0.050000,9.874255,8.390107,11.210163,6.279260,0.545960,0.529459,1.121715
0.050000,10.005898,8.674821,11.523838,6.273511,-0.114983,-13.218860,1.153451
0.050000,10.127264,8.960087,11.833848,6.200198,-1.466256,-27.025449,1.183407
0.050000,10.238330,9.243713,12.138446,6.091955,-2.164879,-13.972461,1.211490
0.050000,10.339776,9.525068,12.437531,5.981702,-2.205055,-0.803536,1.237791
