dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554256,2.328112,0.003723,0.148936,2.978723,59.574468,0.023053
0.050000,0.554256,2.328112,0.014894,0.297872,2.978723,0.000000,0.023547
0.050000,0.560572,2.328265,0.033511,0.446809,2.978723,0.000000,0.024372
0.050000,0.586627,2.328915,0.059574,0.595745,2.978723,0.000000,0.025529
0.050000,0.620128,2.329795,0.093085,0.744681,2.978723,0.000000,0.027023
0.050000,0.661066,2.330939,0.134043,0.893617,2.978723,0.000000,0.028858
0.050000,0.709451,2.332389,0.182447,1.042553,2.978723,-0.000000,0.031039
0.050000,0.765272,2.334193,0.238298,1.191489,2.978723,0.000000,0.033573
0.050000,0.828531,2.336409,0.301596,1.340426,2.978723,0.000000,0.036467
0.050000,0.899224,2.339103,0.372340,1.489362,2.978723,-0.000000,0.039730
0.050000,0.977349,2.342351,0.450532,1.638298,2.978723,0.000000,0.043372
0.050000,1.062896,2.346236,0.536170,1.787234,2.978723,-0.000000,0.047404
0.050000,1.155870,2.350853,0.629255,1.936170,2.978723,0.000000,0.051839
0.050000,1.256253,2.356305,0.729787,2.085106,2.978723,-0.000000,0.056691
0.050000,1.364043,2.362707,0.837766,2.234043,2.978723,0.000000,0.061974
0.050000,1.479223,2.370185,0.953191,2.382979,2.978723,-0.000000,0.067707
0.050000,1.601790,2.378878,1.076064,2.531915,2.978723,0.000000,0.073907
0.050000,1.731719,2.388934,1.206383,2.680851,2.978723,0.000000,0.080597
0.050000,1.868995,2.400518,1.344149,2.829787,2.978723,-0.000000,0.087796
0.050000,2.013599,2.413808,1.489362,2.978723,2.978723,0.000000,0.095532
0.050000,2.165500,2.428998,1.642021,3.127660,2.978723,0.000000,0.103830
0.050000,2.324670,2.446297,1.802128,3.276596,2.978723,0.000000,0.112720
0.050000,2.491066,2.465932,1.969681,3.425532,2.978723,-0.000000,0.122233
0.050000,2.664650,2.488149,2.144681,3.574468,2.978723,0.000000,0.132405
0.050000,2.845367,2.513214,2.327128,3.723404,2.978723,0.000000,0.143272
0.050000,3.033154,2.541412,2.517021,3.872340,2.978723,0.000000,0.154874
0.050000,3.227937,2.573054,2.714362,4.021277,2.978723,0.000000,0.167256
0.050000,3.429639,2.608473,2.919149,4.170213,2.978723,-0.000000,0.180464
0.050000,3.638152,2.648028,3.131383,4.319149,2.978723,0.000000,0.194549
0.050000,3.853364,2.692106,3.351064,4.468085,2.978723,0.000000,0.209564
0.050000,4.075137,2.741122,3.578191,4.617021,2.978723,-0.000000,0.225567
0.050000,4.303312,2.795523,3.812766,4.765957,2.978723,0.000000,0.242617
0.050000,4.537708,2.855786,4.054787,4.914894,2.978723,0.000000,0.260780
0.050000,4.778106,2.922421,4.304255,5.063830,2.978723,-0.000000,0.280120
0.050000,5.024262,2.995972,4.561170,5.212766,2.978723,0.000000,0.300707
0.050000,5.275890,3.077019,4.825532,5.361702,2.978723,0.000000,0.322610
0.050000,5.532656,3.166171,5.097340,5.510638,2.978723,-0.000000,0.345898
0.050000,5.794179,3.264072,5.376596,5.659574,2.978723,0.000000,0.370638
0.050000,6.060026,3.371395,5.663298,5.808511,2.978723,0.000000,0.396895
0.050000,6.329702,3.488841,5.957447,5.957447,2.978723,-0.000000,0.424726
0.050000,6.602641,3.617127,6.259043,6.106383,2.978723,0.000000,0.454177
0.050000,6.878211,3.756987,6.568085,6.255319,2.978723,-0.000000,0.485282
0.050000,7.155701,3.909155,6.884574,6.404255,2.978723,0.000000,0.518056
0.050000,7.434326,4.074360,7.208511,6.553191,2.978723,0.000000,0.552494
0.050000,7.713220,4.253303,7.539894,6.702128,2.978723,0.000000,0.588559
0.050000,7.991445,4.446650,7.878723,6.851064,2.978723,-0.000000,0.626185
0.050000,8.267994,4.655005,8.225000,7.000000,2.978723,0.000000,0.665271
0.050000,8.538972,4.876488,8.575000,7.000000,0.000000,-59.574468,0.705250
0.050000,8.800844,5.108665,8.925000,7.000000,0.000000,0.000000,0.745509
0.050000,9.053146,5.351208,9.275000,7.000000,0.000000,0.000000,0.785843
0.050000,9.295476,5.603715,9.625000,7.000000,0.000000,0.000000,0.826045
0.050000,9.527500,5.865723,9.975000,7.000000,0.000000,0.000000,0.865911
0.050000,9.748966,6.136715,10.325000,7.000000,0.000000,0.000000,0.905247
0.050000,9.959699,6.416136,10.675000,7.000000,0.000000,0.000000,0.943876
0.050000,10.159606,6.703404,11.025000,7.000000,0.000000,0.000000,0.981640
0.050000,10.348668,6.997923,11.375000,7.000000,0.000000,0.000000,1.018404
0.050000,10.526943,7.299096,11.725000,7.000000,0.000000,0.000000,1.054057
0.050000,10.694552,7.606334,12.075000,7.000000,0.000000,0.000000,1.088514
0.050000,10.851673,7.919067,12.425000,7.000000,0.000000,0.000000,1.121715
0.050000,10.997771,8.235033,12.773123,6.924940,-1.501203,-30.024060,1.153451
0.050000,11.131864,8.550203,13.115647,6.776004,-2.978723,-29.550408,1.183407
0.050000,11.254043,8.862200,13.450724,6.627068,-2.978723,0.000000,1.211490
0.050000,11.365170,9.170398,13.778354,6.478131,-2.978723,-0.000000,1.237791
0.050000,11.466072,9.474257,14.098537,6.329195,-2.978723,0.000000,1.262405
0.050000,11.557532,9.773313,14.411273,6.180259,-2.978723,0.000000,1.285432
0.050000,11.640289,10.067166,14.716563,6.031323,-2.978723,-0.000000,1.306970
0.050000,11.715038,10.355471,15.014406,5.882387,-2.978723,0.000000,1.327114
0.050000,11.782427,10.637935,15.304802,5.733450,-2.978723,0.000000,1.345956
0.050000,11.843060,10.914307,15.587751,5.584514,-2.978723,0.000000,1.363584
0.050000,11.897499,11.184375,15.863253,5.435578,-2.978723,-0.000000,1.380081
0.050000,11.946264,11.447954,16.131308,5.286642,-2.978723,0.000000,1.395524
0.050000,11.989840,11.704892,16.391917,5.137706,-2.978723,-0.000000,1.409984
0.050000,12.028673,11.955057,16.645079,4.988770,-2.978723,0.000000,1.423529
0.050000,12.063176,12.198334,16.890794,4.839833,-2.978723,0.000000,1.436219
0.050000,12.093732,12.434633,17.129062,4.690897,-2.978723,-0.000000,1.448113
0.050000,12.120695,12.663874,17.359884,4.541961,-2.978723,0.000000,1.459262
0.050000,12.144390,12.885987,17.583259,4.393025,-2.978723,0.000000,1.469715
0.050000,12.165121,13.100917,17.799186,4.244089,-2.978723,-0.000000,1.479515
0.050000,12.183166,13.308614,18.007667,4.095153,-2.978723,0.000000,1.488705
