dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.579266,1.243400,0.003723,0.148936,2.978723,59.574468,0.023053
0.050000,0.579802,1.243412,0.004260,0.010722,-2.764282,-114.860105,0.023547
0.050000,0.587012,1.243587,0.011472,0.144252,2.670592,108.697473,0.024372
0.050000,0.614323,1.244268,0.038791,0.546384,8.042655,107.441265,0.025529
0.050000,0.649444,1.245191,0.073925,0.702666,3.125623,-98.340635,0.027023
0.050000,0.692372,1.246391,0.116869,0.858892,3.124524,-0.021978,0.028858
0.050000,0.743123,1.247911,0.167643,1.015467,3.131507,0.139652,0.031039
0.050000,0.801692,1.249804,0.226242,1.171989,3.130440,-0.021344,0.033573
0.050000,0.868088,1.252130,0.292679,1.328749,3.135202,0.095235,0.036467
0.050000,0.942320,1.254959,0.366965,1.485712,3.139253,0.081033,0.039730
0.050000,1.024393,1.258371,0.449109,1.642875,3.143263,0.080187,0.043372
0.050000,1.114310,1.262455,0.539119,1.800205,3.146607,0.066897,0.047404
0.050000,1.212091,1.267311,0.637020,1.958014,3.156171,0.191265,0.051839
0.050000,1.317730,1.273048,0.742815,2.115897,3.157668,0.029943,0.056691
0.050000,1.431242,1.279790,0.856526,2.274237,3.166798,0.182604,0.061974
0.050000,1.552629,1.287671,0.978170,2.432862,3.172490,0.113850,0.067707
0.050000,1.681906,1.296839,1.107771,2.592036,3.183477,0.219731,0.073907
0.050000,1.819072,1.307456,1.245347,2.751521,3.189716,0.124771,0.080597
0.050000,1.964131,1.319697,1.390922,2.911498,3.199537,0.196434,0.087796
0.050000,2.117094,1.333755,1.544529,3.072142,3.212878,0.266816,0.095532
0.050000,2.277953,1.349841,1.706191,3.233233,3.221823,0.178899,0.103830
0.050000,2.446712,1.368183,1.875944,3.395061,3.236549,0.294521,0.112720
0.050000,2.623359,1.389027,2.053816,3.557442,3.247625,0.221524,0.122233
0.050000,2.807890,1.412646,2.239853,3.720736,3.265871,0.364916,0.132405
0.050000,3.000285,1.439330,2.434090,3.884730,3.279883,0.280235,0.143272
0.050000,3.200522,1.469399,2.636571,4.049634,3.298091,0.364156,0.154874
0.050000,3.408565,1.503194,2.847342,4.215409,3.315492,0.348020,0.167256
0.050000,3.624382,1.541093,3.066461,4.382383,3.339483,0.479829,0.180464
0.050000,3.847909,1.583496,3.293974,4.550262,3.357580,0.361944,0.194549
0.050000,4.079080,1.630844,3.529944,4.719411,3.382984,0.508071,0.209564
0.050000,4.317806,1.683608,3.774432,4.889754,3.406862,0.477573,0.225567
0.050000,4.563977,1.742300,4.027503,5.061411,3.433135,0.525459,0.242617
0.050000,4.817458,1.807471,4.289227,5.234486,3.461508,0.567445,0.260780
0.050000,5.078077,1.879712,4.559674,5.408933,3.488938,0.548599,0.280120
0.050000,5.345634,1.959659,4.838919,5.584910,3.519532,0.611891,0.300707
0.050000,5.619882,2.047993,5.127042,5.762463,3.551071,0.630787,0.322610
0.050000,5.900515,2.145434,5.424111,5.941376,3.578250,0.543577,0.345898
0.050000,6.187177,2.252747,5.730201,6.121794,3.608361,0.602212,0.370638
0.050000,6.479440,2.370737,6.045382,6.303630,3.636724,0.567265,0.396895
0.050000,6.776799,2.500241,6.369718,6.486715,3.661686,0.499244,0.424726
0.050000,7.078655,2.642122,6.703256,6.670751,3.680736,0.380995,0.454177
0.050000,7.384318,2.797257,7.046033,6.855551,3.695989,0.305062,0.485282
0.050000,7.692985,2.966526,7.398067,7.040671,3.702405,0.128311,0.518056
0.050000,8.003747,3.150788,7.759349,7.225651,3.699603,-0.056028,0.552494
0.050000,8.315571,3.350863,8.129842,7.409853,3.684036,-0.311341,0.588559
0.050000,8.627318,3.567508,8.509474,7.592645,3.655847,-0.563785,0.626185
0.050000,8.937735,3.801382,8.898134,7.773188,3.610848,-0.899982,0.665271
0.050000,9.242295,4.050315,9.291484,7.867010,1.876448,-34.687990,0.705250
0.050000,9.536849,4.311469,9.685138,7.873084,0.121468,-35.099608,0.745509
