dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.496950,3.297194,0.003723,0.148936,2.978723,59.574468,6.282583
0.050000,0.496491,3.297195,0.004183,0.009194,-2.794844,-115.471346,6.283007
0.050000,0.509636,3.297198,0.017328,0.262906,5.074244,157.381749,0.000527
0.050000,0.534629,3.297224,0.042322,0.499864,4.739166,-6.701546,0.001514
0.050000,0.566766,3.297293,0.074459,0.642738,2.857462,-37.634093,0.002780
0.050000,0.606047,3.297432,0.113740,0.785631,2.857865,0.008073,0.004324
0.050000,0.652476,3.297675,0.160169,0.928575,2.858885,0.020387,0.006145
0.050000,0.706052,3.298061,0.213747,1.071562,2.859738,0.017071,0.008240
0.050000,0.766780,3.298633,0.274478,1.214616,2.861085,0.026941,0.010606
0.050000,0.834662,3.299442,0.342364,1.357726,2.862187,0.022044,0.013240
0.050000,0.909700,3.300545,0.417410,1.500925,2.863994,0.036134,0.016139
0.050000,0.991898,3.302002,0.499621,1.644211,2.865714,0.034397,0.019299
0.050000,1.081257,3.303879,0.589000,1.787580,2.867386,0.033443,0.022714
0.050000,1.177781,3.306249,0.685553,1.931068,2.869752,0.047321,0.026381
0.050000,1.281473,3.309189,0.789286,2.074665,2.871947,0.043887,0.030294
0.050000,1.392335,3.312779,0.900206,2.218398,2.874664,0.054350,0.034446
0.050000,1.510369,3.317106,1.018320,2.362266,2.877357,0.053855,0.038832
0.050000,1.635577,3.322260,1.143634,2.506293,2.880537,0.063609,0.043445
0.050000,1.767962,3.328336,1.276158,2.650479,2.883724,0.063743,0.048276
0.050000,1.907524,3.335432,1.415901,2.794850,2.887409,0.073689,0.053318
0.050000,2.054264,3.343650,1.562871,2.939406,2.891126,0.074352,0.058561
0.050000,2.208184,3.353094,1.717080,3.084174,2.895354,0.084552,0.063996
0.050000,2.369281,3.363874,1.878538,3.229155,2.899629,0.085508,0.069614
0.050000,2.537557,3.376098,2.047256,3.374378,2.904453,0.096468,0.075403
0.050000,2.713009,3.389879,2.223249,3.519848,2.909408,0.099110,0.081351
0.050000,2.895635,3.405331,2.406528,3.665579,2.914618,0.104185,0.087448
0.050000,3.085434,3.422568,2.597107,3.811592,2.920251,0.112665,0.093678
0.050000,3.282401,3.441707,2.795002,3.957897,2.926097,0.116918,0.100031
0.050000,3.486533,3.462863,3.000228,4.104513,2.932331,0.124692,0.106490
0.050000,3.697826,3.486152,3.212801,4.251454,2.938812,0.129622,0.113041
0.050000,3.916275,3.511688,3.432737,4.398731,2.945535,0.134457,0.119668
0.050000,4.141875,3.539583,3.660055,4.546363,2.952646,0.142219,0.126355
0.050000,4.374621,3.569949,3.894773,4.694360,2.959950,0.146083,0.133086
0.050000,4.614506,3.602893,4.136910,4.842743,2.967650,0.153998,0.139842
0.050000,4.861526,3.638521,4.386486,4.991519,2.975517,0.157328,0.146606
0.050000,5.115675,3.676932,4.643521,5.140701,2.983637,0.162405,0.153358
0.050000,5.376948,3.718222,4.908037,5.290305,2.992089,0.169050,0.160079
0.050000,5.645340,3.762481,5.180054,5.440340,3.000706,0.172329,0.166750
0.050000,5.920848,3.809794,5.459595,5.590819,3.009566,0.177204,0.173350
0.050000,6.203469,3.860238,5.746682,5.741751,3.018649,0.181650,0.179858
0.050000,6.493202,3.913883,6.041340,5.893148,3.027934,0.185717,0.186252
0.050000,6.790047,3.970790,6.343590,6.045018,3.037401,0.189333,0.192511
0.050000,7.094008,4.031011,6.653459,6.197371,3.047057,0.193127,0.198613
0.050000,7.405088,4.094589,6.970970,6.350214,3.056876,0.196370,0.204534
0.050000,7.723296,4.161555,7.296148,6.503558,3.066871,0.199907,0.210253
0.050000,8.048642,4.231932,7.629018,6.657408,3.077005,0.202684,0.215745
0.050000,8.381140,4.305725,7.969607,6.811774,3.087318,0.206254,0.220987
0.050000,8.717233,4.382111,8.314271,6.893285,1.630222,-29.141923,0.225904
0.050000,9.053366,4.460178,8.659351,6.901590,0.166101,-29.282417,0.230439
0.050000,9.389561,4.539799,9.004845,6.909887,0.165931,-0.003395,0.234592
