dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.496297,2.212195,0.003723,0.148936,2.978723,59.574468,6.282583
0.050000,0.496297,2.212195,0.014894,0.297872,2.978723,0.000000,6.283007
0.050000,0.510208,2.212198,0.033511,0.446809,2.978723,0.000000,0.000527
0.050000,0.536272,2.212225,0.059574,0.595745,2.978723,0.000000,0.001514
0.050000,0.569782,2.212297,0.093085,0.744681,2.978723,0.000000,0.002780
0.050000,0.610739,2.212442,0.134043,0.893617,2.978723,0.000000,0.004324
0.050000,0.659143,2.212696,0.182447,1.042553,2.978723,-0.000000,0.006145
0.050000,0.714993,2.213097,0.238298,1.191489,2.978723,0.000000,0.008240
0.050000,0.778288,2.213694,0.301596,1.340426,2.978723,0.000000,0.010606
0.050000,0.849027,2.214537,0.372340,1.489362,2.978723,-0.000000,0.013240
0.050000,0.927210,2.215686,0.450532,1.638298,2.978723,0.000000,0.016139
0.050000,1.012835,2.217204,0.536170,1.787234,2.978723,-0.000000,0.019299
0.050000,1.105900,2.219159,0.629255,1.936170,2.978723,0.000000,0.022714
0.050000,1.206401,2.221627,0.729787,2.085106,2.978723,-0.000000,0.026381
0.050000,1.314336,2.224686,0.837766,2.234043,2.978723,0.000000,0.030294
0.050000,1.429701,2.228422,0.953191,2.382979,2.978723,-0.000000,0.034446
0.050000,1.552491,2.232924,1.076064,2.531915,2.978723,0.000000,0.038832
0.050000,1.682700,2.238284,1.206383,2.680851,2.978723,0.000000,0.043445
0.050000,1.820321,2.244600,1.344149,2.829787,2.978723,-0.000000,0.048276
0.050000,1.965346,2.251974,1.489362,2.978723,2.978723,0.000000,0.053318
0.050000,2.117767,2.260510,1.642021,3.127660,2.978723,0.000000,0.058561
0.050000,2.277572,2.270316,1.802128,3.276596,2.978723,0.000000,0.063996
0.050000,2.444751,2.281502,1.969681,3.425532,2.978723,-0.000000,0.069614
0.050000,2.619291,2.294181,2.144681,3.574468,2.978723,0.000000,0.075403
0.050000,2.801178,2.308467,2.327128,3.723404,2.978723,0.000000,0.081351
0.050000,2.990395,2.324476,2.517021,3.872340,2.978723,0.000000,0.087448
0.050000,3.186926,2.342325,2.714362,4.021277,2.978723,0.000000,0.093678
0.050000,3.390753,2.362131,2.919149,4.170213,2.978723,-0.000000,0.100031
0.050000,3.601856,2.384010,3.131383,4.319149,2.978723,0.000000,0.106490
0.050000,3.820214,2.408077,3.351064,4.468085,2.978723,0.000000,0.113041
0.050000,4.045805,2.434447,3.578191,4.617021,2.978723,-0.000000,0.119668
0.050000,4.278606,2.463233,3.812766,4.765957,2.978723,0.000000,0.126355
0.050000,4.518593,2.494544,4.054787,4.914894,2.978723,0.000000,0.133086
0.050000,4.765741,2.528485,4.304255,5.063830,2.978723,-0.000000,0.139842
0.050000,5.020024,2.565160,4.561170,5.212766,2.978723,0.000000,0.146606
0.050000,5.281417,2.604666,4.825532,5.361702,2.978723,0.000000,0.153358
0.050000,5.549893,2.647094,5.097340,5.510638,2.978723,-0.000000,0.160079
0.050000,5.825427,2.692531,5.376596,5.659574,2.978723,0.000000,0.166750
0.050000,6.107992,2.741056,5.663298,5.808511,2.978723,0.000000,0.173350
0.050000,6.397564,2.792740,5.957447,5.957447,2.978723,-0.000000,0.179858
0.050000,6.694119,2.847648,6.259043,6.106383,2.978723,0.000000,0.186252
0.050000,6.997634,2.905833,6.568085,6.255319,2.978723,-0.000000,0.192511
0.050000,7.308089,2.967341,6.884574,6.404255,2.978723,0.000000,0.198613
0.050000,7.625464,3.032205,7.208511,6.553191,2.978723,0.000000,0.204534
0.050000,7.949743,3.100449,7.539894,6.702128,2.978723,0.000000,0.210253
0.050000,8.280913,3.172085,7.878723,6.851064,2.978723,-0.000000,0.215745
0.050000,8.618964,3.247111,8.225000,7.000000,2.978723,0.000000,0.220987
0.050000,8.960260,3.324679,8.575000,7.000000,0.000000,-59.574468,0.225904
0.050000,9.301186,3.403858,8.925000,7.000000,0.000000,0.000000,0.230439
0.050000,9.641764,3.484518,9.275000,7.000000,0.000000,0.000000,0.234592
0.050000,9.982021,3.566527,9.625000,7.000000,0.000000,0.000000,0.238362
0.050000,10.321982,3.649753,9.975000,7.000000,0.000000,0.000000,0.241751
0.050000,10.661675,3.734066,10.325000,7.000000,0.000000,0.000000,0.244760
0.050000,11.001128,3.819336,10.675000,7.000000,0.000000,0.000000,0.247388
0.050000,11.340373,3.905433,11.025000,7.000000,0.000000,0.000000,0.249636
0.050000,11.676468,3.991465,11.371931,6.877247,-2.455052,-49.101032,0.251490
0.050000,12.005843,4.076357,11.712070,6.728311,-2.978723,-10.473436,0.252946
0.050000,12.327902,4.159798,12.044762,6.579375,-2.978723,0.000000,0.254024
0.050000,12.642678,4.241655,12.370008,6.430439,-2.978723,-0.000000,0.254748
0.050000,12.950202,4.321809,12.687806,6.281503,-2.978723,0.000000,0.255140
0.050000,13.250502,4.400156,12.998158,6.132567,-2.978723,-0.000000,0.255221
0.050000,13.543601,4.476604,13.301063,5.983630,-2.978723,0.000000,0.255014
0.050000,13.829520,4.551074,13.596521,5.834694,-2.978723,-0.000000,0.254539
0.050000,14.108276,4.623501,13.884532,5.685758,-2.978723,0.000000,0.253817
0.050000,14.379884,4.693827,14.165097,5.536822,-2.978723,0.000000,0.252867
0.050000,14.644354,4.762008,14.438214,5.387886,-2.978723,0.000000,0.251708
0.050000,14.901697,4.828006,14.703885,5.238950,-2.978723,-0.000000,0.250360
0.050000,15.151918,4.891796,14.962109,5.090013,-2.978723,0.000000,0.248840
0.050000,15.395021,4.953358,15.212887,4.941077,-2.978723,0.000000,0.247166
0.050000,15.631010,5.012681,15.456217,4.792141,-2.978723,-0.000000,0.245355
0.050000,15.859883,5.069759,15.692101,4.643205,-2.978723,0.000000,0.243424
0.050000,16.081640,5.124596,15.920538,4.494269,-2.978723,0.000000,0.241390
0.050000,16.296278,5.177199,16.141528,4.345333,-2.978723,-0.000000,0.239267
0.050000,16.503793,5.227582,16.355071,4.196396,-2.978723,0.000000,0.237072
0.050000,16.704179,5.275761,16.561167,4.047460,-2.978723,-0.000000,0.234818
0.050000,16.897429,5.321760,16.759817,3.898524,-2.978723,0.000000,0.232521
0.050000,17.083537,5.365605,16.951020,3.749588,-2.978723,-0.000000,0.230193
0.050000,17.262495,5.407323,17.134776,3.600652,-2.978723,0.000000,0.227849
0.050000,17.434293,5.446948,17.311085,3.451716,-2.978723,0.000000,0.225500
0.050000,17.598924,5.484513,17.479947,3.302779,-2.978723,-0.000000,0.223160
0.050000,17.756378,5.520055,17.641363,3.153843,-2.978723,0.000000,0.220839
0.050000,17.906646,5.553610,17.795332,3.004907,-2.978723,0.000000,0.218550
0.050000,18.049718,5.585218,17.941853,2.855971,-2.978723,-0.000000,0.216302
0.050000,18.185585,5.614918,18.080929,2.707035,-2.978723,0.000000,0.214107
0.050000,18.314237,5.642749,18.212557,2.558098,-2.978723,-0.000000,0.211973
0.050000,18.435666,5.668751,18.336738,2.409162,-2.978723,0.000000,0.209911
0.050000,18.549862,5.692963,18.453473,2.260226,-2.978723,0.000000,0.207928
0.050000,18.656818,5.715422,18.562761,2.111290,-2.978723,0.000000,0.206033
0.050000,18.756523,5.736167,18.664602,1.962354,-2.978723,-0.000000,0.204234
0.050000,18.848972,5.755234,18.758996,1.813418,-2.978723,0.000000,0.202537
0.050000,18.934156,5.772656,18.845944,1.664481,-2.978723,0.000000,0.200950
0.050000,19.012069,5.788468,18.925445,1.515545,-2.978723,-0.000000,0.199478
0.050000,19.082703,5.802698,18.997498,1.366609,-2.978723,0.000000,0.198126
