dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.613079,3.239236,0.003723,0.148936,2.978723,59.574468,6.282389
0.050000,0.612644,3.239236,0.004158,0.008696,-2.804802,-115.670501,6.282789
0.050000,0.619496,3.239237,0.011011,0.137053,2.567141,107.438851,0.000272
0.050000,0.644547,3.239255,0.036062,0.501021,7.279364,94.244462,0.001205
0.050000,0.676758,3.239314,0.068272,0.644206,2.863693,-88.313415,0.002404
0.050000,0.716128,3.239437,0.107643,0.787409,2.864058,0.007290,0.003866
0.050000,0.762660,3.239657,0.154175,0.930650,2.864826,0.015368,0.005591
0.050000,0.816356,3.240011,0.207872,1.073940,2.865804,0.019553,0.007576
0.050000,0.877217,3.240540,0.268735,1.217263,2.866453,0.012980,0.009820
0.050000,0.945244,3.241293,0.336767,1.360637,2.867470,0.020349,0.012321
0.050000,1.020441,3.242323,0.411971,1.504072,2.868717,0.024926,0.015075
0.050000,1.102808,3.243689,0.494349,1.647573,2.870011,0.025897,0.018079
0.050000,1.192348,3.245454,0.583907,1.791151,2.871566,0.031096,0.021330
0.050000,1.289063,3.247686,0.680647,1.934808,2.873130,0.031284,0.024824
0.050000,1.392954,3.250460,0.784576,2.078563,2.875100,0.039393,0.028558
0.050000,1.504023,3.253853,0.895696,2.222405,2.876845,0.034890,0.032525
0.050000,1.622270,3.257949,1.014014,2.366374,2.879371,0.050521,0.036722
0.050000,1.747698,3.262835,1.139537,2.510447,2.881465,0.041895,0.041143
0.050000,1.880305,3.268603,1.272269,2.654650,2.884063,0.051956,0.045782
0.050000,2.020092,3.275347,1.412220,2.799009,2.887171,0.062163,0.050632
0.050000,2.167060,3.283168,1.559395,2.943502,2.889879,0.054159,0.055687
0.050000,2.321205,3.292168,1.713803,3.088159,2.893132,0.065052,0.060938
0.050000,2.482528,3.302452,1.875453,3.233002,2.896861,0.074579,0.066379
0.050000,2.651024,3.314130,2.044354,3.378017,2.900308,0.068940,0.072000
0.050000,2.826693,3.327312,2.220516,3.523240,2.904449,0.082832,0.077792
0.050000,3.009528,3.342113,2.403949,3.668668,2.908554,0.082095,0.083746
0.050000,3.199526,3.358647,2.594665,3.814326,2.913160,0.092114,0.089851
0.050000,3.396681,3.377032,2.792676,3.960215,2.917782,0.092445,0.096096
0.050000,3.600988,3.397385,2.997994,4.106353,2.922775,0.099860,0.102470
0.050000,3.812439,3.419825,3.210632,4.252761,2.928158,0.107657,0.108961
0.050000,4.031026,3.444469,3.430604,4.399439,2.933543,0.107694,0.115556
0.050000,4.256741,3.471436,3.657924,4.546407,2.939379,0.116728,0.122241
0.050000,4.489575,3.500842,3.892608,4.693674,2.945339,0.119198,0.129003
0.050000,4.729518,3.532805,4.134671,4.841262,2.951755,0.128324,0.135828
0.050000,4.976561,3.567437,4.384130,4.989171,2.958172,0.128341,0.142700
0.050000,5.230693,3.604849,4.641001,5.137422,2.965024,0.137037,0.149603
0.050000,5.491904,3.645150,4.905302,5.286017,2.971907,0.137669,0.156522
0.050000,5.760182,3.688443,5.177050,5.434979,2.979226,0.146373,0.163440
0.050000,6.035517,3.734830,5.456266,5.584311,2.986647,0.148424,0.170339
0.050000,6.317900,3.784406,5.742967,5.734022,2.994228,0.151623,0.177203
0.050000,6.607320,3.837259,6.037174,5.884128,3.002102,0.157467,0.184013
0.050000,6.903768,3.893474,6.338905,6.034632,3.010084,0.159636,0.190751
0.050000,7.207238,3.953127,6.648182,6.185546,3.018280,0.163927,0.197397
0.050000,7.517723,4.016288,6.965026,6.336876,3.026600,0.166406,0.203933
0.050000,7.835217,4.083018,7.289458,6.488630,3.035092,0.169840,0.210340
0.050000,8.159720,4.153369,7.621499,6.640816,3.043712,0.172387,0.216596
