dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.611350,1.069236,0.003723,0.148936,2.978723,59.574468,6.282389
0.050000,0.611785,1.069236,0.004158,0.008696,-2.804802,-115.670501,6.282789
0.050000,0.620086,1.069237,0.012459,0.166019,3.146461,119.025245,0.000272
0.050000,0.647162,1.069257,0.039536,0.541532,7.510253,87.275857,0.001205
0.050000,0.681973,1.069320,0.074347,0.696222,3.093813,-88.328817,0.002404
0.050000,0.724517,1.069453,0.116891,0.850879,3.093123,-0.013783,0.003866
0.050000,0.774792,1.069691,0.167166,1.005509,3.092616,-0.010154,0.005591
0.050000,0.832796,1.070073,0.225172,1.160113,3.092071,-0.010904,0.007576
0.050000,0.898527,1.070645,0.290905,1.314658,3.090897,-0.023471,0.009820
0.050000,0.971980,1.071458,0.364362,1.469150,3.089837,-0.021200,0.012321
0.050000,1.053151,1.072570,0.445542,1.623586,3.088727,-0.022195,0.015075
0.050000,1.142037,1.074044,0.534439,1.777954,3.087360,-0.027352,0.018079
0.050000,1.238631,1.075947,0.631052,1.932251,3.085948,-0.028237,0.021330
0.050000,1.342926,1.078355,0.735375,2.086462,3.084206,-0.034836,0.024824
0.050000,1.454916,1.081345,0.847404,2.240589,3.082545,-0.033213,0.028558
0.050000,1.574590,1.085001,0.967135,2.394602,3.080269,-0.045518,0.032525
0.050000,1.701940,1.089412,1.094561,2.548525,3.078446,-0.036465,0.036722
0.050000,1.836953,1.094672,1.229676,2.702312,3.075752,-0.053889,0.041143
0.050000,1.979617,1.100877,1.372475,2.855971,3.073176,-0.051521,0.045782
0.050000,2.129917,1.108128,1.522950,3.009507,3.070708,-0.049351,0.050632
0.050000,2.287837,1.116532,1.681094,3.162874,3.067354,-0.067088,0.055687
0.050000,2.453359,1.126195,1.846898,3.316080,3.064113,-0.064809,0.060938
0.050000,2.626464,1.137231,2.020354,3.469125,3.060898,-0.064310,0.066379
0.050000,2.807129,1.149752,2.201453,3.621969,3.056880,-0.080353,0.072000
0.050000,2.995331,1.163875,2.390184,3.774624,3.053097,-0.075673,0.077792
0.050000,3.191044,1.179718,2.586537,3.927061,3.048752,-0.086889,0.083746
0.050000,3.394240,1.197401,2.790501,4.079282,3.044415,-0.086747,0.089851
0.050000,3.604890,1.217044,3.002064,4.231260,3.039560,-0.097096,0.096096
0.050000,3.822960,1.238768,3.221213,4.382988,3.034563,-0.099941,0.102470
0.050000,4.048417,1.262694,3.447936,4.534460,3.029442,-0.102416,0.108961
0.050000,4.281224,1.288941,3.682219,4.685649,3.023785,-0.113146,0.115556
0.050000,4.521344,1.317629,3.924046,4.836553,3.018075,-0.114202,0.122241
0.050000,4.768736,1.348874,4.173404,4.987152,3.011969,-0.122123,0.129003
0.050000,5.023359,1.382791,4.430276,5.137443,3.005829,-0.122788,0.135828
0.050000,5.285170,1.419493,4.694646,5.287402,2.999184,-0.132896,0.142700
0.050000,5.554122,1.459087,4.966498,5.437028,2.992509,-0.133511,0.149603
0.050000,5.830171,1.501677,5.245813,5.586297,2.985391,-0.142347,0.156522
0.050000,6.113269,1.547362,5.532573,5.735211,2.978278,-0.142277,0.163440
0.050000,6.403368,1.596236,5.826761,5.883753,2.970835,-0.148851,0.170339
0.050000,6.700421,1.648387,6.128356,6.031910,2.963146,-0.153779,0.177203
