dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.176233,9.572928,0.003723,0.148936,2.978723,59.574468,5.773164
0.050000,6.176233,9.572928,0.014894,0.297872,2.978723,0.000000,5.775232
0.050000,6.188474,9.566148,0.033511,0.446809,2.978723,0.000000,5.778672
0.050000,6.211320,9.553604,0.059574,0.595745,2.978723,0.000000,5.783474
0.050000,6.240782,9.537637,0.093085,0.744681,2.978723,0.000000,5.789626
0.050000,6.276924,9.518368,0.134043,0.893617,2.978723,0.000000,5.797109
0.050000,6.319820,9.495944,0.182447,1.042553,2.978723,-0.000000,5.805898
0.050000,6.369558,9.470539,0.238298,1.191489,2.978723,0.000000,5.815965
0.050000,6.426232,9.442350,0.301596,1.340426,2.978723,0.000000,5.827274
0.050000,6.489944,9.411601,0.372340,1.489362,2.978723,-0.000000,5.839781
0.050000,6.560802,9.378540,0.450532,1.638298,2.978723,0.000000,5.853437
0.050000,6.638914,9.343436,0.536170,1.787234,2.978723,-0.000000,5.868182
0.050000,6.724390,9.306580,0.629255,1.936170,2.978723,0.000000,5.883949
0.050000,6.817339,9.268280,0.729787,2.085106,2.978723,-0.000000,5.900663
0.050000,6.917864,9.228862,0.837766,2.234043,2.978723,0.000000,5.918239
0.050000,7.026061,9.188662,0.953191,2.382979,2.978723,-0.000000,5.936583
0.050000,7.142019,9.148028,1.076064,2.531915,2.978723,0.000000,5.955596
0.050000,7.265811,9.107313,1.206383,2.680851,2.978723,0.000000,5.975170
0.050000,7.397505,9.066871,1.344149,2.829787,2.978723,-0.000000,5.995191
0.050000,7.537151,9.027055,1.489362,2.978723,2.978723,0.000000,6.015544
0.050000,7.684782,8.988210,1.642021,3.127660,2.978723,0.000000,6.036108
0.050000,7.840422,8.950671,1.802128,3.276596,2.978723,0.000000,6.056762
0.050000,8.004079,8.914756,1.969681,3.425532,2.978723,-0.000000,6.077387
0.050000,8.175742,8.880767,2.144681,3.574468,2.978723,0.000000,6.097865
0.050000,8.355395,8.848981,2.327128,3.723404,2.978723,0.000000,6.118082
0.050000,8.543008,8.819651,2.517021,3.872340,2.978723,0.000000,6.137931
0.050000,8.738536,8.793001,2.714362,4.021277,2.978723,0.000000,6.157309
0.050000,8.941936,8.769226,2.919149,4.170213,2.978723,-0.000000,6.176121
0.050000,9.153151,8.748487,3.131383,4.319149,2.978723,0.000000,6.194280
0.050000,9.372126,8.730915,3.351064,4.468085,2.978723,0.000000,6.211706
0.050000,9.598801,8.716603,3.578191,4.617021,2.978723,-0.000000,6.228324
0.050000,9.833115,8.705612,3.812766,4.765957,2.978723,0.000000,6.244069
0.050000,10.075012,8.697967,4.054787,4.914894,2.978723,0.000000,6.258880
0.050000,10.324442,8.693657,4.304255,5.063830,2.978723,-0.000000,6.272700
0.050000,10.581353,8.692636,4.561170,5.212766,2.978723,0.000000,0.002292
0.050000,10.845704,8.694818,4.825532,5.361702,2.978723,0.000000,0.013978
0.050000,11.117460,8.700083,5.097340,5.510638,2.978723,-0.000000,0.024523
0.050000,11.396595,8.708271,5.376596,5.659574,2.978723,0.000000,0.033878
0.050000,11.683089,8.719179,5.663298,5.808511,2.978723,0.000000,0.041993
0.050000,11.976932,8.732567,5.957447,5.957447,2.978723,-0.000000,0.048812
