dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.646540,8.626011,0.003723,0.148936,2.978723,59.574468,5.773164
0.050000,5.648499,8.624918,0.005967,0.044874,-2.081251,-101.199478,5.775232
0.050000,5.664004,8.616328,0.023692,0.354506,6.192649,165.477991,5.778672
0.050000,5.691419,8.601277,0.054967,0.625489,5.419661,-15.459755,5.783474
0.050000,5.726749,8.582130,0.095152,0.803709,3.564403,-37.105166,5.789626
0.050000,5.770055,8.559041,0.144228,0.981512,3.556053,-0.167002,5.797109
0.050000,5.821403,8.532199,0.202169,1.158812,3.545998,-0.201106,5.805898
0.050000,5.880867,8.501825,0.268942,1.335465,3.533068,-0.258595,5.815965
0.050000,5.948527,8.468172,0.344509,1.511345,3.517587,-0.309619,5.827274
0.050000,6.024461,8.431524,0.428824,1.686292,3.498942,-0.372901,5.839781
0.050000,6.108745,8.392198,0.521831,1.860140,3.476972,-0.439391,5.853437
0.050000,6.201449,8.350536,0.623466,2.032710,3.451387,-0.511707,5.868182
0.050000,6.302635,8.306906,0.733658,2.203830,3.422403,-0.579685,5.883949
0.050000,6.412350,8.261698,0.852322,2.373293,3.389256,-0.662932,5.900663
0.050000,6.530628,8.215317,0.979369,2.540938,3.352917,-0.726780,5.918239
0.050000,6.657482,8.168184,1.114696,2.706539,3.312012,-0.818109,5.936583
0.050000,6.792907,8.120727,1.258195,2.869985,3.268916,-0.861917,5.955596
0.050000,6.936874,8.073376,1.409749,3.031072,3.221741,-0.943488,5.975170
0.050000,7.089333,8.026556,1.569236,3.189736,3.173289,-0.969051,5.995191
0.050000,7.250215,7.980684,1.736529,3.345872,3.122715,-1.011484,6.015544
0.050000,7.419422,7.936160,1.911496,3.499339,3.069332,-1.067645,6.036108
0.050000,7.596847,7.893365,2.094009,3.650257,3.018366,-1.019319,6.056762
0.050000,7.782360,7.852652,2.283938,3.798570,2.966261,-1.042107,6.077387
0.050000,7.975818,7.814346,2.481151,3.944277,2.914150,-1.042223,6.097865
0.050000,8.177071,7.778736,2.685530,4.087581,2.866064,-0.961712,6.118082
0.050000,8.385961,7.746077,2.896958,4.228543,2.819238,-0.936516,6.137931
0.050000,8.602321,7.716586,3.115318,4.367215,2.773446,-0.915852,6.157309
0.050000,8.825993,7.690439,3.340514,4.503905,2.733805,-0.792808,6.176121
0.050000,9.056816,7.667772,3.572448,4.638679,2.695470,-0.766704,6.194280
0.050000,9.294636,7.648685,3.811032,4.771689,2.660204,-0.705316,6.211706
0.050000,9.539306,7.633235,4.056189,4.903144,2.629099,-0.622112,6.228324
0.050000,9.790684,7.621442,4.307844,5.033097,2.599055,-0.600881,6.244069
0.050000,10.048643,7.613288,4.565931,5.161744,2.572939,-0.522309,6.258880
0.050000,10.313065,7.608717,4.830393,5.289245,2.550027,-0.458248,6.272700
0.050000,10.583840,7.607639,5.101170,5.415529,2.525691,-0.486715,0.002292
0.050000,10.860870,7.609924,5.378210,5.540795,2.505320,-0.407424,0.013978
0.050000,11.144065,7.615409,5.661458,5.664957,2.483230,-0.441791,0.024523
0.050000,11.433346,7.623893,5.950863,5.788116,2.463186,-0.400880,0.033878
0.050000,11.728638,7.635136,6.246369,5.910111,2.439903,-0.465675,0.041993
0.050000,12.029872,7.648859,6.547916,6.030935,2.416470,-0.468652,0.048812
0.050000,12.336985,7.664741,6.855439,6.150459,2.390484,-0.519716,0.054275
0.050000,12.649911,7.682416,7.168864,6.268500,2.360819,-0.593300,0.058314
0.050000,12.968584,7.701468,7.488106,6.384848,2.326951,-0.677369,0.060851
0.050000,13.292932,7.721428,7.813067,6.499224,2.287527,-0.788483,0.061796
0.050000,13.622870,7.741766,8.143632,6.611293,2.241372,-0.923097,0.061041
0.050000,13.958300,7.761885,8.479664,6.720641,2.186974,-1.087947,0.058463
0.050000,14.299097,7.781110,8.821003,6.826783,2.122830,-1.282886,0.053912
0.050000,14.641474,7.798510,9.163822,6.856377,0.591884,-30.618922,0.047294
0.050000,14.981695,7.813189,9.504359,6.810743,-0.912679,-30.091263,0.038573
0.050000,15.319658,7.824450,9.842510,6.763023,-0.954408,-0.834579,0.027654
0.050000,15.655214,7.831578,10.178142,6.712635,-1.007760,-1.067034,0.014413
0.050000,15.988159,7.833837,10.511094,6.659045,-1.071784,-1.280486,6.281889
0.050000,16.318226,7.830460,10.841178,6.601686,-1.147187,-1.508051,6.263539
0.050000,16.645080,7.820658,11.168180,6.540021,-1.233311,-1.722479,6.242346
0.050000,16.968300,7.803614,11.491849,6.473387,-1.332664,-1.987066,6.218086
0.050000,17.287386,7.778491,11.811922,6.401469,-1.438373,-2.114179,6.190512
0.050000,17.601737,7.744439,12.128112,6.323786,-1.553656,-2.305665,6.159362
0.050000,17.910658,7.700606,12.440128,6.240323,-1.669258,-2.312042,6.124369
0.050000,18.213368,7.646159,12.747695,6.151349,-1.779489,-2.204620,6.085279
0.050000,18.509010,7.580302,13.050583,6.057763,-1.871717,-1.844555,6.041880
0.050000,18.796679,7.502298,13.348640,5.961131,-1.932642,-1.218497,5.994033
0.050000,19.075470,7.411495,13.641846,5.864122,-1.940179,-0.150756,5.941719
0.050000,19.344528,7.307335,13.930363,5.770333,-1.875770,1.288190,5.885088
0.050000,19.603113,7.189365,14.214586,5.684465,-1.717364,3.168115,5.824505
0.050000,19.849423,7.057931,14.493770,5.583673,-2.015846,-5.969642,5.760908
0.050000,20.080788,6.914617,14.765925,5.443111,-2.811234,-15.907746,5.695891
0.050000,20.296308,6.760855,15.030673,5.294967,-2.962889,-3.033105,5.630911
0.050000,20.496629,6.597458,15.289182,5.170175,-2.495833,9.341114,5.567041
0.050000,20.682457,6.425324,15.542485,5.066059,-2.082322,8.270225,5.505231
