dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.669957,3.834680,0.002500,0.100000,2.000000,40.000000,1.571122
0.050000,9.669957,3.834909,0.002729,0.004578,-1.908435,-78.168695,1.570911
0.050000,9.669958,3.843718,0.011538,0.176191,3.432261,106.813922,1.570558
0.050000,9.669966,3.861757,0.029577,0.360777,3.691704,5.188851,1.570061
0.050000,9.669991,3.884956,0.052776,0.463971,2.063889,-32.556291,1.569418
0.050000,9.670041,3.913317,0.081137,0.567228,2.065149,0.025193,1.568624
0.050000,9.670130,3.946846,0.114667,0.670587,2.067171,0.040443,1.567675
0.050000,9.670272,3.985549,0.153370,0.774066,2.069576,0.048097,1.566566
0.050000,9.670486,4.029433,0.197254,0.877675,2.072189,0.052268,1.565291
0.050000,9.670791,4.078503,0.246326,0.981437,2.075227,0.060749,1.563842
0.050000,9.671213,4.132771,0.300595,1.085387,2.079015,0.075769,1.562211
0.050000,9.671777,4.192245,0.360071,1.189522,2.082688,0.073458,1.560390
0.050000,9.672516,4.256934,0.424765,1.293880,2.087170,0.089639,1.558368
0.050000,9.673463,4.326852,0.494689,1.398485,2.092096,0.098523,1.556133
0.050000,9.674657,4.402012,0.569858,1.503379,2.097881,0.115688,1.553674
0.050000,9.676142,4.482425,0.650286,1.608548,2.103378,0.109944,1.550975
0.050000,9.677966,4.568109,0.735988,1.714057,2.110189,0.136213,1.548024
0.050000,9.680184,4.659078,0.826984,1.819920,2.117244,0.141114,1.544801
0.050000,9.682856,4.755350,0.923294,1.926192,2.125453,0.164175,1.541290
0.050000,9.686048,4.856944,1.024938,2.032882,2.133797,0.166888,1.537471
0.050000,9.689834,4.963881,1.131942,2.140066,2.143683,0.197712,1.533320
0.050000,9.694296,5.076179,1.244329,2.247745,2.153566,0.197656,1.528816
0.050000,9.699526,5.193863,1.362129,2.356008,2.165267,0.234032,1.523931
0.050000,9.705623,5.316956,1.485373,2.464877,2.177377,0.242183,1.518636
0.050000,9.712701,5.445484,1.614095,2.574444,2.191335,0.279169,1.512902
0.050000,9.720881,5.579472,1.748332,2.684746,2.206040,0.294090,1.506692
0.050000,9.730302,5.718947,1.888126,2.795869,2.222476,0.328723,1.499970
