dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.754957,3.835033,0.002500,0.100000,2.000000,40.000000,1.571122
0.050000,10.754957,3.835033,0.010000,0.200000,2.000000,0.000000,1.570911
0.050000,10.754958,3.843460,0.022500,0.300000,2.000000,-0.000000,1.570558
0.050000,10.754966,3.860960,0.040000,0.400000,2.000000,0.000000,1.570061
0.050000,10.754990,3.883460,0.062500,0.500000,2.000000,-0.000000,1.569418
0.050000,10.755039,3.910960,0.090000,0.600000,2.000000,0.000000,1.568624
0.050000,10.755125,3.943460,0.122500,0.700000,2.000000,0.000000,1.567675
0.050000,10.755262,3.980960,0.160000,0.800000,2.000000,0.000000,1.566566
0.050000,10.755469,4.023459,0.202500,0.900000,2.000000,-0.000000,1.565291
0.050000,10.755765,4.070958,0.250000,1.000000,2.000000,0.000000,1.563842
0.050000,10.756173,4.123457,0.302500,1.100000,2.000000,0.000000,1.562211
0.050000,10.756719,4.180954,0.360000,1.200000,2.000000,-0.000000,1.560390
0.050000,10.757432,4.243450,0.422500,1.300000,2.000000,0.000000,1.558368
0.050000,10.758346,4.310943,0.490000,1.400000,2.000000,-0.000000,1.556133
0.050000,10.759498,4.383434,0.562500,1.500000,2.000000,0.000000,1.553674
0.050000,10.760929,4.460921,0.640000,1.600000,2.000000,0.000000,1.550975
0.050000,10.762685,4.543402,0.722500,1.700000,2.000000,-0.000000,1.548024
0.050000,10.764818,4.630876,0.810000,1.800000,2.000000,0.000000,1.544801
0.050000,10.767384,4.723341,0.902500,1.900000,2.000000,-0.000000,1.541290
0.050000,10.770445,4.820792,1.000000,2.000000,2.000000,0.000000,1.537471
0.050000,10.774072,4.923229,1.102500,2.100000,2.000000,0.000000,1.533320
0.050000,10.778340,5.030644,1.210000,2.200000,2.000000,0.000000,1.528816
0.050000,10.783334,5.143033,1.322500,2.300000,2.000000,-0.000000,1.523931
0.050000,10.789148,5.260389,1.440000,2.400000,2.000000,0.000000,1.518636
0.050000,10.795883,5.382703,1.562500,2.500000,2.000000,0.000000,1.512902
0.050000,10.803653,5.509966,1.690000,2.600000,2.000000,0.000000,1.506692
0.050000,10.812582,5.642165,1.822500,2.700000,2.000000,0.000000,1.499970
0.050000,10.822808,5.779283,1.960000,2.800000,2.000000,-0.000000,1.492694
0.050000,10.834481,5.921304,2.102500,2.900000,2.000000,0.000000,1.484818
0.050000,10.847769,6.068204,2.250000,3.000000,2.000000,0.000000,1.476293
0.050000,10.862854,6.219956,2.402500,3.100000,2.000000,0.000000,1.467064
0.050000,10.879939,6.376526,2.560000,3.200000,2.000000,0.000000,1.457069
0.050000,10.899247,6.537873,2.722500,3.300000,2.000000,-0.000000,1.446242
0.050000,10.921022,6.703951,2.890000,3.400000,2.000000,0.000000,1.434509
0.050000,10.945536,6.874700,3.062500,3.500000,2.000000,0.000000,1.421789
0.050000,10.973086,7.050047,3.240000,3.600000,2.000000,0.000000,1.407991
0.050000,11.004002,7.229907,3.422500,3.700000,2.000000,0.000000,1.393018
0.050000,11.038645,7.414177,3.610000,3.800000,2.000000,-0.000000,1.376759
0.050000,11.077413,7.602730,3.802500,3.900000,2.000000,0.000000,1.359095
0.050000,11.120746,7.795415,4.000000,4.000000,2.000000,0.000000,1.339896
0.050000,11.168500,7.989627,4.200000,4.000000,0.000000,-40.000000,1.319286
0.050000,11.220365,8.182780,4.400000,4.000000,0.000000,0.000000,1.297440
0.050000,11.276560,8.374719,4.600000,4.000000,0.000000,0.000000,1.274301
0.050000,11.337308,8.565265,4.800000,4.000000,0.000000,0.000000,1.249814
0.050000,11.402834,8.754220,5.000000,4.000000,0.000000,0.000000,1.223927
0.050000,11.473364,8.941363,5.200000,4.000000,0.000000,0.000000,1.196597
0.050000,11.549118,9.126455,5.400000,4.000000,0.000000,0.000000,1.167789
0.050000,11.630308,9.309225,5.600000,4.000000,0.000000,0.000000,1.137482
0.050000,11.717134,9.489386,5.800000,4.000000,0.000000,0.000000,1.105672
0.050000,11.809778,9.666624,6.000000,4.000000,0.000000,0.000000,1.072373
0.050000,11.908398,9.840606,6.200000,4.000000,0.000000,0.000000,1.037625
0.050000,12.013122,10.010984,6.400000,4.000000,0.000000,0.000000,1.001492
0.050000,12.124041,10.177394,6.600000,4.000000,0.000000,0.000000,0.964070
0.050000,12.241203,10.339468,6.800000,4.000000,0.000000,0.000000,0.925484
0.050000,12.364612,10.496837,7.000000,4.000000,0.000000,0.000000,0.885891
0.050000,12.494218,10.649142,7.200000,4.000000,0.000000,0.000000,0.845477
0.050000,12.629919,10.796042,7.400000,4.000000,0.000000,0.000000,0.804451
0.050000,12.771560,10.937222,7.600000,4.000000,0.000000,0.000000,0.763042
0.050000,12.918937,11.072405,7.800000,4.000000,0.000000,0.000000,0.721492
0.050000,13.071798,11.201354,8.000000,4.000000,0.000000,0.000000,0.680044
0.050000,13.229851,11.323882,8.200000,4.000000,0.000000,0.000000,0.638939
0.050000,13.392777,11.439855,8.400000,4.000000,0.000000,0.000000,0.598401
0.050000,13.560229,11.549193,8.600000,4.000000,0.000000,0.000000,0.558635
0.050000,13.731847,11.651866,8.800000,4.000000,0.000000,0.000000,0.519822
0.050000,13.905099,11.746761,8.997550,3.901983,-1.960333,-39.206661,0.482566
0.050000,14.077251,11.833102,9.190149,3.801983,-2.000000,-0.793339,0.447388
0.050000,14.247706,11.911429,9.377748,3.701983,-2.000000,0.000000,0.414290
0.050000,14.415977,11.982308,9.560347,3.601983,-2.000000,0.000000,0.383227
0.050000,14.581643,12.046295,9.737946,3.501983,-2.000000,-0.000000,0.354135
0.050000,14.744330,12.103925,9.910545,3.401983,-2.000000,0.000000,0.326933
0.050000,14.903724,12.155713,10.078145,3.301983,-2.000000,0.000000,0.301527
0.050000,15.059548,12.202145,10.240744,3.201983,-2.000000,0.000000,0.277821
0.050000,15.211571,12.243678,10.398343,3.101983,-2.000000,0.000000,0.255716
0.050000,15.359598,12.280743,10.550942,3.001983,-2.000000,-0.000000,0.235112
0.050000,15.503461,12.313739,10.698541,2.901983,-2.000000,0.000000,0.215914
0.050000,15.643015,12.343035,10.841140,2.801983,-2.000000,0.000000,0.198032
0.050000,15.778146,12.368975,10.978740,2.701983,-2.000000,0.000000,0.181377
0.050000,15.908752,12.391876,11.111339,2.601983,-2.000000,0.000000,0.165869
0.050000,16.034746,12.412029,11.238938,2.501983,-2.000000,-0.000000,0.151432
0.050000,16.156064,12.429705,11.361537,2.401983,-2.000000,0.000000,0.137996
0.050000,16.272644,12.445150,11.479136,2.301983,-2.000000,0.000000,0.125496
0.050000,16.384437,12.458590,11.591735,2.201983,-2.000000,0.000000,0.113872
0.050000,16.491404,12.470236,11.699335,2.101983,-2.000000,0.000000,0.103070
0.050000,16.593509,12.480278,11.801934,2.001983,-2.000000,-0.000000,0.093039
0.050000,16.690727,12.488892,11.899533,1.901983,-2.000000,0.000000,0.083735
0.050000,16.783034,12.496237,11.992132,1.801983,-2.000000,0.000000,0.075116
0.050000,16.870412,12.502461,12.079731,1.701983,-2.000000,0.000000,0.067143
0.050000,16.952844,12.507699,12.162330,1.601983,-2.000000,-0.000000,0.059783
