dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.839956,3.835387,0.002500,0.100000,2.000000,40.000000,1.571122
0.050000,11.839957,3.835158,0.002729,0.004578,-1.908435,-78.168695,1.570911
0.050000,11.839958,3.843202,0.010773,0.160875,3.125931,100.687319,1.570558
0.050000,11.839966,3.860162,0.027733,0.339214,3.566786,8.817086,1.570061
0.050000,11.839989,3.881964,0.049535,0.436039,1.936505,-32.605617,1.569418
0.050000,11.840036,3.908603,0.076174,0.532771,1.934637,-0.037352,1.568624
0.050000,11.840119,3.940073,0.107644,0.629410,1.932777,-0.037201,1.567675
0.050000,11.840253,3.976370,0.143941,0.725937,1.930548,-0.044582,1.566566
0.050000,11.840453,4.017486,0.185058,0.822326,1.927763,-0.055699,1.565291
0.050000,11.840739,4.063412,0.230985,0.918555,1.924596,-0.063331,1.563842
0.050000,11.841133,4.114142,0.281716,1.014621,1.921321,-0.065514,1.562211
0.050000,11.841660,4.169663,0.337240,1.110476,1.917087,-0.084681,1.560390
0.050000,11.842348,4.229965,0.397546,1.206111,1.912715,-0.087443,1.558368
0.050000,11.843229,4.295034,0.462621,1.301502,1.907811,-0.098064,1.556133
0.050000,11.844339,4.364857,0.532453,1.396637,1.902703,-0.102171,1.553674
0.050000,11.845716,4.439417,0.607025,1.491450,1.896257,-0.128908,1.550975
0.050000,11.847404,4.518696,0.686322,1.585944,1.889886,-0.127430,1.548024
0.050000,11.849451,4.602675,0.770326,1.680070,1.882509,-0.147541,1.544801
0.050000,11.851911,4.691331,0.859017,1.773813,1.874866,-0.152846,1.541290
0.050000,11.854843,4.784641,0.952372,1.867109,1.865908,-0.179170,1.537471
0.050000,11.858310,4.882577,1.050369,1.959948,1.856799,-0.182177,1.533320
0.050000,11.862384,4.985108,1.152982,2.052247,1.845978,-0.216412,1.528816
0.050000,11.867143,5.092202,1.260182,2.143995,1.834951,-0.220546,1.523931
0.050000,11.872672,5.203821,1.371937,2.235107,1.822243,-0.254166,1.518636
0.050000,11.879065,5.319923,1.488215,2.325555,1.808957,-0.265721,1.512902
0.050000,11.886424,5.440461,1.608977,2.415248,1.793857,-0.302004,1.506692
0.050000,11.894862,5.565382,1.734183,2.504126,1.777570,-0.325728,1.499970
0.050000,11.904500,5.694628,1.863788,2.592092,1.759312,-0.365168,1.492694
0.050000,11.915474,5.828133,1.997743,2.679103,1.740231,-0.381607,1.484818
0.050000,11.927928,5.965820,2.135993,2.764993,1.717800,-0.448636,1.476293
0.050000,11.942022,6.107608,2.278479,2.849718,1.694485,-0.466292,1.467064
0.050000,11.957930,6.253397,2.425134,2.933102,1.667684,-0.536011,1.457069
0.050000,11.975841,6.403081,2.575885,3.015033,1.638618,-0.581332,1.446242
0.050000,11.995961,6.556537,2.730654,3.095380,1.606947,-0.633419,1.434509
0.050000,12.018513,6.713624,2.889352,3.173956,1.571521,-0.708522,1.421789
0.050000,12.043739,6.874183,3.051881,3.250568,1.532229,-0.785827,1.407991
0.050000,12.071901,7.038032,3.218132,3.325031,1.489260,-0.859385,1.393018
0.050000,12.103283,7.204965,3.387989,3.397146,1.442298,-0.939253,1.376759
0.050000,12.138191,7.374746,3.561322,3.466660,1.390292,-1.040117,1.359095
0.050000,12.176951,7.547109,3.737989,3.533330,1.333389,-1.138047,1.339896
0.050000,12.219363,7.719606,3.915624,3.552694,0.387287,-18.922047,1.319286
0.050000,12.265079,7.889869,4.091917,3.525870,-0.536475,-18.475235,1.297440
