dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.669957,1.227402,0.003701,0.148026,2.960519,59.210376,1.570333
0.050000,9.669957,1.226927,0.004176,0.009510,-2.770327,-114.616911,1.570771
0.050000,9.669951,1.244006,0.021255,0.341577,6.641355,188.233636,1.571496
0.050000,9.669921,1.268823,0.046072,0.496346,3.095380,-70.919504,1.572498
0.050000,9.669846,1.300754,0.078004,0.638624,2.845562,-4.996358,1.573765
0.050000,9.669700,1.339815,0.117064,0.781216,2.851822,0.125198,1.575282
0.050000,9.669453,1.386026,0.163277,0.924247,2.860630,0.176167,1.577030
0.050000,9.669067,1.439412,0.216664,1.067738,2.869821,0.183821,1.578986
0.050000,9.668506,1.499998,0.277252,1.211771,2.880653,0.216627,1.581127
0.050000,9.667727,1.567814,0.345073,1.356410,2.892790,0.242748,1.583423
0.050000,9.666687,1.642891,0.420157,1.501694,2.905685,0.257903,1.585846
0.050000,9.665342,1.725265,0.502542,1.647692,2.919947,0.285238,1.588363
0.050000,9.663650,1.814972,0.592265,1.794461,2.935381,0.308671,1.590937
0.050000,9.661566,1.912051,0.689366,1.942030,2.951385,0.320092,1.593532
0.050000,9.659054,2.016544,0.793889,2.090459,2.968573,0.343759,1.596109
0.050000,9.656076,2.128494,0.905879,2.239788,2.986580,0.360141,1.598626
0.050000,9.652604,2.247946,1.025381,2.390049,3.005233,0.373059,1.601040
0.050000,9.648614,2.374948,1.152447,2.541305,3.025103,0.397403,1.603305
0.050000,9.644094,2.509551,1.287125,2.693579,3.045489,0.407721,1.605374
0.050000,9.639039,2.651808,1.429472,2.846934,3.067088,0.431972,1.607198
0.050000,9.633458,2.801775,1.579543,3.001411,3.089549,0.449226,1.608724
0.050000,9.627374,2.959511,1.737396,3.157066,3.113096,0.470942,1.609899
0.050000,9.620826,3.125080,1.903094,3.313967,3.138017,0.498415,1.610665
0.050000,9.613873,3.298550,2.076704,3.472184,3.164348,0.526613,1.610961
0.050000,9.606595,3.479994,2.258294,3.631805,3.192415,0.561340,1.610723
0.050000,9.599095,3.669492,2.447940,3.792930,3.222497,0.601640,1.609881
0.050000,9.591506,3.867131,2.645724,3.955682,3.255057,0.651198,1.608361
0.050000,9.583992,4.073004,2.851734,4.120200,3.290351,0.705878,1.606080
0.050000,9.576753,4.287214,3.066067,4.286657,3.329137,0.775722,1.602950
0.050000,9.570029,4.509876,3.288830,4.455263,3.372132,0.859915,1.598872
0.050000,9.564112,4.741113,3.520143,4.626247,3.419675,0.950858,1.593735
0.050000,9.559345,4.981062,3.760139,4.799927,3.473588,1.078262,1.587417
0.050000,9.556137,5.229873,4.008971,4.976645,3.534358,1.215381,1.579776
0.050000,9.554971,5.487710,4.266811,5.156792,3.602941,1.371674,1.570654
0.050000,9.556418,5.754750,4.533855,5.340884,3.681841,1.577993,1.559870
0.050000,9.561152,6.031188,4.810333,5.529559,3.773498,1.833151,1.547213
0.050000,9.569972,6.317224,5.096505,5.723440,3.877630,2.082624,1.532440
0.050000,9.583821,6.613072,5.392678,5.923453,4.000260,2.452604,1.515273
0.050000,9.603817,6.918943,5.699201,6.130472,4.140376,2.802330,1.495385
0.050000,9.631290,7.235036,6.016485,6.345682,4.304194,3.276357,1.472399
0.050000,9.667817,7.561513,6.345000,6.570287,4.492106,3.758231,1.445881
0.050000,9.715275,7.898472,6.685284,6.805697,4.708199,4.321873,1.415334
0.050000,9.775886,8.245881,7.037941,7.053139,4.948849,4.812988,1.380200
0.050000,9.852270,8.603505,7.403632,7.313808,5.213372,5.290460,1.339869
0.050000,9.947476,8.970779,7.783045,7.588264,5.489124,5.515046,1.293704
0.050000,10.064980,9.346640,8.176845,7.875991,5.754537,5.308258,1.241090
0.050000,10.205919,9.722723,8.578470,8.032499,3.130154,-52.487668,1.182599
0.050000,10.368941,10.088482,8.978914,8.008882,-0.472339,-72.049850,1.119712
0.050000,10.553528,10.439666,9.375654,7.934805,-1.481529,-20.183802,1.053411
0.050000,10.758895,10.773498,9.767597,7.838855,-1.919002,-8.749454,0.984707
0.050000,10.983351,11.087314,10.153422,7.716505,-2.447000,-10.559957,0.914817
0.050000,11.224377,11.378873,10.531707,7.565705,-3.015996,-11.379929,0.845058
0.050000,11.478819,11.646615,10.901067,7.387204,-3.570030,-11.080680,0.776707
0.050000,11.743200,11.889821,11.260297,7.184600,-4.052066,-9.640720,0.710878
0.050000,12.014030,12.108614,11.608464,6.963325,-4.425517,-7.469015,0.648431
0.050000,12.288074,12.303849,11.944940,6.729536,-4.675769,-5.005048,0.589945
0.050000,12.562515,12.476921,12.269396,6.489115,-4.808432,-2.653267,0.535725
0.050000,12.835026,12.629562,12.581745,6.246974,-4.842812,-0.687592,0.485848
0.050000,13.103766,12.763661,12.882084,6.006790,-4.803676,0.782713,0.440225
0.050000,13.367327,12.881124,13.170636,5.771035,-4.715103,1.771473,0.398650
0.050000,13.624660,12.983779,13.447689,5.541049,-4.599710,2.307849,0.360854
0.050000,13.875006,13.073333,13.713570,5.317630,-4.468389,2.626421,0.326534
0.050000,14.117833,13.151336,13.968618,5.100966,-4.333282,2.702144,0.295383
0.050000,14.352770,13.219177,14.213154,4.890708,-4.205165,2.562347,0.267102
0.050000,14.579565,13.278089,14.447475,4.686435,-4.085459,2.394124,0.241412
0.050000,14.798070,13.329166,14.671871,4.487910,-3.970501,2.299148,0.218053
0.050000,15.008184,13.373366,14.886584,4.294262,-3.872962,1.950779,0.196796
0.050000,15.209869,13.411535,15.091849,4.105291,-3.779409,1.871055,0.177429
