dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.754957,1.226900,0.003701,0.148026,2.960519,59.210376,1.570333
0.050000,10.754957,1.226900,0.014803,0.296052,2.960519,0.000000,1.570771
0.050000,10.754950,1.244765,0.033306,0.444078,2.960519,0.000000,1.571496
0.050000,10.754919,1.270669,0.059210,0.592104,2.960519,0.000000,1.572498
0.050000,10.754841,1.303975,0.092516,0.740130,2.960519,0.000000,1.573765
0.050000,10.754689,1.344681,0.133223,0.888156,2.960519,0.000000,1.575282
0.050000,10.754431,1.392789,0.181332,1.036182,2.960519,0.000000,1.577030
0.050000,10.754031,1.448298,0.236842,1.184208,2.960519,-0.000000,1.578986
0.050000,10.753448,1.511206,0.299753,1.332233,2.960519,0.000000,1.581127
0.050000,10.752640,1.581514,0.370065,1.480259,2.960519,-0.000000,1.583423
0.050000,10.751564,1.659220,0.447778,1.628285,2.960519,0.000000,1.585846
0.050000,10.750175,1.744323,0.532893,1.776311,2.960519,-0.000000,1.588363
0.050000,10.748430,1.836823,0.625410,1.924337,2.960519,0.000000,1.590937
0.050000,10.746286,1.936718,0.725327,2.072363,2.960519,0.000000,1.593532
0.050000,10.743706,2.044005,0.832646,2.220389,2.960519,-0.000000,1.596109
0.050000,10.740656,2.158685,0.947366,2.368415,2.960519,0.000000,1.598626
0.050000,10.737108,2.280755,1.069487,2.516441,2.960519,0.000000,1.601040
0.050000,10.733041,2.410214,1.199010,2.664467,2.960519,0.000000,1.603305
0.050000,10.728445,2.547061,1.335934,2.812493,2.960519,-0.000000,1.605374
0.050000,10.723320,2.691295,1.480259,2.960519,2.960519,0.000000,1.607198
0.050000,10.717677,2.842917,1.631986,3.108545,2.960519,0.000000,1.608724
0.050000,10.711544,3.001926,1.791114,3.256571,2.960519,0.000000,1.609899
0.050000,10.704964,3.168326,1.957643,3.404597,2.960519,-0.000000,1.610665
0.050000,10.697998,3.342117,2.131574,3.552623,2.960519,0.000000,1.610961
0.050000,10.690730,3.523303,2.312905,3.700648,2.960519,0.000000,1.610723
0.050000,10.683267,3.711888,2.501638,3.848674,2.960519,-0.000000,1.609881
0.050000,10.675741,3.907878,2.697773,3.996700,2.960519,0.000000,1.608361
0.050000,10.668317,4.111279,2.901308,4.144726,2.960519,-0.000000,1.606080
0.050000,10.661192,4.322095,3.112245,4.292752,2.960519,-0.000000,1.602950
0.050000,10.654602,4.540334,3.330584,4.440778,2.960519,0.000000,1.598872
0.050000,10.648827,4.765999,3.556323,4.588804,2.960519,0.000000,1.593735
0.050000,10.644195,4.999094,3.789464,4.736830,2.960519,0.000000,1.587417
0.050000,10.641093,5.239616,4.030006,4.884856,2.960519,0.000000,1.579776
0.050000,10.639970,5.487556,4.277950,5.032882,2.960519,0.000000,1.570654
0.050000,10.641353,5.742895,4.533294,5.180908,2.960519,0.000000,1.559870
0.050000,10.645851,6.005602,4.796040,5.328934,2.960519,-0.000000,1.547213
0.050000,10.654174,6.275618,5.066188,5.476960,2.960519,0.000000,1.532440
0.050000,10.667149,6.552861,5.343736,5.624986,2.960519,0.000000,1.515273
0.050000,10.685734,6.837199,5.628686,5.773012,2.960519,0.000000,1.495385
0.050000,10.711042,7.128446,5.921038,5.921038,2.960519,0.000000,1.472399
0.050000,10.744363,7.426332,6.220790,6.069064,2.960519,0.000000,1.445881
0.050000,10.787190,7.730474,6.527944,6.217089,2.960519,0.000000,1.415334
0.050000,10.841239,8.040334,6.842499,6.365115,2.960519,0.000000,1.380200
0.050000,10.908468,8.355171,7.164455,6.513141,2.960519,-0.000000,1.339869
0.050000,10.991089,8.673967,7.493813,6.661167,2.960519,0.000000,1.293704
0.050000,11.091540,8.995354,7.830572,6.809193,2.960519,0.000000,1.241090
