dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.839956,1.226397,0.003701,0.148026,2.960519,59.210376,1.570333
0.050000,11.839957,1.226872,0.004176,0.009510,-2.770327,-114.616911,1.570771
0.050000,11.839950,1.245523,0.022827,0.373023,7.270276,200.812054,1.571496
0.050000,11.839918,1.272515,0.049819,0.539835,3.336227,-78.680974,1.572498
0.050000,11.839837,1.307196,0.084500,0.693623,3.075771,-5.209122,1.573765
0.050000,11.839679,1.349548,0.126852,0.847046,3.068451,-0.146409,1.575282
0.050000,11.839410,1.399552,0.176857,1.000095,3.060976,-0.149491,1.577030
0.050000,11.838994,1.457183,0.234490,1.152651,3.051118,-0.197164,1.578986
0.050000,11.838390,1.522414,0.299723,1.304669,3.040372,-0.214916,1.581127
0.050000,11.837554,1.595214,0.372528,1.456095,3.028515,-0.237149,1.583423
0.050000,11.836441,1.675549,0.452870,1.606850,3.015100,-0.268291,1.585846
0.050000,11.835008,1.763382,0.540715,1.756896,3.000923,-0.283538,1.588363
0.050000,11.833210,1.858674,0.636025,1.906191,2.985903,-0.300400,1.590937
0.050000,11.831006,1.961384,0.738758,2.054667,2.969520,-0.327669,1.593532
0.050000,11.828359,2.071467,0.848873,2.202293,2.952522,-0.339949,1.596109
0.050000,11.825236,2.188877,0.966324,2.349023,2.934594,-0.358556,1.598626
0.050000,11.821611,2.313564,1.091064,2.494803,2.915596,-0.379974,1.601040
0.050000,11.817468,2.445479,1.223045,2.639609,2.896123,-0.389458,1.603305
0.050000,11.812797,2.584570,1.362214,2.783379,2.875397,-0.414517,1.605374
0.050000,11.807601,2.730782,1.508518,2.926081,2.854043,-0.427086,1.607198
0.050000,11.801897,2.884059,1.661900,3.067658,2.831535,-0.450147,1.608724
0.050000,11.795715,3.044342,1.822303,3.208052,2.807876,-0.473185,1.609899
0.050000,11.789102,3.211571,1.989663,3.347204,2.783049,-0.496551,1.610665
0.050000,11.782123,3.385684,2.163915,3.485038,2.756689,-0.527187,1.610961
0.050000,11.774866,3.566612,2.344989,3.621470,2.728626,-0.561269,1.610723
0.050000,11.767438,3.754284,2.532808,3.756396,2.698517,-0.602176,1.609881
0.050000,11.759976,3.948626,2.727293,3.889699,2.666066,-0.649024,1.608361
0.050000,11.752641,4.149554,2.928355,4.021229,2.630610,-0.709115,1.606080
0.050000,11.745631,4.356976,3.135896,4.150819,2.591793,-0.776332,1.602950
0.050000,11.739174,4.570792,3.349809,4.278269,2.548991,-0.856056,1.598872
0.050000,11.733541,4.790886,3.569975,4.403316,2.500953,-0.960754,1.593735
0.050000,11.729045,5.017126,3.796260,4.525693,2.447543,-1.068198,1.587417
0.050000,11.726049,5.249359,4.028512,4.645042,2.386973,-1.211407,1.579776
0.050000,11.724970,5.487402,4.266558,4.760917,2.317503,-1.389400,1.570654
0.050000,11.726288,5.731040,4.510199,4.872834,2.238336,-1.583340,1.559870
0.050000,11.730549,5.980016,4.759211,4.980235,2.148019,-1.806325,1.547213
0.050000,11.738376,6.234012,5.013328,5.082338,2.042067,-2.119040,1.532440
0.050000,11.750477,6.492649,5.272248,5.178392,1.921085,-2.419647,1.515273
0.050000,11.767650,6.755455,5.535615,5.267338,1.778910,-2.843510,1.495385
0.050000,11.790793,7.021857,5.803020,5.348116,1.615562,-3.266947,1.472399
0.050000,11.820909,7.291151,6.073992,5.419435,1.426388,-3.783485,1.445881
0.050000,11.859105,7.562476,6.347992,5.480008,1.211453,-4.298702,1.415334
0.050000,11.906591,7.834787,6.624413,5.528414,0.968110,-4.866862,1.380200
0.050000,11.964667,8.106836,6.902592,5.563572,0.703166,-5.298877,1.339869
0.050000,12.034701,8.377154,7.181835,5.584874,0.426039,-5.542546,1.293704
0.050000,12.118099,8.644069,7.461476,5.592803,0.158589,-5.348984,1.241090
0.050000,12.214455,8.901333,7.736193,5.494340,-1.969270,-42.557196,1.182599
0.050000,12.321886,9.142489,8.000195,5.280049,-4.285814,-46.330872,1.119712
0.050000,12.439509,9.366364,8.253089,5.057876,-4.443455,-3.152817,1.053411
0.050000,12.566744,9.573255,8.495972,4.857670,-4.004122,8.786650,0.984707
0.050000,12.702970,9.763754,8.730168,4.683919,-3.475016,10.582131,0.914817
0.050000,12.847558,9.938670,8.957107,4.538771,-2.902970,11.440915,0.845058
0.050000,12.999847,10.098916,9.178174,4.421350,-2.348424,11.090922,0.776707
0.050000,13.159123,10.245418,9.394580,4.328112,-1.864754,9.673393,0.710878
0.050000,13.324573,10.379054,9.607260,4.253597,-1.490302,7.489045,0.648431
0.050000,13.495279,10.500641,9.816840,4.191601,-1.239912,5.007793,0.589945
0.050000,13.670222,10.610940,10.023651,4.136228,-1.107469,2.648865,0.535725
0.050000,13.848325,10.710676,10.227779,4.082553,-1.073497,0.679435,0.485848
0.050000,14.028495,10.800558,10.429124,4.026901,-1.113035,-0.790759,0.440225
0.050000,14.209666,10.881282,10.627465,3.966820,-1.201626,-1.771818,0.398650
0.050000,14.390828,10.953537,10.822505,3.900797,-1.320457,-2.376621,0.360854
0.050000,14.571060,11.017997,11.013917,3.828246,-1.451028,-2.611409,0.326534
0.050000,14.749534,11.075317,11.201370,3.749067,-1.583574,-2.650923,0.295383
0.050000,14.925514,11.126126,11.384538,3.663356,-1.714214,-2.612800,0.267102
0.050000,15.098355,11.171016,11.563113,3.571494,-1.837245,-2.460630,0.241412
0.050000,15.267505,11.210551,11.736822,3.474179,-1.946302,-2.181138,0.218053
0.050000,15.432479,11.245251,11.905406,3.371685,-2.049877,-2.071488,0.196796
0.050000,15.592873,11.275602,12.068646,3.264796,-2.137774,-1.757948,0.177429
0.050000,15.748326,11.302049,12.226332,3.153730,-2.221325,-1.671019,0.159769
0.050000,15.898545,11.325005,12.378296,3.039265,-2.289297,-1.359446,0.143652
0.050000,16.043265,11.344843,12.524369,2.921470,-2.355899,-1.332038,0.128933
0.050000,16.182279,11.361910,12.664427,2.801154,-2.406323,-1.008479,0.115483
0.050000,16.315385,11.376515,12.798331,2.678090,-2.461290,-1.099343,0.103192
0.050000,16.442436,11.388947,12.925989,2.553155,-2.498689,-0.747967,0.091959
0.050000,16.563290,11.399463,13.047300,2.426212,-2.538860,-0.803421,0.081697
0.050000,16.677822,11.408298,13.162173,2.297455,-2.575143,-0.725667,0.072330
0.050000,16.785946,11.415665,13.270547,2.167498,-2.599134,-0.479820,0.063790
0.050000,16.887569,11.421758,13.372353,2.036111,-2.627746,-0.572231,0.056017
0.050000,16.982620,11.426750,13.467535,1.903640,-2.649422,-0.433530,0.048960
0.050000,17.071033,11.430798,13.556040,1.770106,-2.670685,-0.425260,0.042571
0.050000,17.152752,11.434043,13.637824,1.635669,-2.688732,-0.360937,0.036811
0.050000,17.227738,11.436609,13.712854,1.500598,-2.701427,-0.253907,0.031643
0.050000,17.295945,11.438611,13.781090,1.364721,-2.717536,-0.322175,0.027038
0.050000,17.357338,11.440146,13.842502,1.228248,-2.729458,-0.238438,0.022967
0.050000,17.411898,11.441302,13.897074,1.091441,-2.736129,-0.133411,0.019408
0.050000,17.459592,11.442154,13.944776,0.954034,-2.748144,-0.240312,0.016340
0.050000,17.500397,11.442768,13.985586,0.816198,-2.756718,-0.171475,0.013747
0.050000,17.534310,11.443198,14.019501,0.678306,-2.757855,-0.022741,0.011613
0.050000,17.561303,11.443489,14.046496,0.539905,-2.768011,-0.203112,0.009929
0.050000,17.581379,11.443675,14.066573,0.401525,-2.767601,0.008196,0.008685
0.050000,17.594518,11.443784,14.079712,0.262790,-2.774696,-0.141905,0.007874
0.050000,17.600729,11.443832,14.085923,0.124227,-2.771258,0.068751,0.007492
0.050000,17.602100,11.443842,14.087294,0.027411,-1.936332,16.698530,0.007407
0.050000,17.602100,11.443842,14.087294,0.000000,-0.548215,27.762343,0.007407
