dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,9.885693,3.785753,0.003723,0.148936,2.978723,59.574468,1.292114
0.050000,9.886325,3.787954,0.006013,0.045797,-2.062783,-100.830134,1.290004
0.050000,9.891152,3.804555,0.023302,0.345770,5.999465,161.244960,1.286468
0.050000,9.900056,3.834745,0.054777,0.629506,5.674722,-6.494845,1.281474
0.050000,9.911760,3.873600,0.095357,0.811597,3.641811,-40.658219,1.274965
0.050000,9.926449,3.921109,0.145084,0.994550,3.659056,0.344896,1.266881
0.050000,9.944371,3.977294,0.204059,1.179484,3.698677,0.792411,1.257138
0.050000,9.965824,4.042165,0.272385,1.366520,3.740727,0.840994,1.245637
0.050000,9.991175,4.115738,0.350203,1.556365,3.796903,1.123528,1.232258
0.050000,10.020845,4.197989,0.437642,1.748792,3.848549,1.032913,1.216866
0.050000,10.055349,4.288918,0.534897,1.945098,3.926102,1.551059,1.199298
0.050000,10.095270,4.388458,0.642144,2.144938,3.996812,1.414207,1.179374
0.050000,10.141302,4.496548,0.759628,2.349676,4.094766,1.959072,1.156887
0.050000,10.194232,4.613040,0.887581,2.559058,4.187634,1.857367,1.131612
0.050000,10.254960,4.737717,1.026261,2.773606,4.290963,2.066580,1.103308
0.050000,10.324513,4.870280,1.175963,2.994040,4.408679,2.354321,1.071714
0.050000,10.404018,5.010257,1.336943,3.219589,4.510980,2.046018,1.036581
0.050000,10.494722,5.157021,1.509474,3.450619,4.620597,2.192336,0.997665
0.050000,10.597943,5.309702,1.693772,3.685972,4.707062,1.729307,0.954769
0.050000,10.715011,5.467128,1.889956,3.923671,4.753974,0.938241,0.907772
0.050000,10.847221,5.627813,2.098040,4.161688,4.760340,0.127322,0.856668
0.050000,10.995691,5.789901,2.317849,4.396171,4.689671,-1.413380,0.801616
0.050000,11.161252,5.951194,2.548989,4.622802,4.532610,-3.141222,0.742980
0.050000,11.344296,6.109217,2.790808,4.836384,4.271645,-5.219294,0.681359
0.050000,11.544677,6.261363,3.042405,5.031935,3.911020,-7.212517,0.617586
0.050000,11.761660,6.405085,3.302670,5.205295,3.467194,-8.876518,0.552685
0.050000,11.993965,6.538110,3.570366,5.353921,2.972532,-9.893237,0.487797
0.050000,12.239899,6.658638,3.844247,5.477616,2.473889,-9.972852,0.424073
0.050000,12.497554,6.765458,4.123167,5.578411,2.015905,-9.159691,0.362570
0.050000,12.765017,6.857972,4.406178,5.660217,1.636124,-7.595605,0.304163
0.050000,13.040534,6.936141,4.692570,5.727832,1.352298,-5.676530,0.249509
0.050000,13.322627,7.000370,4.981882,5.786247,1.168294,-3.680078,0.199031
0.050000,13.610131,7.051377,5.273876,5.839880,1.072653,-1.912829,0.152950
0.050000,13.902190,7.090076,5.568487,5.892225,1.046913,-0.514785,0.111324
0.050000,14.198216,7.117482,5.865779,5.945842,1.072327,0.508281,0.074094
0.050000,14.497838,7.134650,6.165893,6.002275,1.128664,1.126732,0.041129
0.050000,14.800852,7.142633,6.469011,6.062369,1.201878,1.464272,0.012264
0.050000,15.107158,7.142465,6.775318,6.126125,1.275125,1.464940,6.270510
0.050000,15.416742,7.135160,7.084988,6.193398,1.345460,1.406700,6.249336
0.050000,15.729629,7.121719,7.398164,6.263520,1.402443,1.139672,6.231797
0.050000,16.045862,7.103137,7.714942,6.335575,1.441095,0.773033,6.217800
0.050000,16.365485,7.080427,8.035370,6.408561,1.459720,0.372510,6.207306
0.050000,16.688512,7.054637,8.359425,6.481102,1.450819,-0.178031,6.200333
0.050000,17.014918,7.026877,8.687010,6.551699,1.411935,-0.777678,6.196970
0.050000,17.344611,6.998344,9.017936,6.618509,1.336219,-1.514320,6.197392
0.050000,17.677402,6.970357,9.351901,6.679308,1.215978,-2.404812,6.201875
0.050000,18.012967,6.944391,9.688469,6.731355,1.040929,-3.500990,6.210823
0.050000,18.347260,6.922332,10.023489,6.700402,-0.619063,-33.199828,6.224627
0.050000,18.674455,6.906094,10.351087,6.551955,-2.968940,-46.997545,6.243530
0.050000,18.990548,6.897215,10.667305,6.324364,-4.551815,-31.657493,6.267745
0.050000,19.293247,6.896872,10.970004,6.053974,-5.407807,-17.119852,0.014369
0.050000,19.581777,6.906001,11.258679,5.773500,-5.609474,-4.033330,0.050235
0.050000,19.855162,6.925361,11.532748,5.481392,-5.842149,-4.653509,0.092695
0.050000,20.112262,6.955485,11.791607,5.177172,-6.084400,-4.845009,0.142304
0.050000,20.351870,6.996606,12.034717,4.862205,-6.299358,-4.299171,0.199559
