dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.971972,3.188811,0.003723,0.148936,2.978723,59.574468,1.292114
0.050000,11.971339,3.186610,0.006013,0.045797,-2.062783,-100.830134,1.290004
0.050000,11.974027,3.195843,0.015630,0.192327,2.930609,99.867843,1.286468
0.050000,11.979865,3.215638,0.036267,0.412754,4.408528,29.558382,1.281474
0.050000,11.987495,3.240969,0.062723,0.529111,2.327147,-41.627626,1.274965
0.050000,11.997002,3.271718,0.094908,0.643692,2.291626,-0.710410,1.266881
0.050000,12.008499,3.307760,0.132739,0.756637,2.258882,-0.654876,1.257138
0.050000,12.022116,3.348937,0.176109,0.867390,2.215071,-0.876231,1.245637
0.050000,12.038008,3.395062,0.224895,0.975728,2.166754,-0.966336,1.232258
0.050000,12.056344,3.445896,0.278935,1.080793,2.101308,-1.308911,1.216866
0.050000,12.077321,3.501182,0.338067,1.182639,2.036905,-1.288071,1.199298
0.050000,12.101147,3.560596,0.402081,1.280275,1.952739,-1.683310,1.179374
0.050000,12.128058,3.623793,0.470768,1.373746,1.869418,-1.666433,1.156887
0.050000,12.158297,3.690354,0.543876,1.462165,1.768368,-2.020998,1.131612
0.050000,12.192125,3.759816,0.621138,1.545229,1.661281,-2.141734,1.103308
0.050000,12.229822,3.831676,0.702285,1.622947,1.554359,-2.138453,1.071714
0.050000,12.271669,3.905367,0.787029,1.694879,1.438638,-2.314409,1.036581
0.050000,12.317972,3.980305,0.875118,1.761777,1.337967,-2.013415,0.997665
0.050000,12.369053,4.055881,0.966338,1.824401,1.252470,-1.709946,0.954769
0.050000,12.425263,4.131486,1.060549,1.884218,1.196351,-1.122389,0.907772
0.050000,12.487013,4.206553,1.157750,1.944024,1.196126,-0.004486,0.856668
0.050000,12.554795,4.280566,1.258111,2.007218,1.263866,1.354790,0.801616
0.050000,12.629226,4.353085,1.362028,2.078353,1.422699,3.176661,0.742980
0.050000,12.711069,4.423741,1.470151,2.162461,1.682167,5.189358,0.681359
0.050000,12.801256,4.492208,1.583383,2.264637,2.043521,7.227090,0.617586
0.050000,12.900855,4.558158,1.702838,2.389090,2.489069,8.910955,0.552685
0.050000,13.011003,4.621203,1.829752,2.538285,2.983887,9.896355,0.487797
0.050000,13.132803,4.680856,1.965375,2.712468,3.483674,9.995747,0.424073
0.050000,13.267205,4.736533,2.110854,2.909569,3.942006,9.166631,0.362570
0.050000,13.414921,4.787580,2.267141,3.125747,4.323574,7.631365,0.304163
0.050000,13.576368,4.833338,2.434948,3.356130,4.607651,5.681545,0.249509
0.050000,13.751679,4.873209,2.614735,3.595748,4.792359,3.694158,0.199031
0.050000,13.940741,4.906710,2.806743,3.840147,4.887991,1.912650,0.152950
0.050000,14.143265,4.933508,3.011031,4.085773,4.912502,0.490218,0.111324
0.050000,14.358853,4.953436,3.227538,4.330141,4.887361,-0.502835,0.074094
0.050000,14.587064,4.966485,3.456122,4.571675,4.830689,-1.133441,0.041129
0.050000,14.827464,4.972796,3.696605,4.809656,4.759611,-1.421544,0.012264
0.050000,15.079653,4.972639,3.948794,5.043790,4.682683,-1.538561,6.270510
0.050000,15.343303,4.966404,4.212518,5.274480,4.613808,-1.377504,6.249336
0.050000,15.618165,4.954583,4.487634,5.502315,4.556693,-1.142308,6.231797
0.050000,15.904078,4.937774,4.774041,5.728134,4.516383,-0.806189,6.217800
0.050000,16.200984,4.916671,5.071696,5.953108,4.499471,-0.338241,6.207306
0.050000,16.508927,4.892081,5.380619,6.178463,4.507103,0.152635,6.200333
0.050000,16.828063,4.864937,5.700907,6.405764,4.546017,0.778275,6.196970
0.050000,17.158669,4.836325,6.032749,6.636827,4.621276,1.505195,6.197392
0.050000,17.501154,4.807526,6.376442,6.873875,4.740949,2.393450,6.201875
0.050000,17.856078,4.780070,6.732427,7.119691,4.916317,3.507353,6.210823
0.050000,18.220261,4.756051,7.097401,7.299476,3.595707,-26.412196,6.224627
0.050000,18.588425,4.737800,7.466018,7.372337,1.457228,-42.769583,6.243530
0.050000,18.957045,4.727474,7.834782,7.375286,0.058981,-27.964938,6.267745
0.050000,19.324426,4.727096,8.202163,7.347624,-0.553247,-12.244564,0.014369
0.050000,19.690742,4.738738,8.568664,7.330018,-0.352126,4.022432,0.050235
0.050000,20.056022,4.764677,8.934864,7.323995,-0.120454,4.633442,0.092695
0.050000,20.420022,4.807419,9.301365,7.330018,0.120467,4.818415,0.142304
0.050000,20.782044,4.869672,9.668700,7.346715,0.333921,4.269087,0.199559
0.050000,21.140705,4.954222,10.037193,7.369844,0.462597,2.573515,0.264758
