dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.928832,3.487282,0.003723,0.148936,2.978723,59.574468,1.292114
0.050000,10.928832,3.487282,0.014894,0.297872,2.978723,0.000000,1.290004
0.050000,10.932589,3.500199,0.033511,0.446809,2.978723,0.000000,1.286468
0.050000,10.939961,3.525191,0.059574,0.595745,2.978723,0.000000,1.281474
0.050000,10.949628,3.557285,0.093085,0.744681,2.978723,0.000000,1.274965
0.050000,10.961726,3.596413,0.134043,0.893617,2.978723,0.000000,1.266881
0.050000,10.976435,3.642527,0.182447,1.042553,2.978723,-0.000000,1.257138
0.050000,10.993970,3.695551,0.238298,1.191489,2.978723,0.000000,1.245637
0.050000,11.014591,3.755400,0.301596,1.340426,2.978723,0.000000,1.232258
0.050000,11.038595,3.821943,0.372340,1.489362,2.978723,-0.000000,1.216866
0.050000,11.066335,3.895050,0.450532,1.638298,2.978723,0.000000,1.199298
0.050000,11.098209,3.974527,0.536170,1.787234,2.978723,-0.000000,1.179374
0.050000,11.134680,4.060170,0.629255,1.936170,2.978723,0.000000,1.156887
0.050000,11.176265,4.151697,0.729787,2.085106,2.978723,-0.000000,1.131612
0.050000,11.223542,4.248767,0.837766,2.234043,2.978723,0.000000,1.103308
0.050000,11.277168,4.350978,0.953191,2.382979,2.978723,-0.000000,1.071714
0.050000,11.337844,4.457812,1.076064,2.531915,2.978723,0.000000,1.036581
0.050000,11.406347,4.568663,1.206383,2.680851,2.978723,0.000000,0.997665
0.050000,11.483498,4.682792,1.344149,2.829787,2.978723,-0.000000,0.954769
0.050000,11.570137,4.799307,1.489362,2.978723,2.978723,0.000000,0.907772
0.050000,11.667117,4.917183,1.642021,3.127660,2.978723,0.000000,0.856668
0.050000,11.775243,5.035233,1.802128,3.276596,2.978723,0.000000,0.801616
0.050000,11.895239,5.152139,1.969681,3.425532,2.978723,-0.000000,0.742980
0.050000,12.027682,5.266479,2.144681,3.574468,2.978723,0.000000,0.681359
0.050000,12.172966,5.376786,2.327128,3.723404,2.978723,0.000000,0.617586
0.050000,12.331257,5.481621,2.517021,3.872340,2.978723,0.000000,0.552685
0.050000,12.502484,5.579656,2.714362,4.021277,2.978723,0.000000,0.487797
0.050000,12.686351,5.669747,2.919149,4.170213,2.978723,-0.000000,0.424073
0.050000,12.882380,5.750995,3.131383,4.319149,2.978723,0.000000,0.362570
0.050000,13.089969,5.822776,3.351064,4.468085,2.978723,0.000000,0.304163
0.050000,13.308451,5.884740,3.578191,4.617021,2.978723,-0.000000,0.249509
0.050000,13.537153,5.936789,3.812766,4.765957,2.978723,0.000000,0.199031
0.050000,13.775436,5.979043,4.054787,4.914894,2.978723,0.000000,0.152950
0.050000,14.022727,6.011792,4.304255,5.063830,2.978723,-0.000000,0.111324
0.050000,14.278534,6.035459,4.561170,5.212766,2.978723,0.000000,0.074094
0.050000,14.542451,6.050568,4.825532,5.361702,2.978723,0.000000,0.041129
0.050000,14.814158,6.057714,5.097340,5.510638,2.978723,-0.000000,0.012264
0.050000,15.093405,6.057552,5.376596,5.659574,2.978723,0.000000,6.270510
0.050000,15.380022,6.050782,5.663298,5.808511,2.978723,0.000000,6.249336
0.050000,15.673897,6.038151,5.957447,5.957447,2.978723,-0.000000,6.231797
0.050000,15.974970,6.020455,6.259043,6.106383,2.978723,0.000000,6.217800
0.050000,16.283234,5.998549,6.568085,6.255319,2.978723,-0.000000,6.207306
0.050000,16.598719,5.973359,6.884574,6.404255,2.978723,0.000000,6.200333
0.050000,16.921491,5.945907,7.208511,6.553191,2.978723,0.000000,6.196970
0.050000,17.251640,5.917335,7.539894,6.702128,2.978723,0.000000,6.197392
0.050000,17.589278,5.888941,7.878723,6.851064,2.978723,-0.000000,6.201875
0.050000,17.934522,5.862231,8.225000,7.000000,2.978723,0.000000,6.210823
0.050000,18.283760,5.839192,8.575000,7.000000,0.000000,-59.574468,6.224627
0.050000,18.631440,5.821947,8.923111,6.924447,-1.511056,-30.221130,6.243530
0.050000,18.973797,5.812344,9.265610,6.775511,-2.978723,-29.353338,6.267745
0.050000,19.308836,5.811984,9.600662,6.626575,-2.978723,0.000000,0.014369
0.050000,19.636260,5.822370,9.928268,6.477639,-2.978723,0.000000,0.050235
0.050000,19.955592,5.845019,10.248426,6.328702,-2.978723,-0.000000,0.092695
