dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.012774,24.683709,0.004762,0.190476,3.809524,76.190476,0.018301
0.050000,0.026763,24.683964,0.018754,0.279836,1.787197,-40.446539,0.018162
0.050000,0.069952,24.684742,0.061950,0.863920,11.681682,197.889705,0.017849
0.050000,0.141929,24.686008,0.133938,1.439769,11.516987,-3.293901,0.017333
0.050000,0.242688,24.687719,0.234712,2.015473,11.514065,-0.058447,0.016620
0.050000,0.372220,24.689813,0.364260,2.590971,11.509972,-0.081859,0.015720
0.050000,0.530512,24.692216,0.522571,3.166207,11.504707,-0.105291,0.014644
0.050000,0.717550,24.694839,0.709627,3.741120,11.498270,-0.128745,0.013407
0.050000,0.933315,24.697582,0.925409,4.315653,11.490660,-0.152198,0.012027
0.050000,1.177787,24.700338,1.169897,4.889747,11.481874,-0.175719,0.010525
0.050000,1.450941,24.702992,1.443064,5.463343,11.471914,-0.199196,0.008922
0.050000,1.752750,24.705429,1.744883,6.036381,11.460777,-0.222739,0.007246
0.050000,2.083184,24.707536,2.075323,6.608805,11.448466,-0.246236,0.005523
0.050000,2.442208,24.709203,2.434351,7.180554,11.434979,-0.269739,0.003786
0.050000,2.825001,24.710322,2.817146,7.655893,9.506784,-38.563883,0.002088
0.050000,3.221966,24.710829,3.214111,7.939318,5.668497,-76.765747,0.000496
0.050000,3.623524,24.710734,3.615670,8.031165,1.836952,-76.630904,6.282245
0.050000,4.024891,24.710098,4.017036,8.027336,-0.076596,-38.270965,6.280985
0.050000,4.426065,24.708992,4.418212,8.023506,-0.076598,-0.000032,6.279902
0.050000,4.827045,24.707487,4.819196,8.019676,-0.076598,0.000003,6.278995
0.050000,5.227834,24.705656,5.219988,8.015846,-0.076597,0.000023,6.278265
0.050000,5.628429,24.703568,5.620589,8.012016,-0.076595,0.000031,6.277711
0.050000,6.028832,24.701294,6.020998,8.008186,-0.076594,0.000030,6.277334
0.050000,6.429043,24.698906,6.421216,8.004357,-0.076592,0.000022,6.277133
0.050000,6.828794,24.696476,6.820975,7.995186,-0.183422,-2.136598,6.277109
0.050000,7.223063,24.694104,7.215250,7.885507,-2.193576,-40.203078,6.277257
0.050000,7.602342,24.691909,7.594536,7.585712,-5.995891,-76.046291,6.277563
0.050000,7.957410,24.689984,7.949610,7.101471,-9.684820,-73.778590,6.277993
0.050000,8.283812,24.688371,8.276016,6.528122,-11.466991,-35.643404,6.278511
0.050000,8.581582,24.687062,8.573788,5.955443,-11.453575,0.268317,6.279087
0.050000,8.850749,24.686039,8.842957,5.383377,-11.441331,0.244880,6.279693
0.050000,9.091341,24.685271,9.083550,4.811864,-11.430259,0.221441,6.280302
0.050000,9.303382,24.684721,9.295592,4.240846,-11.420359,0.197998,6.280893
0.050000,9.486895,24.684350,9.479105,3.670264,-11.411631,0.174554,6.281444
0.050000,9.641898,24.684119,9.634108,3.100060,-11.404076,0.151104,6.281939
0.050000,9.768406,24.683987,9.760617,2.530176,-11.397693,0.127656,6.282363
0.050000,9.866434,24.683924,9.858645,1.960552,-11.392483,0.104204,6.282704
0.050000,9.935990,24.683899,9.928201,1.391129,-11.388445,0.080755,6.282952
0.050000,9.977349,24.683892,9.969560,0.827172,-11.279153,2.185844,6.283102
0.050000,9.995523,24.683891,9.987734,0.363480,-9.273836,40.106330,6.283169
0.050000,10.000000,24.683891,9.992211,0.089538,-5.478829,75.900142,0.000000
0.050000,10.000000,24.683891,9.992211,0.000000,-1.790769,73.761214,0.000000
