dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.206505,2.038319,0.002454,0.098155,1.963107,39.262144,6.283115
0.050000,0.209245,2.038319,0.009816,0.196311,1.963107,0.000000,0.000042
0.050000,0.221514,2.038321,0.022085,0.294466,1.963107,-0.000000,0.000229
0.050000,0.238691,2.038327,0.039262,0.392621,1.963107,0.000000,0.000491
0.050000,0.260776,2.038341,0.061347,0.490777,1.963107,-0.000000,0.000825
0.050000,0.287769,2.038369,0.088340,0.588932,1.963107,0.000000,0.001232
0.050000,0.319670,2.038416,0.120240,0.687088,1.963107,0.000000,0.001709
0.050000,0.356478,2.038489,0.157049,0.785243,1.963107,0.000000,0.002255
0.050000,0.398194,2.038596,0.198765,0.883398,1.963107,0.000000,0.002868
0.050000,0.444817,2.038745,0.245388,0.981554,1.963107,-0.000000,0.003546
0.050000,0.496348,2.038947,0.296920,1.079709,1.963107,0.000000,0.004287
0.050000,0.552787,2.039212,0.353359,1.177864,1.963107,-0.000000,0.005087
0.050000,0.614133,2.039550,0.414706,1.276020,1.963107,0.000000,0.005944
0.050000,0.680387,2.039974,0.480961,1.374175,1.963107,-0.000000,0.006855
0.050000,0.751548,2.040496,0.552124,1.472330,1.963107,0.000000,0.007815
0.050000,0.827615,2.041129,0.628194,1.570486,1.963107,-0.000000,0.008823
0.050000,0.908590,2.041887,0.709172,1.668641,1.963107,0.000000,0.009873
0.050000,0.994471,2.042781,0.795058,1.766796,1.963107,0.000000,0.010961
0.050000,1.085259,2.043828,0.885852,1.864952,1.963107,0.000000,0.012082
0.050000,1.180953,2.045039,0.981554,1.963107,1.963107,-0.000000,0.013233
0.050000,1.281552,2.046430,1.082163,2.061263,1.963107,0.000000,0.014408
0.050000,1.387057,2.048014,1.187680,2.159418,1.963107,-0.000000,0.015602
0.050000,1.497468,2.049803,1.298105,2.257573,1.963107,0.000000,0.016809
0.050000,1.612783,2.051812,1.413437,2.355729,1.963107,0.000000,0.018024
0.050000,1.733002,2.054053,1.533678,2.453884,1.963107,0.000000,0.019240
0.050000,1.858126,2.056537,1.658826,2.552039,1.963107,-0.000000,0.020451
0.050000,1.988153,2.059276,1.788881,2.650195,1.963107,0.000000,0.021651
0.050000,2.123083,2.062278,1.923845,2.748350,1.963107,0.000000,0.022833
0.050000,2.262916,2.065553,2.063716,2.846505,1.963107,0.000000,0.023990
0.050000,2.407651,2.069108,2.208496,2.944661,1.963107,0.000000,0.025114
0.050000,2.557289,2.072949,2.358183,3.042816,1.963107,-0.000000,0.026198
0.050000,2.711828,2.077080,2.512777,3.140972,1.963107,0.000000,0.027234
0.050000,2.871270,2.081503,2.672280,3.239127,1.963107,0.000000,0.028215
0.050000,3.035612,2.086217,2.836690,3.337282,1.963107,-0.000000,0.029131
0.050000,3.204856,2.091222,3.006008,3.435438,1.963107,0.000000,0.029974
0.050000,3.379002,2.096511,3.180234,3.533593,1.963107,0.000000,0.030735
0.050000,3.558049,2.102078,3.359367,3.631748,1.963107,0.000000,0.031406
