dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.052484,22.514073,0.004762,0.190476,3.809524,76.190476,0.018301
0.050000,0.066171,22.514322,0.018451,0.273784,1.666149,-42.867496,0.018162
0.050000,0.108683,22.515088,0.060969,0.850366,11.531638,197.309786,0.017849
0.050000,0.179540,22.516334,0.131838,1.417373,11.340155,-3.829668,0.017333
0.050000,0.278752,22.518019,0.231064,1.984527,11.343077,0.058449,0.016620
0.050000,0.406330,22.520081,0.358659,2.551886,11.347170,0.081846,0.015720
0.050000,0.562287,22.522449,0.514634,3.119507,11.352433,0.105267,0.014644
0.050000,0.746642,22.525034,0.699007,3.687451,11.358869,0.128715,0.013407
0.050000,0.959413,22.527739,0.911795,4.255775,11.366479,0.152211,0.012027
0.050000,1.200625,22.530458,1.153022,4.824538,11.375263,0.175681,0.010525
0.050000,1.470302,22.533078,1.422712,5.393799,11.385224,0.199224,0.008922
0.050000,1.768473,22.535486,1.720893,5.963617,11.396360,0.222716,0.007246
0.050000,2.095169,22.537569,2.047596,6.534051,11.408673,0.246251,0.005523
0.050000,2.450423,22.539218,2.402853,7.105159,11.422161,0.269759,0.003786
0.050000,2.829532,22.540327,2.781964,7.582201,9.540834,-37.626535,0.002088
0.050000,3.223042,22.540829,3.175474,7.870204,5.760077,-75.615132,0.000496
0.050000,3.621483,22.540735,3.573915,7.968833,1.972578,-75.749991,6.282245
0.050000,4.020116,22.540103,3.972549,7.972663,0.076603,-37.919504,6.280985
0.050000,4.418939,22.539003,4.371373,7.976494,0.076603,0.000015,6.279902
0.050000,4.817953,22.537506,4.770389,7.980324,0.076603,-0.000019,6.278995
0.050000,5.217156,22.535682,5.169597,7.984154,0.076601,-0.000040,6.278265
0.050000,5.616550,22.533600,5.568996,7.987984,0.076598,-0.000048,6.277711
0.050000,6.016134,22.531332,5.968587,7.991813,0.076596,-0.000047,6.277334
0.050000,6.415909,22.528946,6.368369,7.995643,0.076594,-0.000039,6.277133
0.050000,6.815608,22.526516,6.768076,7.994129,-0.030275,-2.137374,6.277109
0.050000,7.210199,22.524142,7.162674,7.891962,-2.043343,-40.261371,6.277257
0.050000,7.590141,22.521943,7.542622,7.598958,-5.860077,-76.334674,6.277563
0.050000,7.946142,22.520014,7.898628,7.120133,-9.576498,-74.328407,6.277993
0.050000,8.273669,22.518395,8.226160,6.550626,-11.390153,-36.273112,6.278511
0.050000,8.572689,22.517081,8.525182,5.980447,-11.403569,-0.268309,6.279087
0.050000,8.843170,22.516052,8.795665,5.409657,-11.415812,-0.244872,6.279693
0.050000,9.085084,22.515280,9.037580,4.838313,-11.426884,-0.221435,6.280302
0.050000,9.298407,22.514727,9.250904,4.266473,-11.436784,-0.197995,6.280893
0.050000,9.483117,22.514354,9.435614,3.694198,-11.445511,-0.174550,6.281444
0.050000,9.639194,22.514120,9.591691,3.121544,-11.453067,-0.151106,6.281939
0.050000,9.766622,22.513988,9.719120,2.548572,-11.459449,-0.127656,6.282363
0.050000,9.865389,22.513924,9.817887,1.975339,-11.464660,-0.104208,6.282704
0.050000,9.935484,22.513899,9.887982,1.401904,-11.468698,-0.080757,6.282952
0.050000,9.977169,22.513892,9.929666,0.833690,-11.364292,2.088110,6.283102
0.050000,9.995487,22.513891,9.947985,0.366370,-9.346387,40.358101,6.283169
0.050000,10.000000,22.513891,9.952498,0.090253,-5.522347,76.480810,0.000000
0.050000,10.000000,22.513891,9.952498,0.000000,-1.805057,74.345782,0.000000
