dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.144349,8.486845,0.002500,0.100000,2.000000,40.000000,4.726333
0.050000,11.144441,8.479222,0.010123,0.152470,1.049395,-19.012102,4.723296
0.050000,11.144591,8.461270,0.028076,0.359050,4.131600,61.644102,4.718270
0.050000,11.144651,8.436224,0.053122,0.500926,2.837531,-25.881378,4.711315
0.050000,11.144476,8.404171,0.085176,0.641065,2.802774,-0.695141,4.702510
0.050000,11.143885,8.365228,0.124123,0.778953,2.757758,-0.900315,4.691959
0.050000,11.142672,8.319539,0.169829,0.914107,2.703081,-1.093543,4.679788
0.050000,11.140610,8.267277,0.222131,1.046049,2.638837,-1.284874,4.666145
0.050000,11.137455,8.208647,0.280846,1.174296,2.564946,-1.477829,4.651200
0.050000,11.132962,8.143879,0.345769,1.298472,2.483519,-1.628534,4.635141
0.050000,11.126887,8.073230,0.416679,1.418190,2.394348,-1.783423,4.618173
0.050000,11.118997,7.996979,0.493337,1.533159,2.299390,-1.899161,4.600515
0.050000,11.109080,7.915421,0.575495,1.643171,2.200238,-1.983051,4.582395
0.050000,11.096948,7.828862,0.662900,1.748100,2.098588,-2.032990,4.564048
0.050000,11.082447,7.737615,0.755293,1.847859,1.995180,-2.068157,4.545712
0.050000,11.065458,7.641986,0.852420,1.942524,1.893304,-2.037533,4.527623
0.050000,11.045901,7.542278,0.954028,2.032161,1.792728,-2.011508,4.510010
0.050000,11.023737,7.438779,1.059873,2.116905,1.694888,-1.956799,4.493101
0.050000,10.998971,7.331761,1.169719,2.196925,1.600394,-1.889883,4.477113
0.050000,10.971650,7.221476,1.283338,2.272376,1.509017,-1.827540,4.462256
0.050000,10.941862,7.108156,1.400508,2.343398,1.420435,-1.771648,4.448734
0.050000,10.909742,6.992013,1.521010,2.410050,1.333047,-1.747754,4.436750
0.050000,10.875469,6.873242,1.644628,2.472349,1.245987,-1.741201,4.426503
0.050000,10.839267,6.752024,1.771136,2.530158,1.156181,-1.796111,4.418200
0.050000,10.801411,6.628535,1.900297,2.583224,1.061318,-1.897268,4.412061
0.050000,10.762230,6.502950,2.031852,2.631111,0.957727,-2.071818,4.408323
0.050000,10.722114,6.375453,2.165511,2.673170,0.841180,-2.330944,4.407255
0.050000,10.681520,6.246256,2.300936,2.708495,0.706504,-2.693516,4.409168
0.050000,10.640979,6.115608,2.437729,2.735866,0.547430,-3.181478,4.414428
0.050000,10.601111,5.983823,2.575413,2.753680,0.356277,-3.823059,4.423474
0.050000,10.562629,5.851303,2.713406,2.759871,0.123814,-4.649257,4.436843
0.050000,10.526350,5.718581,2.850998,2.751838,-0.160654,-5.689368,4.455190
0.050000,10.493194,5.586354,2.987318,2.726398,-0.508801,-6.962934,4.479316
0.050000,10.464177,5.455546,3.121306,2.679756,-0.932840,-8.480783,4.510198
0.050000,10.440371,5.327349,3.251695,2.607783,-1.439469,-10.132573,4.549003
0.050000,10.422836,5.203252,3.377025,2.506594,-2.023776,-11.686150,4.597075
0.050000,10.412501,5.085003,3.495725,2.373995,-2.651972,-12.563919,4.655861
0.050000,10.409999,4.974424,3.606332,2.212138,-3.237145,-11.703458,4.726709
0.050000,10.415531,4.872986,3.707920,2.031771,-3.607348,-7.404068,4.810471
0.050000,10.428909,4.781115,3.800761,1.856811,-3.499196,2.163037,4.906898
0.050000,10.449682,4.698436,3.886009,1.704963,-3.036953,9.244865,5.012623
0.050000,10.477849,4.622390,3.967104,1.621897,-1.661321,27.512641,5.122175
0.050000,10.514770,4.548743,4.049488,1.647680,0.515665,43.539724,5.230539
0.050000,10.562625,4.474232,4.138042,1.771087,2.468140,39.049509,5.333218
0.050000,10.623466,4.397350,4.236085,1.960863,3.795504,26.547265,5.427153
0.050000,10.698454,4.318176,4.345135,2.180989,4.402527,12.140464,5.510949
0.050000,10.787650,4.237697,4.465272,2.402743,4.435081,0.651077,5.584531
0.050000,10.890255,4.157163,4.595708,2.608717,4.119488,-6.311857,5.648624
0.050000,11.004980,4.077698,4.735266,2.791162,3.648901,-9.411734,5.704314
0.050000,11.130360,4.000153,4.882688,2.948439,3.145527,-10.067478,5.752761
0.050000,11.264950,3.925104,5.036788,3.081999,2.671203,-9.486487,5.795052
0.050000,11.408299,3.852290,5.197569,3.215637,2.672768,0.031303,5.826888
0.050000,11.563878,3.778038,5.369959,3.447797,4.643196,39.408560,5.848975
0.050000,11.716647,3.709213,5.537516,3.351124,-1.933469,-131.533297,5.870909
0.050000,11.866484,3.645608,5.700294,3.255566,-1.911156,0.446260,5.892639
0.050000,12.013273,3.587006,5.858349,3.161099,-1.889342,0.436270,5.914114
0.050000,12.156905,3.533186,6.011733,3.067685,-1.868266,0.421521,5.935285
0.050000,12.297276,3.483924,6.160497,2.975278,-1.848142,0.402477,5.956107
0.050000,12.434288,3.438993,6.304688,2.883821,-1.829138,0.380093,5.976535
0.050000,12.567849,3.398165,6.444350,2.793249,-1.811454,0.353675,5.996528
0.050000,12.697874,3.361210,6.579525,2.703491,-1.795149,0.326091,6.016050
0.050000,12.824283,3.327902,6.710249,2.614473,-1.780358,0.295826,6.035066
0.050000,12.947003,3.298016,6.836555,2.526118,-1.767099,0.265182,6.053546
0.050000,13.065963,3.271328,6.958472,2.438348,-1.755399,0.233996,6.071462
0.050000,13.181102,3.247621,7.076026,2.351086,-1.745244,0.203100,6.088791
0.050000,13.292361,3.226681,7.189239,2.264256,-1.736594,0.173011,6.105514
0.050000,13.399688,3.208299,7.298129,2.177787,-1.729383,0.144217,6.121613
0.050000,13.503034,3.192274,7.402709,2.091612,-1.723516,0.117338,6.137075
0.050000,13.602354,3.178409,7.502992,2.005665,-1.718934,0.091639,6.151889
0.050000,13.697609,3.166515,7.598987,1.919891,-1.715477,0.069135,6.166049
0.050000,13.788762,3.156412,7.690699,1.834236,-1.713094,0.047661,6.179547
0.050000,13.875782,3.147926,7.778132,1.748657,-1.711594,0.030009,6.192380
0.050000,13.958640,3.140889,7.861287,1.663109,-1.710948,0.012921,6.204548
0.050000,14.037308,3.135146,7.940165,1.577560,-1.710980,-0.000647,6.216050
0.050000,14.111765,3.130545,8.014764,1.491982,-1.711572,-0.011831,6.226888
0.050000,14.181990,3.126946,8.085081,1.406346,-1.712713,-0.022835,6.237063
0.050000,14.247966,3.124215,8.151113,1.320637,-1.714169,-0.029118,6.246580
0.050000,14.309676,3.122229,8.212855,1.234838,-1.715985,-0.036306,6.255443
0.050000,14.367107,3.120872,8.270302,1.148941,-1.717942,-0.039141,6.263655
0.050000,14.420247,3.120035,8.323449,1.062935,-1.720124,-0.043643,6.271223
0.050000,14.469086,3.119620,8.372290,0.976820,-1.722301,-0.043549,6.278151
0.050000,14.513616,3.119536,8.416820,0.890592,-1.724557,-0.045120,0.001259
0.050000,14.553828,3.119701,8.457032,0.804258,-1.726681,-0.042476,0.006923
0.050000,14.589717,3.120040,8.492923,0.717817,-1.728815,-0.042675,0.011962
0.050000,14.621278,3.120487,8.524487,0.631279,-1.730766,-0.039022,0.016380
0.050000,14.648506,3.120985,8.551720,0.544650,-1.732575,-0.036172,0.020183
0.050000,14.671398,3.121483,8.574617,0.457944,-1.734129,-0.031088,0.023372
0.050000,14.689951,3.121941,8.593175,0.371165,-1.735582,-0.029059,0.025953
0.050000,14.704162,3.122324,8.607392,0.284331,-1.736682,-0.022012,0.027926
0.050000,14.714030,3.122607,8.617264,0.197452,-1.737578,-0.017901,0.029296
0.050000,14.719555,3.122771,8.622791,0.110539,-1.738253,-0.013512,0.030061
0.050000,14.721231,3.122821,8.624468,0.033540,-1.539976,3.965551,0.030294
0.050000,14.721231,3.122821,8.624468,0.000000,-0.670805,17.383413,0.030294
