dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,10.059454,8.471715,0.002500,0.100000,2.000000,40.000000,4.726333
0.050000,10.059505,8.467388,0.010000,0.200000,2.000000,0.000000,4.723296
0.050000,10.059610,8.454889,0.022500,0.300000,2.000000,-0.000000,4.718270
0.050000,10.059652,8.437389,0.040000,0.400000,2.000000,0.000000,4.711315
0.050000,10.059529,8.414889,0.062500,0.500000,2.000000,-0.000000,4.702510
0.050000,10.059111,8.387393,0.090000,0.600000,2.000000,0.000000,4.691959
0.050000,10.058249,8.354904,0.122500,0.700000,2.000000,0.000000,4.679788
0.050000,10.056769,8.317434,0.160000,0.800000,2.000000,0.000000,4.666145
0.050000,10.054486,8.274996,0.202500,0.900000,2.000000,-0.000000,4.651200
0.050000,10.051198,8.227610,0.250000,1.000000,2.000000,0.000000,4.635141
0.050000,10.046699,8.175304,0.302500,1.100000,2.000000,0.000000,4.618173
0.050000,10.040780,8.118110,0.360000,1.200000,2.000000,-0.000000,4.600515
0.050000,10.033234,8.056068,0.422500,1.300000,2.000000,0.000000,4.582395
0.050000,10.023864,7.989222,0.490000,1.400000,2.000000,-0.000000,4.564048
0.050000,10.012483,7.917622,0.562500,1.500000,2.000000,0.000000,4.545712
0.050000,9.998925,7.841319,0.640000,1.600000,2.000000,0.000000,4.527623
0.050000,9.983044,7.760363,0.722500,1.700000,2.000000,-0.000000,4.510010
0.050000,9.964720,7.674804,0.810000,1.800000,2.000000,0.000000,4.493101
0.050000,9.943863,7.584687,0.902500,1.900000,2.000000,-0.000000,4.477113
0.050000,9.920416,7.490049,1.000000,2.000000,2.000000,0.000000,4.462256
0.050000,9.894355,7.390918,1.102500,2.100000,2.000000,0.000000,4.448734
0.050000,9.865700,7.287309,1.210000,2.200000,2.000000,0.000000,4.436750
0.050000,9.834507,7.179220,1.322500,2.300000,2.000000,-0.000000,4.426503
0.050000,9.800881,7.066635,1.440000,2.400000,2.000000,0.000000,4.418200
0.050000,9.764976,6.949515,1.562500,2.500000,2.000000,0.000000,4.412061
0.050000,9.727002,6.827801,1.690000,2.600000,2.000000,0.000000,4.408323
0.050000,9.687234,6.701410,1.822500,2.700000,2.000000,0.000000,4.407255
0.050000,9.646018,6.570232,1.960000,2.800000,2.000000,-0.000000,4.409168
