dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,8.974560,8.456586,0.002500,0.100000,2.000000,40.000000,4.726333
0.050000,8.974570,8.455555,0.003532,0.020631,-1.587390,-71.747796,4.723296
0.050000,8.974629,8.448507,0.010579,0.140955,2.406483,79.877463,4.718270
0.050000,8.974653,8.438554,0.020533,0.199072,1.162339,-24.882892,4.711315
0.050000,8.974581,8.425607,0.033480,0.258933,1.197235,0.697927,4.702510
0.050000,8.974338,8.409557,0.049531,0.321036,1.242052,0.896345,4.691959
0.050000,8.973825,8.390270,0.068825,0.385880,1.296873,1.096420,4.679788
0.050000,8.972929,8.367590,0.091523,0.453947,1.361337,1.289278,4.666145
0.050000,8.971516,8.341344,0.117807,0.525679,1.434654,1.466337,4.651200
0.050000,8.969433,8.311341,0.147882,0.601510,1.516609,1.639095,4.635141
0.050000,8.966511,8.277377,0.181971,0.681787,1.605554,1.778898,4.618173
0.050000,8.962563,8.239241,0.220312,0.766808,1.700412,1.897174,4.600515
0.050000,8.957389,8.196715,0.263151,0.856791,1.799665,1.985047,4.582395
0.050000,8.950780,8.149582,0.310745,0.951875,1.901678,2.040268,4.564048
0.050000,8.942520,8.097630,0.363350,1.052089,2.004270,2.051843,4.545712
0.050000,8.932393,8.040652,0.421221,1.157432,2.106871,2.052018,4.527623
0.050000,8.920188,7.978448,0.484611,1.267800,2.207363,2.009831,4.510010
0.050000,8.905703,7.910829,0.553764,1.383055,2.305090,1.954553,4.493101
0.050000,8.888755,7.837613,0.628916,1.503038,2.399668,1.891541,4.477113
0.050000,8.869181,7.758623,0.710295,1.627588,2.490991,1.826468,4.462256
0.050000,8.846849,7.673681,0.798124,1.756577,2.579792,1.776013,4.448734
0.050000,8.821657,7.582604,0.892620,1.889918,2.666813,1.740428,4.436750
0.050000,8.793545,7.485198,0.994002,2.027634,2.754329,1.750314,4.426503
0.050000,8.762495,7.381245,1.102493,2.169830,2.843918,1.791790,4.418200
0.050000,8.728541,7.270494,1.218332,2.316771,2.938816,1.897955,4.412061
0.050000,8.691774,7.152652,1.341776,2.468890,3.042371,2.071104,4.408323
0.050000,8.652353,7.027366,1.473118,2.626833,3.158862,2.329819,4.407255
0.050000,8.610516,6.894209,1.612693,2.791506,3.293463,2.692020,4.409168
0.050000,8.566596,6.752659,1.760900,2.964130,3.452484,3.180427,4.414428
0.050000,8.521049,6.602082,1.918215,3.146305,3.643505,3.820415,4.423474
