dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.585369,25.842730,0.002500,0.100000,2.000000,40.000000,0.024745
0.050000,0.585683,25.842737,0.002814,0.006281,-1.874379,-77.487584,0.024455
0.050000,0.589298,25.842824,0.006431,0.072329,1.320968,63.906946,0.023972
0.050000,0.607528,25.843255,0.024665,0.364695,5.847319,90.527017,0.023294
0.050000,0.630971,25.843791,0.048114,0.468982,2.085729,-75.231800,0.022420
0.050000,0.659628,25.844418,0.076778,0.573279,2.085936,0.004135,0.021348
0.050000,0.693502,25.845120,0.110660,0.677629,2.086999,0.021268,0.020075
0.050000,0.732598,25.845876,0.149762,0.782051,2.088458,0.029184,0.018598
0.050000,0.776919,25.846663,0.194090,0.886563,2.090239,0.035606,0.016913
0.050000,0.826468,25.847454,0.243646,0.991119,2.091118,0.017589,0.015017
0.050000,0.881256,25.848219,0.298439,1.095854,2.094693,0.071501,0.012905
0.050000,0.941283,25.848924,0.358471,1.200632,2.095560,0.017338,0.010572
0.050000,1.006557,25.849531,0.423748,1.305535,2.098068,0.050153,0.008011
0.050000,1.077088,25.849997,0.494280,1.410642,2.102126,0.081172,0.005218
0.050000,1.152878,25.850278,0.570071,1.515825,2.103665,0.030778,0.002184
0.050000,1.233939,25.850322,0.651132,1.621220,2.107899,0.084679,6.282088
0.050000,1.320278,25.850075,0.737471,1.726781,2.111227,0.066557,6.278549
0.050000,1.411904,25.849477,0.829098,1.832548,2.115343,0.082314,6.274745
0.050000,1.508825,25.848461,0.926025,1.938529,2.119619,0.085535,6.270665
0.050000,1.611052,25.846959,1.028263,2.044770,2.124806,0.103733,6.266298
0.050000,1.718593,25.844892,1.135824,2.151223,2.129077,0.085424,6.261632
0.050000,1.831462,25.842179,1.248726,2.258029,2.136112,0.140692,6.256655
0.050000,1.949666,25.838729,1.366980,2.365080,2.141024,0.098251,6.251351
0.050000,2.073216,25.834447,1.490604,2.472475,2.147892,0.137352,6.245706
0.050000,2.202123,25.829227,1.619617,2.580266,2.155831,0.158774,6.239704
0.050000,2.336398,25.822957,1.754038,2.688412,2.162908,0.141550,6.233325
0.050000,2.476048,25.815516,1.893886,2.796964,2.171045,0.162732,6.226551
0.050000,2.621087,25.806772,2.039189,2.906055,2.181822,0.215538,6.219361
0.050000,2.771520,25.796583,2.189966,3.015559,2.190086,0.165290,6.211731
0.050000,2.927356,25.784797,2.346247,3.125618,2.201168,0.221644,6.203637
0.050000,3.088602,25.771249,2.508062,3.236286,2.213368,0.244002,6.195053
0.050000,3.255262,25.755761,2.675439,3.347556,2.225386,0.240346,6.185948
0.050000,3.427339,25.738141,2.848416,3.459530,2.239496,0.282204,6.176292
0.050000,3.604830,25.718180,3.027026,3.572200,2.253400,0.278072,6.166051
0.050000,3.787733,25.695654,3.211312,3.685710,2.270196,0.335925,6.155187
0.050000,3.976041,25.670320,3.401316,3.800090,2.287600,0.348082,6.143662
0.050000,4.169736,25.641915,3.597082,3.915327,2.304735,0.342711,6.131433
0.050000,4.368800,25.610156,3.798664,4.031632,2.326109,0.427479,6.118454
0.050000,4.573203,25.574736,4.006113,4.148987,2.347102,0.419842,6.104675
0.050000,4.782905,25.535321,4.219487,4.267480,2.369859,0.455158,6.090042
0.050000,4.995202,25.492115,4.436136,4.332974,1.309864,-21.199909,6.074696
0.050000,5.207381,25.445470,4.653382,4.344917,0.238870,-21.419876,6.058799
0.050000,5.419380,25.395256,4.871246,4.357278,0.247227,0.167133,6.042332
0.050000,5.631124,25.341338,5.089748,4.370034,0.255114,0.157742,6.025278
0.050000,5.842533,25.283582,5.308903,4.383114,0.261592,0.129568,6.007619
0.050000,6.053516,25.221847,5.528733,4.396605,0.269816,0.164480,5.989340
0.050000,6.263973,25.155994,5.749253,4.410382,0.275542,0.114514,5.970426
0.050000,6.473791,25.085882,5.970474,4.424438,0.281135,0.111852,5.950863
0.050000,6.682846,25.011371,6.192412,4.438744,0.286107,0.099454,5.930641
0.050000,6.891003,24.932320,6.415073,4.453234,0.289812,0.074102,5.909750
0.050000,7.098112,24.848596,6.638465,4.467838,0.292071,0.045177,5.888187
0.050000,7.304010,24.760067,6.862589,4.482473,0.292701,0.012586,5.865949
0.050000,7.508521,24.666611,7.087441,4.497049,0.291516,-0.023693,5.843038
0.050000,7.711455,24.568110,7.313018,4.511526,0.289547,-0.039370,5.819461
0.050000,7.912605,24.464462,7.539302,4.525677,0.283017,-0.130608,5.795231
0.050000,8.111757,24.355577,7.766276,4.539495,0.276363,-0.133085,5.770364
0.050000,8.308679,24.241380,7.993914,4.552762,0.265328,-0.220697,5.744885
0.050000,8.503131,24.121815,8.222185,4.565414,0.253044,-0.245675,5.718823
0.050000,8.694864,23.996847,8.451048,4.577259,0.236904,-0.322812,5.692215
0.050000,8.883619,23.866464,8.680457,4.588170,0.218213,-0.373812,5.665104
0.050000,9.069136,23.730679,8.910357,4.598012,0.196851,-0.427244,5.637539
0.050000,9.251154,23.589531,9.140690,4.606652,0.172793,-0.481154,5.609576
