dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.639059,23.673394,0.002500,0.100000,2.000000,40.000000,0.024745
0.050000,0.638745,23.673386,0.002814,0.006281,-1.874379,-77.487584,0.024455
0.050000,0.641313,23.673448,0.005382,0.051366,0.901695,55.521480,0.023972
0.050000,0.658073,23.673844,0.022147,0.335285,5.678376,95.533630,0.023294
0.050000,0.679619,23.674336,0.043699,0.431048,1.915274,-75.262036,0.022420
0.050000,0.705950,23.674913,0.070036,0.526736,1.913761,-0.030278,0.021348
0.050000,0.737062,23.675557,0.101154,0.622368,1.912638,-0.022448,0.020075
0.050000,0.772952,23.676251,0.137051,0.717942,1.911472,-0.023313,0.018598
0.050000,0.813618,23.676974,0.177724,0.813451,1.910182,-0.025816,0.016913
0.050000,0.859054,23.677699,0.223165,0.908832,1.907630,-0.051033,0.015017
0.050000,0.909258,23.678400,0.273375,1.004187,1.907098,-0.010641,0.012905
0.050000,0.964223,23.679045,0.328343,1.099368,1.903611,-0.069739,0.010572
0.050000,1.023942,23.679600,0.388064,1.194425,1.901134,-0.049536,0.008011
0.050000,1.088410,23.680027,0.452535,1.289402,1.899555,-0.031589,0.005218
0.050000,1.157618,23.680283,0.521743,1.384159,1.895123,-0.088640,0.002184
0.050000,1.231557,23.680324,0.595682,1.478787,1.892574,-0.050985,6.282088
0.050000,1.310218,23.680099,0.674343,1.573216,1.888580,-0.079863,6.278549
0.050000,1.393588,23.679554,0.757715,1.667449,1.884651,-0.078590,6.274745
0.050000,1.481656,23.678631,0.845788,1.761457,1.880170,-0.089624,6.270665
0.050000,1.574409,23.677268,0.938550,1.855246,1.875769,-0.088016,6.266298
0.050000,1.671827,23.675396,1.035987,1.948733,1.869740,-0.120586,6.261632
0.050000,1.773898,23.672942,1.138087,2.042001,1.865358,-0.087639,6.256655
0.050000,1.880598,23.669829,1.244832,2.134907,1.858135,-0.144461,6.251351
0.050000,1.991906,23.665971,1.356207,2.227492,1.851692,-0.128852,6.245706
0.050000,2.107798,23.661278,1.472194,2.319749,1.845147,-0.130901,6.239704
0.050000,2.228246,23.655654,1.592774,2.411583,1.836679,-0.169357,6.233325
0.050000,2.353218,23.648995,1.717923,2.502980,1.827929,-0.175001,6.226551
0.050000,2.482682,23.641190,1.847622,2.593990,1.820204,-0.154503,6.219361
0.050000,2.616597,23.632120,1.981843,2.684430,1.808793,-0.228221,6.211731
