dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.001870,1.784451,0.005000,0.200000,4.000000,80.000000,2.034934
0.050000,11.000209,1.787773,0.008715,0.074296,-2.514086,-130.281723,2.034354
0.050000,10.979478,1.829312,0.055139,0.928487,17.083818,391.958074,2.033042
0.050000,10.942746,1.903252,0.137701,1.651235,14.454971,-52.576926,2.030681
0.050000,10.887945,2.014396,0.261621,2.478399,16.543276,41.766103,2.027069
0.050000,10.815448,2.163028,0.426991,3.307395,16.579930,0.733075,2.022119
0.050000,10.725776,2.349549,0.633948,4.139148,16.635051,1.102417,2.015706
0.050000,10.619625,2.574492,0.882680,4.974632,16.709675,1.492478,2.007659
0.050000,10.497904,2.838534,1.173426,5.814938,16.806122,1.928938,1.997752
0.050000,10.361782,3.142542,1.506519,6.661842,16.938078,2.639124,1.985684
0.050000,10.214801,3.482788,1.877154,7.412702,15.017198,-38.417589,1.971270
0.050000,10.062602,3.850741,2.275343,7.963779,11.021547,-79.913021,1.954501
0.050000,9.910608,4.237676,2.691059,8.314336,7.011135,-80.208246,1.935403
0.050000,9.763885,4.634547,3.114184,8.462495,2.963181,-80.959087,1.914083
0.050000,9.625294,5.036968,3.539802,8.512349,0.997080,-39.322023,1.890462
0.050000,9.495901,5.445482,3.968318,8.570321,1.159453,3.247464,1.864170
0.050000,9.376990,5.860684,4.400212,8.637879,1.351159,3.834122,1.834760
0.050000,9.270115,6.283233,4.836067,8.717106,1.584537,4.667571,1.801693
0.050000,9.177178,6.713846,5.276595,8.810570,1.869279,5.694828,1.764318
0.050000,9.100528,7.153248,5.722633,8.920748,2.203554,6.685511,1.721856
0.050000,9.043073,7.602134,6.175180,9.050949,2.604030,8.009508,1.673383
0.050000,9.008422,8.061040,6.635393,9.204260,3.066207,9.243538,1.617833
0.050000,9.001025,8.530120,7.104531,9.382748,3.569762,10.071109,1.554039
0.050000,9.026259,9.008780,7.583856,9.586504,4.075121,10.107168,1.480829
0.050000,9.090353,9.495123,8.074404,9.810959,4.489103,8.279652,1.397242
0.050000,9.199955,9.985201,8.576588,10.043691,4.654633,3.310588,1.302891
0.050000,9.361121,10.472316,9.089673,10.261693,4.360051,-5.891626,1.198450
0.050000,9.577686,10.946873,9.611310,10.432734,3.420825,-18.784526,1.086088
0.050000,9.849495,11.397390,10.137470,10.523210,1.809514,-32.226228,0.969536
0.050000,10.171535,11.812790,10.663081,10.512221,-0.219778,-40.585835,0.853492
0.050000,10.534827,12.185024,11.183216,10.402697,-2.190477,-39.413973,0.742522
0.050000,10.928701,12.510532,11.694188,10.219429,-3.665376,-29.497976,0.640036
0.050000,11.343145,12.789966,12.194034,9.996933,-4.449907,-15.690625,0.547849
0.050000,11.770151,13.026792,12.682318,9.765684,-4.624975,-3.501368,0.466356
0.050000,12.204006,13.225771,13.159626,9.546140,-4.390884,4.681827,0.395010
0.050000,12.640942,13.391877,13.627070,9.348892,-3.944968,8.918324,0.332782
0.050000,13.078597,13.529710,14.085917,9.176936,-3.439122,10.116924,0.278493
0.050000,13.515568,13.643283,14.537405,9.029771,-2.943305,9.916329,0.230997
0.050000,13.951058,13.735983,14.982653,8.904950,-2.496412,8.937857,0.189262
0.050000,14.384647,13.810632,15.422621,8.799358,-2.111829,7.691662,0.152402
0.050000,14.816137,13.869567,15.858116,8.709910,-1.788969,6.457206,0.119670
0.050000,15.245462,13.914729,16.289811,8.633890,-1.520405,5.371287,0.090443
0.050000,15.668097,13.947441,16.713709,8.477972,-3.118360,-31.959109,0.064473
0.050000,16.074338,13.968974,17.120521,8.136233,-6.834768,-74.328157,0.041780
0.050000,16.453899,13.981097,17.500276,7.595091,-10.822851,-79.761667,0.022339
0.050000,16.796632,13.985934,17.843043,6.855340,-14.795024,-79.443465,0.006081
0.050000,17.096966,13.985737,18.143377,6.006690,-16.973002,-43.559546,6.275929
0.050000,17.354545,13.982463,18.400977,5.151997,-17.093844,-2.416844,6.265109
0.050000,17.569722,13.977637,18.616207,4.304609,-16.947760,2.921686,6.256476
0.050000,17.742772,13.972431,18.789336,3.462574,-16.840706,2.141071,6.249785
0.050000,17.873895,13.967725,18.920543,2.624135,-16.768775,1.438630,6.244857
0.050000,17.963262,13.964151,19.009982,1.788773,-16.707238,1.230725,6.241567
0.050000,18.015400,13.961930,19.062167,1.043700,-14.901474,36.115296,6.239671
0.050000,18.040003,13.960848,19.086794,0.492543,-11.023138,77.566705,6.238783
0.050000,18.047492,13.960514,19.094290,0.149927,-6.852313,83.416515,6.238514
0.050000,18.048255,13.960480,19.095054,0.015270,-2.693139,83.183461,6.238486
0.050000,18.048255,13.960480,19.095054,0.000000,-0.305405,47.754695,6.238486
