dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.972086,2.270153,0.005000,0.200000,4.000000,80.000000,2.034934
0.050000,11.970706,2.272913,0.025000,0.600000,8.000000,80.000000,2.034354
0.050000,11.950611,2.313178,0.070000,1.200000,12.000000,80.000000,2.033042
0.050000,11.915019,2.384823,0.150000,2.000000,16.000000,80.000000,2.030681
0.050000,11.861950,2.492453,0.270000,2.800000,16.000000,-0.000000,2.027069
0.050000,11.791808,2.636257,0.430000,3.600000,16.000000,0.000000,2.022119
0.050000,11.705151,2.816507,0.630000,4.400000,16.000000,0.000000,2.015706
0.050000,11.602725,3.033555,0.870000,5.200000,16.000000,-0.000000,2.007659
0.050000,11.485505,3.287834,1.150000,6.000000,16.000000,0.000000,1.997752
0.050000,11.354732,3.579892,1.470000,6.800000,16.000000,0.000000,1.985684
0.050000,11.213952,3.905780,1.825000,7.400000,12.000000,-80.000000,1.971270
0.050000,11.068706,4.256920,2.205000,7.800000,8.000000,-80.000000,1.954501
0.050000,10.924284,4.624567,2.600000,8.000000,4.000000,-80.000000,1.935403
0.050000,10.785579,4.999741,3.000000,8.000000,0.000000,-80.000000,1.914083
0.050000,10.655329,5.377929,3.400000,8.000000,0.000000,0.000000,1.890462
0.050000,10.534543,5.759246,3.800000,8.000000,0.000000,0.000000,1.864170
0.050000,10.424409,6.143770,4.200000,8.000000,0.000000,0.000000,1.834760
0.050000,10.326321,6.531536,4.600000,8.000000,0.000000,0.000000,1.801693
0.050000,10.241925,6.922510,5.000000,8.000000,0.000000,0.000000,1.764318
0.050000,10.173173,7.316525,5.400000,8.000000,0.000000,0.000000,1.721856
0.050000,10.122369,7.713245,5.800000,8.000000,0.000000,0.000000,1.673383
0.050000,10.092222,8.112057,6.200000,8.000000,0.000000,0.000000,1.617833
0.050000,10.085872,8.511939,6.600000,8.000000,0.000000,0.000000,1.554039
0.050000,10.106871,8.911297,7.000000,8.000000,0.000000,0.000000,1.480829
0.050000,10.159053,9.307760,7.400000,8.000000,0.000000,0.000000,1.397242
0.050000,10.246250,9.697989,7.800000,8.000000,0.000000,0.000000,1.302891
0.050000,10.371773,10.077591,8.200000,8.000000,0.000000,0.000000,1.198450
0.050000,10.537706,10.441318,8.600000,8.000000,0.000000,0.000000,1.086088
0.050000,10.744211,10.783624,9.000000,8.000000,0.000000,0.000000,0.969536
0.050000,10.989169,11.099559,9.400000,8.000000,0.000000,0.000000,0.853492
0.050000,11.268448,11.385634,9.800000,8.000000,0.000000,0.000000,0.742522
0.050000,11.576690,11.640282,10.200000,8.000000,0.000000,0.000000,0.640036
0.050000,11.908269,11.863759,10.600000,8.000000,0.000000,0.000000,0.547849
0.050000,12.258005,12.057657,11.000000,8.000000,0.000000,0.000000,0.466356
0.050000,12.621533,12.224324,11.400000,8.000000,0.000000,0.000000,0.395010
0.050000,12.995383,12.366403,11.800000,8.000000,0.000000,0.000000,0.332782
0.050000,13.376871,12.486515,12.200000,8.000000,0.000000,0.000000,0.278493
0.050000,13.763976,12.587102,12.600000,8.000000,0.000000,0.000000,0.230997
0.050000,14.155184,12.670358,13.000000,8.000000,0.000000,0.000000,0.189262
0.050000,14.549364,12.738208,13.400000,8.000000,0.000000,0.000000,0.152402
0.050000,14.945668,12.792327,13.800000,8.000000,0.000000,0.000000,0.119670
0.050000,15.343459,12.834163,14.200000,8.000000,0.000000,0.000000,0.090443
0.050000,15.738001,12.864695,14.595733,7.829322,-3.413560,-68.271200,0.064473
0.050000,16.119656,12.884921,14.977932,7.458644,-7.413560,-80.000000,0.041780
0.050000,16.478135,12.896367,15.336597,6.887966,-11.413560,-80.000000,0.022339
0.050000,16.803229,12.900954,15.661729,6.117288,-15.413560,-80.000000,0.006081
0.050000,17.089093,12.900766,15.947593,5.317288,-16.000000,-11.728800,6.275929
0.050000,17.334934,12.897640,16.193458,4.517288,-16.000000,0.000000,6.265109
0.050000,17.540745,12.893024,16.399322,3.717288,-16.000000,0.000000,6.256476
0.050000,17.706539,12.888036,16.565186,2.917288,-16.000000,-0.000000,6.249785
0.050000,17.832319,12.883522,16.691051,2.117288,-16.000000,0.000000,6.244857
0.050000,17.918118,12.880090,16.776915,1.317288,-16.000000,-0.000000,6.241567
0.050000,17.968202,12.877957,16.827047,0.687966,-12.586440,68.271200,6.239671
0.050000,17.991843,12.876917,16.850712,0.258644,-8.586440,80.000000,6.238783
0.050000,17.999039,12.876596,16.857911,0.029322,-4.586440,80.000000,6.238514
0.050000,17.999772,12.876564,16.858644,0.000000,-0.586440,80.000000,6.238486
0.050000,17.999772,12.876564,16.858644,0.000000,0.000000,11.728800,6.238486
