dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.942301,2.755856,0.005000,0.200000,4.000000,80.000000,2.034934
0.050000,12.941203,2.758053,0.007456,0.049130,-3.017404,-140.348080,2.034354
0.050000,12.921744,2.797043,0.051033,0.871529,16.447982,389.307721,2.033042
0.050000,12.887292,2.866395,0.128470,1.548749,13.544395,-58.071743,2.030681
0.050000,12.835956,2.970509,0.244553,2.321648,15.457985,38.271808,2.027069
0.050000,12.768168,3.109486,0.399181,3.092570,15.418434,-0.791034,2.022119
0.050000,12.684526,3.283465,0.592222,3.860815,15.364913,-1.070416,2.015706
0.050000,12.585826,3.492617,0.823492,4.625403,15.291746,-1.463336,2.007659
0.050000,12.473105,3.737134,1.092741,5.384975,15.191454,-2.005840,1.997752
0.050000,12.347682,4.017242,1.399647,6.138115,15.062795,-2.573179,1.985684
0.050000,12.213103,4.328772,1.739003,6.787132,12.980337,-41.649161,1.971270
0.050000,12.074809,4.663098,2.100803,7.235990,8.977170,-80.063349,1.954501
0.050000,11.937961,5.011459,2.475079,7.485528,4.990747,-79.728461,1.935403
0.050000,11.807273,5.364934,2.851940,7.537213,1.033705,-79.140835,1.914083
0.050000,11.685363,5.718889,3.226301,7.487224,-0.999780,-40.669706,1.890462
0.050000,11.573185,6.073010,3.597765,7.429272,-1.159034,-3.185067,1.864170
0.050000,11.471828,6.426856,3.965842,7.361538,-1.354677,-3.912867,1.834760
0.050000,11.382526,6.779839,4.329945,7.282073,-1.589298,-4.692411,1.801693
0.050000,11.306671,7.131173,4.689375,7.188593,-1.869617,-5.606381,1.764318
0.050000,11.245817,7.479802,5.043275,7.078013,-2.211592,-6.839498,1.721856
0.050000,11.201665,7.824356,5.390646,6.947411,-2.612044,-8.009054,1.673383
0.050000,11.176022,8.163073,5.730333,6.793737,-3.073470,-9.228522,1.617833
0.050000,11.170720,8.493759,6.061061,6.614563,-3.583491,-10.200414,1.554039
0.050000,11.187483,8.813815,6.381555,6.409890,-4.093463,-10.199440,1.480829
0.050000,11.227753,9.120398,6.690772,6.184340,-4.510993,-8.350593,1.397242
0.050000,11.292546,9.410777,6.988292,5.950385,-4.679091,-3.361955,1.302891
0.050000,11.382424,9.682866,7.274842,5.730996,-4.387782,5.826173,1.198450
0.050000,11.497726,9.935762,7.552782,5.558801,-3.443916,18.877325,1.086088
0.050000,11.638927,10.169859,7.826167,5.467700,-1.822011,32.438100,0.969536
0.050000,11.806804,10.386327,8.100103,5.478730,0.220597,40.852148,0.853492
0.050000,12.002069,10.586243,8.379557,5.589081,2.207032,39.728700,0.742522
0.050000,12.224679,10.770031,8.668233,5.773510,3.688572,29.630804,0.640036
0.050000,12.473394,10.937553,8.968103,5.997409,4.477984,15.788246,0.547849
0.050000,12.745858,11.088521,9.279597,6.229875,4.649325,3.426807,0.466356
0.050000,13.039059,11.222876,9.602116,6.450372,4.409936,-4.787765,0.395010
0.050000,13.349823,11.340929,9.934547,6.648623,3.965011,-8.898511,0.332782
0.050000,13.675145,11.443319,10.275602,6.821097,3.449478,-10.310655,0.278493
0.050000,14.012384,11.530921,10.624033,6.968624,2.950542,-9.978716,0.230997
0.050000,14.359309,11.604732,10.978723,7.093802,2.503560,-8.939654,0.189262
0.050000,14.714081,11.665784,11.338709,7.199723,2.118420,-7.702795,0.152402
0.050000,15.075200,11.715086,11.703178,7.289387,1.793290,-6.502588,0.119670
0.050000,15.441456,11.753598,12.071454,7.365505,1.522345,-5.418912,0.090443
0.050000,15.807905,11.781950,12.438998,7.350887,-0.292352,-36.293928,0.064473
0.050000,16.164974,11.800868,12.796568,7.151395,-3.989842,-73.949814,0.041780
0.050000,16.502371,11.811638,13.134136,6.751361,-8.000672,-80.216590,0.022339
0.050000,16.809827,11.815974,13.441622,6.149734,-12.032539,-80.637349,0.006081
0.050000,17.081220,11.815794,13.713016,5.427864,-14.437400,-48.097209,6.275929
0.050000,17.315322,11.812817,13.947136,4.682413,-14.909018,-9.432360,6.265109
0.050000,17.511769,11.808411,14.143633,3.929938,-15.049506,-2.809762,6.256476
0.050000,17.670307,11.803642,14.302242,3.172182,-15.155117,-2.112233,6.249785
0.050000,17.790743,11.799319,14.422756,2.410278,-15.238081,-1.659266,6.244857
0.050000,17.872975,11.796030,14.505054,1.645959,-15.286388,-0.966154,6.241567
0.050000,17.921004,11.793984,14.553127,0.961454,-13.690098,31.925815,6.239671
0.050000,17.943682,11.792986,14.575827,0.454002,-10.149033,70.821293,6.238783
0.050000,17.950587,11.792679,14.582739,0.138230,-6.315443,76.671794,6.238514
0.050000,17.951290,11.792647,14.583442,0.014080,-2.483008,76.648703,6.238486
0.050000,17.951290,11.792647,14.583442,0.000000,-0.281596,44.028248,6.238486
