dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.179254,2.155087,0.000366,0.036585,1.829268,91.463415,1.508192
0.020000,9.179253,2.155070,0.000383,0.000857,-1.786420,-180.784430,1.508210
0.020000,9.179251,2.155031,0.000421,0.001923,0.053301,91.986076,1.508251
0.020000,9.179246,2.154964,0.000489,0.003401,0.073898,1.029847,1.508324
0.020000,9.179537,2.159617,0.005152,0.233121,11.486025,570.606336,1.508436
0.020000,9.180348,2.172613,0.018173,0.651051,20.896475,470.522482,1.508595
0.020000,9.181425,2.189944,0.035538,0.868239,10.859426,-501.852428,1.508804
0.020000,9.182768,2.211614,0.057250,1.085592,10.867624,0.409926,1.509058
0.020000,9.184372,2.237627,0.083312,1.303128,10.876809,0.459206,1.509355
0.020000,9.186234,2.267988,0.113730,1.520898,10.888518,0.585470,1.509689
0.020000,9.188352,2.302703,0.148509,1.738935,10.901802,0.664203,1.510054
0.020000,9.190720,2.341776,0.187654,1.957268,10.916696,0.744679,1.510444
0.020000,9.193336,2.385216,0.231173,2.175948,10.933985,0.864480,1.510852
0.020000,9.196196,2.433031,0.279073,2.394995,10.952363,0.918909,1.511270
0.020000,9.199295,2.485228,0.331362,2.614462,10.973353,1.049465,1.511689
0.020000,9.202632,2.541817,0.388050,2.834373,10.995515,1.108097,1.512099
0.020000,9.206204,2.602808,0.449145,3.054770,11.019846,1.216561,1.512491
0.020000,9.210010,2.668211,0.514659,3.275685,11.045773,1.296371,1.512853
0.020000,9.214049,2.738038,0.584602,3.497154,11.073457,1.384180,1.513173
0.020000,9.218322,2.812299,0.658986,3.719216,11.103096,1.481945,1.513439
0.020000,9.222833,2.891008,0.737824,3.941903,11.134338,1.562093,1.513637
0.020000,9.227587,2.974177,0.821129,4.165258,11.167735,1.669867,1.513753
0.020000,9.232590,3.061821,0.908916,4.389315,11.202884,1.757470,1.513773
0.020000,9.237853,3.153953,1.001198,4.614116,11.240013,1.856453,1.513680
0.020000,9.243388,3.250589,1.097992,4.839700,11.279231,1.960863,1.513458
0.020000,9.249212,3.351744,1.199314,5.066111,11.320525,2.064714,1.513090
0.020000,9.255345,3.457434,1.305182,5.293394,11.364175,2.182509,1.512556
0.020000,9.261811,3.567676,1.415614,5.521607,11.410627,2.322575,1.511836
0.020000,9.268640,3.682489,1.530630,5.750790,11.459172,2.427273,1.510912
0.020000,9.275866,3.801891,1.650250,5.980998,11.510395,2.561158,1.509759
0.020000,9.283529,3.925900,1.774496,6.212305,11.565356,2.748025,1.508356
0.020000,9.291678,4.054538,1.903392,6.444773,11.623383,2.901374,1.506677
0.020000,9.300366,4.187824,2.036961,6.678464,11.684567,3.059184,1.504696
0.020000,9.309655,4.325781,2.175230,6.913479,11.750734,3.308336,1.502385
0.020000,9.319617,4.468432,2.318229,7.149914,11.821772,3.551920,1.499714
0.020000,9.330333,4.615800,2.465985,7.387833,11.895914,3.707071,1.496652
0.020000,9.341895,4.767909,2.618533,7.627383,11.977521,4.080370,1.493163
0.020000,9.354405,4.924784,2.775906,7.868664,12.064062,4.327078,1.489212
0.020000,9.367981,5.086451,2.938143,8.111823,12.157958,4.694793,1.484756
0.020000,9.382755,5.252938,3.105284,8.357052,12.261435,5.173829,1.479754
0.020000,9.398874,5.424271,3.277373,8.604466,12.370674,5.461970,1.474158
0.020000,9.416464,5.600101,3.454081,8.835380,11.545718,-41.247839,1.467930
0.020000,9.435621,5.779696,3.634695,9.030703,9.766167,-88.977508,1.461049
0.020000,9.456434,5.962321,3.818502,9.190336,7.981655,-89.225619,1.453496
0.020000,9.478986,6.147228,4.004779,9.313887,6.177549,-90.205276,1.445260
0.020000,9.503350,6.333665,4.192801,9.401101,4.360661,-90.844402,1.436336
0.020000,9.529581,6.520870,4.381835,9.451678,2.528888,-91.588689,1.426726
0.020000,9.557772,6.708451,4.571523,9.484396,1.635877,-44.650549,1.416419
0.020000,9.588070,6.896395,4.761893,9.518501,1.705257,3.469003,1.405385
0.020000,9.620633,7.084684,4.952977,9.554225,1.786209,4.047614,1.393593
0.020000,9.655623,7.273294,5.144805,9.591383,1.857867,3.582899,1.381008
0.020000,9.693214,7.462197,5.337412,9.630351,1.948422,4.527725,1.367596
0.020000,9.733585,7.651355,5.530831,9.670929,2.028919,4.024892,1.353319
0.020000,9.776927,7.840725,5.725097,9.713328,2.119952,4.551610,1.338139
0.020000,9.823437,8.030255,5.920250,9.757648,2.215956,4.800222,1.322017
0.020000,9.873324,8.219878,6.116325,9.803754,2.305320,4.468179,1.304913
0.020000,9.926803,8.409516,6.313360,9.851727,2.398647,4.666383,1.286788
0.020000,9.984097,8.599077,6.511390,9.901524,2.489838,4.559540,1.267604
0.020000,10.045439,8.788452,6.710452,9.953088,2.578225,4.419332,1.247321
0.020000,10.111063,8.977512,6.910578,10.006299,2.660564,4.116978,1.225907
0.020000,10.181210,9.166107,7.111796,10.060881,2.729084,3.425965,1.203331
0.020000,10.256120,9.354062,7.314129,10.116664,2.789162,3.003931,1.179566
0.020000,10.336033,9.541179,7.517596,10.173336,2.833605,2.222146,1.154596
0.020000,10.421180,9.727228,7.722203,10.230382,2.852289,0.934174,1.128412
0.020000,10.511782,9.911953,7.927950,10.287362,2.848971,-0.165884,1.101014
0.020000,10.608044,10.095066,8.134824,10.343682,2.816022,-1.647420,1.072417
0.020000,10.710147,10.276248,8.342796,10.398569,2.744322,-3.585011,1.042652
0.020000,10.818243,10.455153,8.551821,10.451299,2.636527,-5.389785,1.011765
0.020000,10.932448,10.631408,8.761842,10.501022,2.486161,-7.518292,0.979818
0.020000,11.052832,10.804619,8.972779,10.546849,2.291317,-9.742192,0.946896
0.020000,11.179418,10.974375,9.184536,10.587865,2.050817,-12.025004,0.913101
0.020000,11.312174,11.140258,9.397001,10.623226,1.768063,-14.137708,0.878553
0.020000,11.451008,11.301851,9.610044,10.652150,1.446203,-16.092964,0.843389
0.020000,11.595772,11.458749,9.823523,10.673981,1.091552,-17.732547,0.807760
0.020000,11.746257,11.610568,10.037286,10.688147,0.708308,-19.162215,0.771829
0.020000,11.902202,11.756957,10.251175,10.694435,0.314366,-19.697123,0.735765
0.020000,12.063297,11.897606,10.465030,10.692741,-0.084693,-19.952958,0.699737
0.020000,12.229192,12.032255,10.678692,10.683105,-0.481775,-19.854100,0.663914
0.020000,12.399507,12.160698,10.892011,10.665940,-0.858251,-18.823798,0.628455
0.020000,12.573843,12.282790,11.104847,10.641818,-1.206114,-17.393121,0.593511
0.020000,12.751790,12.398440,11.317074,10.611359,-1.522960,-15.842293,0.559216
0.020000,12.932943,12.507618,11.528583,10.575430,-1.796433,-13.673648,0.525686
0.020000,13.116897,12.610343,11.739277,10.534690,-2.037007,-12.028731,0.493022
0.020000,13.303192,12.706644,11.948990,10.485667,-2.451144,-20.706858,0.461317
