dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.055571,2.037468,0.000400,0.040000,2.000000,100.000000,1.508193
0.020000,11.055572,2.037487,0.000419,0.000937,-1.953158,-197.657914,1.508213
0.020000,11.055575,2.037529,0.000461,0.002102,0.058243,100.570055,1.508257
0.020000,11.055580,2.037603,0.000535,0.003715,0.080675,1.121612,1.508336
0.020000,11.056001,2.044351,0.007296,0.338042,16.716319,831.782219,1.508459
0.020000,11.056907,2.058886,0.021859,0.728165,19.506180,139.493005,1.508632
0.020000,11.058136,2.078666,0.041677,0.990892,13.136337,-318.492138,1.508864
0.020000,11.059734,2.104493,0.067554,1.293843,15.147554,100.560856,1.509159
0.020000,11.061720,2.136766,0.099888,1.616692,16.142457,49.745181,1.509514
0.020000,11.064087,2.175477,0.138671,1.939145,16.122642,-0.990778,1.509921
0.020000,11.066828,2.220615,0.183893,2.261099,16.097716,-1.246285,1.510370
0.020000,11.069935,2.272172,0.235543,2.582503,16.070202,-1.375714,1.510849
0.020000,11.073399,2.330134,0.293608,2.903264,16.038013,-1.609463,1.511344
0.020000,11.077213,2.394487,0.358074,3.223309,16.002291,-1.786090,1.511840
0.020000,11.081370,2.465216,0.428925,3.542555,15.962283,-2.000411,1.512320
0.020000,11.085866,2.542304,0.506144,3.860944,15.919450,-2.141651,1.512765
0.020000,11.090695,2.625732,0.589712,4.178387,15.872135,-2.365714,1.513156
0.020000,11.095859,2.715480,0.679608,4.494799,15.820588,-2.577360,1.513471
0.020000,11.101360,2.811525,0.775810,4.810120,15.766076,-2.725592,1.513686
0.020000,11.107204,2.913843,0.878295,5.124259,15.706965,-2.955588,1.513777
0.020000,11.113403,3.022409,0.987038,5.437140,15.644030,-3.146717,1.513716
0.020000,11.119974,3.137195,1.102012,5.748673,15.576673,-3.367877,1.513475
0.020000,11.126941,3.258169,1.223187,6.058768,15.504752,-3.596051,1.513023
0.020000,11.134336,3.385301,1.350534,6.367334,15.428296,-3.822763,1.512328
0.020000,11.142198,3.518555,1.484019,6.674253,15.345946,-4.117525,1.511355
0.020000,11.150553,3.657496,1.623211,6.959620,14.268324,-53.881092,1.510070
0.020000,11.159410,3.801297,1.767285,7.203674,12.202700,-103.281203,1.508446
0.020000,11.168783,3.949133,1.915417,7.406632,10.147920,-102.738983,1.506459
0.020000,11.178690,4.100182,2.066791,7.568692,8.102991,-102.246484,1.504091
0.020000,11.189149,4.253628,2.220593,7.690101,6.070459,-101.626569,1.501327
0.020000,11.200178,4.408659,2.376016,7.771133,4.051610,-100.942479,1.498160
0.020000,11.211790,4.564468,2.532257,7.812055,2.046093,-100.275832,1.494587
0.020000,11.223992,4.720254,2.688520,7.813151,0.054785,-99.565392,1.490611
0.020000,11.236813,4.875611,2.844405,7.794240,-0.945562,-50.017383,1.486233
0.020000,11.250312,5.030520,2.999902,7.774846,-0.969702,-1.206991,1.481443
0.020000,11.264549,5.184964,3.155000,7.754918,-0.996380,-1.333867,1.476229
0.020000,11.279585,5.338921,3.309690,7.734478,-1.021993,-1.280688,1.470579
0.020000,11.295481,5.492367,3.463957,7.713363,-1.055757,-1.688175,1.464481
0.020000,11.312300,5.645277,3.617789,7.691597,-1.088276,-1.625947,1.457920
0.020000,11.330107,5.797623,3.771172,7.669168,-1.121461,-1.659247,1.450881
0.020000,11.348965,5.949374,3.924091,7.645915,-1.162647,-2.059299,1.443347
0.020000,11.368942,6.100496,4.076527,7.621845,-1.203535,-2.044435,1.435302
0.020000,11.390104,6.250953,4.228465,7.596901,-1.247178,-2.182129,1.426726
0.020000,11.412520,6.400706,4.379886,7.571028,-1.293633,-2.322738,1.417599
0.020000,11.436260,6.549710,4.530769,7.544170,-1.342935,-2.465112,1.407901
0.020000,11.461394,6.697919,4.681095,7.516268,-1.395088,-2.607654,1.397610
0.020000,11.487994,6.845283,4.830840,7.487267,-1.450053,-2.748225,1.386701
0.020000,11.516133,6.991746,4.979982,7.457112,-1.507734,-2.884051,1.375151
0.020000,11.545885,7.137251,5.128497,7.425753,-1.567966,-3.011614,1.362935
0.020000,11.577323,7.281733,5.276361,7.393165,-1.629386,-3.070989,1.350025
0.020000,11.610523,7.425127,5.423548,7.359359,-1.690288,-3.045100,1.336395
0.020000,11.645559,7.567359,5.570031,7.324162,-1.759894,-3.480312,1.322017
0.020000,11.682506,7.708353,5.715786,7.287734,-1.821360,-3.073291,1.306863
0.020000,11.721438,7.848027,5.860784,7.249929,-1.890244,-3.444224,1.290906
0.020000,11.762430,7.986297,6.005003,7.210913,-1.950848,-3.030185,1.274119
0.020000,11.805553,8.123072,6.148414,7.170566,-2.017322,-3.323714,1.256473
0.020000,11.850878,8.258257,6.290995,7.129070,-2.074786,-2.873194,1.237946
0.020000,11.898475,8.391757,6.432726,7.086535,-2.126753,-2.598345,1.218512
0.020000,11.948409,8.523469,6.573586,7.043002,-2.176658,-2.495260,1.198153
