dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,16.869534,7.170853,0.002481,0.099237,1.984741,39.694813,0.354648
0.050000,16.872694,7.172020,0.005849,0.067366,-0.637418,-52.443182,0.353193
0.050000,16.886793,7.177198,0.020869,0.300404,4.660767,105.963703,0.350782
0.050000,16.906521,7.184379,0.041863,0.419874,2.389382,-45.427700,0.347439
0.050000,16.931863,7.193496,0.068795,0.538638,2.375296,-0.281717,0.343196
0.050000,16.962804,7.204463,0.101622,0.656545,2.358140,-0.343114,0.338093
0.050000,16.999321,7.217180,0.140291,0.773366,2.336418,-0.434435,0.332179
0.050000,17.041387,7.231534,0.184738,0.888957,2.311813,-0.492103,0.325512
0.050000,17.088970,7.247399,0.234896,1.003160,2.284070,-0.554874,0.318154
0.050000,17.142030,7.264639,0.290687,1.115808,2.252956,-0.622262,0.310179
0.050000,17.200521,7.283111,0.352025,1.226767,2.219173,-0.675675,0.301664
0.050000,17.264390,7.302668,0.418821,1.335919,2.183049,-0.722476,0.292692
0.050000,17.333576,7.323163,0.490980,1.443169,2.145001,-0.760967,0.283351
0.050000,17.408013,7.344448,0.568400,1.548397,2.104551,-0.808999,0.273733
0.050000,17.487626,7.366378,0.650978,1.651561,2.063274,-0.825536,0.263934
0.050000,17.572335,7.388817,0.738608,1.752614,2.021078,-0.843915,0.254052
0.050000,17.662053,7.411637,0.831183,1.851488,1.977469,-0.872183,0.244186
0.050000,17.756687,7.434721,0.928592,1.948190,1.934037,-0.868634,0.234437
0.050000,17.856140,7.457967,1.030726,2.042673,1.889670,-0.887349,0.224908
0.050000,17.960310,7.481287,1.137474,2.134963,1.845789,-0.877621,0.215698
0.050000,18.069088,7.504613,1.248725,2.225026,1.801260,-0.890571,0.206911
0.050000,18.182364,7.527895,1.364369,2.312867,1.756818,-0.888841,0.198650
0.050000,18.300021,7.551103,1.484293,2.398487,1.712405,-0.888257,0.191016
0.050000,18.421939,7.574232,1.608385,2.481846,1.667173,-0.904635,0.184113
0.050000,18.547991,7.597299,1.736530,2.562897,1.621021,-0.923049,0.178049
0.050000,18.678043,7.620346,1.868609,2.641576,1.573596,-0.948504,0.172932
0.050000,18.811955,7.643443,2.004498,2.717791,1.524302,-0.985886,0.168877
0.050000,18.949576,7.666689,2.144068,2.791391,1.471989,-1.046257,0.166002
0.050000,19.090739,7.690209,2.287177,2.862189,1.415958,-1.120617,0.164439
0.050000,19.235264,7.714164,2.433674,2.929938,1.354986,-1.219442,0.164326
0.050000,19.382948,7.738746,2.583390,2.994321,1.287650,-1.346707,0.165820
0.050000,19.533562,7.764182,2.736137,3.054936,1.212315,-1.506717,0.169093
0.050000,19.686843,7.790739,2.891701,3.111285,1.126981,-1.706670,0.174342
0.050000,19.842486,7.818721,3.049839,3.162762,1.029532,-1.948979,0.181793
0.050000,20.000133,7.848474,3.210270,3.208611,0.916973,-2.251186,0.191703
0.050000,20.159364,7.880389,3.372667,3.247950,0.786784,-2.603783,0.204374
0.050000,20.319678,7.914893,3.536653,3.279701,0.635033,-3.035021,0.220153
0.050000,20.480481,7.952459,3.701785,3.302650,0.458977,-3.521104,0.239447
0.050000,20.641067,7.993590,3.867555,3.315396,0.254916,-4.081220,0.262727
0.050000,20.800603,8.038813,4.033377,3.316435,0.020784,-4.682649,0.290529
0.050000,20.958118,8.088667,4.198593,3.304323,-0.242241,-5.260501,0.323462
0.050000,21.112501,8.143674,4.362483,3.277810,-0.530264,-5.760453,0.362186
0.050000,21.259919,8.203198,4.521465,3.179624,-1.963722,-28.669155,0.406529
0.050000,21.396355,8.265839,4.671594,3.002580,-3.540876,-31.543090,0.455552
0.050000,21.521055,8.330999,4.812292,2.813961,-3.772389,-4.630261,0.508693
0.050000,21.634364,8.398379,4.944121,2.636585,-3.547522,4.497335,0.565434
0.050000,21.736861,8.467712,5.067866,2.474895,-3.233787,6.274703,0.625052
0.050000,21.829335,8.538807,5.184510,2.332894,-2.840017,7.875409,0.686641
0.050000,21.912711,8.611583,5.295180,2.213393,-2.390026,8.999820,0.749164
0.050000,21.987960,8.686053,5.401049,2.117384,-1.920176,9.396988,0.811539
0.050000,22.056007,8.762293,5.503240,2.043820,-1.471283,8.977860,0.872731
0.050000,22.117666,8.840374,5.602731,1.989813,-1.080142,7.822822,0.931841
0.050000,22.173605,8.920305,5.700291,1.951213,-0.771994,6.162967,0.988158
0.050000,22.224353,9.001993,5.796460,1.923368,-0.556909,4.301697,1.041186
0.050000,22.270327,9.085231,5.891549,1.901792,-0.431521,2.507765,1.090638
0.050000,22.311863,9.169702,5.985681,1.882632,-0.383193,0.966550,1.136400
0.050000,22.349255,9.255012,6.078825,1.862887,-0.394913,-0.234393,1.178501
0.050000,22.382769,9.340713,6.170847,1.840426,-0.449220,-1.086138,1.217065
0.050000,22.412662,9.426336,6.261538,1.813817,-0.532179,-1.659191,1.252281
0.050000,22.439192,9.511416,6.350659,1.782422,-0.627892,-1.914250,1.284373
0.050000,22.462614,9.595507,6.437950,1.745818,-0.732076,-2.083682,1.313579
0.050000,22.483180,9.678191,6.523154,1.704082,-0.834731,-2.053107,1.340136
0.050000,22.501140,9.759090,6.606022,1.657373,-0.934173,-1.988830,1.364273
0.050000,22.516734,9.837862,6.686323,1.606008,-1.027300,-1.862546,1.386204
0.050000,22.530195,9.914203,6.763841,1.550370,-1.112761,-1.709211,1.406127
0.050000,22.541743,9.987844,6.838382,1.490817,-1.191051,-1.565814,1.424220
0.050000,22.551584,10.058554,6.909774,1.427831,-1.259726,-1.373500,1.440644
0.050000,22.559913,10.126126,6.977857,1.361664,-1.323342,-1.272313,1.455543
0.050000,22.566910,10.190386,7.042497,1.292796,-1.377353,-1.080222,1.469045
0.050000,22.572739,10.251175,7.103565,1.221362,-1.428692,-1.026775,1.481263
0.050000,22.577553,10.308366,7.160958,1.147860,-1.470032,-0.826811,1.492297
0.050000,22.581491,10.361840,7.214577,1.072383,-1.509539,-0.790132,1.502236
0.050000,22.584677,10.411499,7.264338,0.995230,-1.543072,-0.670660,1.511156
0.050000,22.587226,10.457261,7.310171,0.916653,-1.571530,-0.569158,1.519125
0.050000,22.589238,10.499052,7.352010,0.836779,-1.597486,-0.519129,1.526203
0.050000,22.590804,10.536804,7.389795,0.755704,-1.621492,-0.480107,1.532439
0.050000,22.592004,10.570473,7.423486,0.673807,-1.637948,-0.329127,1.537880
0.050000,22.592908,10.600013,7.453039,0.591075,-1.654640,-0.333830,1.542562
0.050000,22.593574,10.625381,7.478416,0.507532,-1.670855,-0.324311,1.546517
0.050000,22.594053,10.646553,7.499593,0.423540,-1.679843,-0.179754,1.549772
