dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.246312,6.153374,0.004762,0.190476,3.809524,76.190476,0.354201
0.050000,17.261026,6.158779,0.023810,0.571429,7.619048,76.190476,0.350495
0.050000,17.301337,6.173329,0.066667,1.142857,11.428571,76.190476,0.342321
0.050000,17.368778,6.196860,0.138095,1.714286,11.428571,0.000000,0.329197
0.050000,17.463687,6.228357,0.238095,2.285714,11.428571,-0.000000,0.311849
0.050000,17.586460,6.266522,0.366667,2.857143,11.428571,0.000000,0.291247
0.050000,17.737494,6.309900,0.523810,3.428571,11.428571,0.000000,0.268551
0.050000,17.917128,6.357016,0.709524,4.000000,11.428571,-0.000000,0.245058
0.050000,18.125607,6.406543,0.923810,4.571429,11.428571,0.000000,0.222137
0.050000,18.363062,6.457461,1.166667,5.142857,11.428571,0.000000,0.201186
0.050000,18.629504,6.509230,1.438095,5.714286,11.428571,-0.000000,0.183621
0.050000,18.924832,6.561961,1.738095,6.285714,11.428571,0.000000,0.170893
0.050000,19.248827,6.616604,2.066667,6.857143,11.428571,0.000000,0.164571
0.050000,19.601133,6.675184,2.423810,7.428571,11.428571,-0.000000,0.166483
0.050000,19.976481,6.740273,2.804762,7.809524,7.619048,-76.190476,0.178713
0.050000,20.364605,6.814877,3.200000,8.000000,3.809524,-76.190476,0.203172
0.050000,20.754844,6.902593,3.600000,8.000000,0.000000,-76.190476,0.241435
0.050000,21.140630,7.008094,4.000000,8.000000,0.000000,0.000000,0.295234
0.050000,21.519030,7.137495,4.400000,8.000000,0.000000,0.000000,0.366970
0.050000,21.885559,7.297320,4.800000,8.000000,0.000000,0.000000,0.458927
0.050000,22.233738,7.493790,5.200000,8.000000,0.000000,0.000000,0.572005
0.050000,22.555165,7.731387,5.600000,8.000000,0.000000,0.000000,0.703752
0.050000,22.838006,8.007877,5.995865,7.834592,-3.308151,-66.163013,0.845372
0.050000,23.071407,8.310950,6.378697,7.478709,-7.117674,-76.190476,0.982956
0.050000,23.252225,8.622307,6.738974,6.932349,-10.927198,-76.190476,1.104538
0.050000,23.386105,8.926324,7.071306,6.360920,-11.428571,-10.027463,1.205418
0.050000,23.482728,9.214218,7.375066,5.789492,-11.428571,0.000000,1.286821
0.050000,23.551018,9.480748,7.650255,5.218063,-11.428571,0.000000,1.351777
0.050000,23.598245,9.722776,7.896872,4.646635,-11.428571,0.000000,1.403417
0.050000,23.630082,9.938469,8.114918,4.075206,-11.428571,-0.000000,1.444395
0.050000,23.650875,10.126791,8.304393,3.503777,-11.428571,0.000000,1.476793
0.050000,23.663918,10.287160,8.465296,2.932349,-11.428571,0.000000,1.502183
0.050000,23.671687,10.419258,8.597628,2.360920,-11.428571,-0.000000,1.521724
0.050000,23.676017,10.522927,8.701388,1.789492,-11.428571,0.000000,1.536262
0.050000,23.678231,10.598084,8.776577,1.218063,-11.428571,0.000000,1.546390
0.050000,23.679226,10.644691,8.823194,0.646635,-11.428571,0.000000,1.552505
0.050000,23.679599,10.666868,8.845375,0.240614,-8.120421,66.163013,1.555371
0.050000,23.679699,10.673512,8.852017,0.025069,-4.310897,76.190476,1.556224
0.050000,23.679708,10.674140,8.852644,0.000000,-0.501373,76.190476,1.556305
0.050000,23.679708,10.674140,8.852644,0.000000,0.000000,10.027463,1.556305
