dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.623089,5.135895,0.002481,0.099237,1.984741,39.694813,0.354648
0.050000,17.623286,5.135967,0.002691,0.004201,-1.900728,-77.709363,0.353193
0.050000,17.632475,5.139342,0.012480,0.195779,3.831572,114.645986,0.350782
0.050000,17.645386,5.144042,0.026219,0.274791,1.580234,-45.026753,0.347439
0.050000,17.662064,5.150041,0.043944,0.354485,1.593887,0.273056,0.343196
0.050000,17.682568,5.157309,0.065697,0.435074,1.611783,0.357917,0.338093
0.050000,17.706966,5.165806,0.091533,0.516710,1.632709,0.418529,0.332179
0.050000,17.735339,5.175487,0.121512,0.599584,1.657492,0.495649,0.325512
0.050000,17.767777,5.186302,0.155705,0.683866,1.685622,0.562614,0.318154
0.050000,17.804378,5.198194,0.194190,0.769692,1.716533,0.618204,0.310179
0.050000,17.845249,5.211101,0.237050,0.857203,1.750224,0.673830,0.301664
0.050000,17.890501,5.224957,0.284376,0.946524,1.786406,0.723643,0.292692
0.050000,17.940253,5.239694,0.336265,1.037764,1.824813,0.768142,0.283351
0.050000,17.994623,5.255240,0.392814,1.130990,1.864507,0.793867,0.273733
0.050000,18.053736,5.271523,0.454129,1.226291,1.906022,0.830305,0.263934
0.050000,18.117716,5.288470,0.520315,1.323728,1.948736,0.854278,0.254052
0.050000,18.186686,5.306011,0.591481,1.423314,1.991731,0.859896,0.244186
0.050000,18.260769,5.324081,0.667736,1.525101,2.035742,0.880222,0.234437
0.050000,18.340086,5.342619,0.749190,1.629078,2.079541,0.875990,0.224908
0.050000,18.424754,5.361572,0.835954,1.735278,2.123990,0.888981,0.215698
0.050000,18.514889,5.380899,0.928138,1.843682,2.168080,0.881789,0.206911
0.050000,18.610604,5.400570,1.025853,1.954304,2.212452,0.887454,0.198650
0.050000,18.712009,5.420571,1.129212,2.067171,2.257329,0.897534,0.191016
0.050000,18.819212,5.440907,1.238326,2.182293,2.302449,0.902404,0.184113
0.050000,18.932320,5.461604,1.353312,2.299713,2.348396,0.918934,0.178049
0.050000,19.051439,5.482713,1.474287,2.419503,2.395800,0.948070,0.172932
0.050000,19.176678,5.504313,1.601376,2.541771,2.445352,0.991053,0.168877
0.050000,19.308149,5.526519,1.734708,2.666647,2.497526,1.043476,0.166002
0.050000,19.445965,5.549482,1.874424,2.794324,2.553540,1.120288,0.164439
0.050000,19.590249,5.573396,2.020677,2.925050,2.614516,1.219520,0.164326
0.050000,19.741130,5.598511,2.173634,3.059141,2.681822,1.346111,0.165820
0.050000,19.898748,5.625131,2.333484,3.196997,2.757127,1.506111,0.169093
0.050000,20.063253,5.653634,2.500439,3.339114,2.842334,1.704139,0.174342
0.050000,20.234807,5.684480,2.674745,3.486110,2.939908,1.951481,0.181793
