dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,11.198300,2.635201,0.005000,0.200000,4.000000,80.000000,1.769839
0.050000,11.198058,2.636402,0.006225,0.024507,-3.509861,-150.197225,1.768709
0.050000,11.190516,2.674310,0.044877,0.773023,14.970330,369.603822,1.766146
0.050000,11.174198,2.757793,0.129939,1.701249,18.564517,71.883735,1.761493
0.050000,11.150422,2.883377,0.257754,2.556303,17.101074,-29.268856,1.754275
0.050000,11.120071,3.051632,0.428725,3.419420,17.262331,3.225152,1.744167
0.050000,11.084456,3.263283,0.643351,4.292514,17.461894,3.991253,1.730689
0.050000,11.045429,3.519364,0.902389,5.180762,17.764956,6.061235,1.713134
0.050000,11.005581,3.821351,1.206993,6.092090,18.226560,9.232085,1.690461
0.050000,10.968603,4.171213,1.558805,7.036227,18.882736,13.123515,1.661129
0.050000,10.940157,4.566129,1.954744,7.918782,17.651109,-24.632546,1.623365
0.050000,10.927555,4.998124,2.386922,8.643567,14.495695,-63.108277,1.575238
0.050000,10.939152,5.459108,2.848052,9.222603,11.580730,-58.299284,1.514224
0.050000,10.984435,5.940317,3.331387,9.666691,8.881753,-53.979550,1.437303
0.050000,11.075151,6.437307,3.836589,10.104038,8.746940,-2.696263,1.340160
0.050000,11.227854,6.948257,4.369869,10.665606,11.231359,49.688388,1.217010
0.050000,11.463148,7.463044,4.935880,11.320220,13.092273,37.218272,1.063487
0.050000,11.798202,7.956170,5.532063,11.923666,12.068917,-20.467111,0.881911
0.050000,12.230395,8.387594,6.142733,12.213393,5.794543,-125.487490,0.686848
0.050000,12.728337,8.723119,6.743169,12.008727,-4.093320,-197.757261,0.501314
0.050000,13.249817,8.956177,7.314359,11.423792,-11.698697,-152.107531,0.342983
0.050000,13.765664,9.103388,7.850800,10.728814,-13.899553,-44.017122,0.216902
0.050000,14.263974,9.187169,8.356103,10.106075,-12.454779,28.895478,0.119666
0.050000,14.742836,9.226114,8.836546,9.608859,-9.944317,50.209248,0.045422
0.050000,15.204130,9.233500,9.297900,9.227068,-7.635838,46.169576,6.272004
0.050000,15.650577,9.218492,9.744599,8.933982,-5.861714,35.482480,6.228931
0.050000,16.084715,9.187519,10.179840,8.704828,-4.583079,25.572696,6.196435
0.050000,16.508627,9.145266,10.605854,8.520265,-3.691254,17.836499,6.172450
0.050000,16.923951,9.095313,11.024171,8.366345,-3.078414,12.256794,6.155564
0.050000,17.331920,9.040543,11.435799,8.232567,-2.675547,8.057351,6.144845
0.050000,17.733425,8.983412,11.841349,8.110994,-2.431458,4.881771,6.139730
0.050000,18.129052,8.926132,12.241101,7.995047,-2.318955,2.250066,6.139959
0.050000,18.519089,8.870812,12.635042,7.878815,-2.324626,-0.113423,6.145544
0.050000,18.903509,8.819562,13.022863,7.756419,-2.447920,-2.465874,6.156768
0.050000,19.281902,8.774600,13.403918,7.621103,-2.706331,-5.168225,6.174225
0.050000,19.653376,8.738329,13.777158,7.464800,-3.126059,-8.394556,6.198881
0.050000,20.016355,8.713417,14.140991,7.276669,-3.762619,-12.731202,6.232197
0.050000,20.368310,8.702827,14.493106,7.042282,-4.687729,-18.502196,6.276308
0.050000,20.705320,8.709751,14.830187,6.741619,-6.013266,-26.510750,0.051070
0.050000,21.021583,8.737307,15.147648,6.349219,-7.847994,-36.694546,0.127072
0.050000,21.309105,8.787787,15.439567,5.838396,-10.216464,-47.369401,0.226572
0.050000,21.558543,8.861382,15.699636,5.201374,-12.740452,-50.479778,0.355377
0.050000,21.762957,8.955437,15.924650,4.500277,-14.021935,-25.629655,0.516428
0.050000,21.924433,9.067536,16.121223,3.931461,-11.376312,52.912470,0.703649
0.050000,22.054404,9.201625,16.307964,3.734822,-3.932791,148.870419,0.896803
0.050000,22.162654,9.365540,16.504397,3.928668,3.876929,156.194404,1.070209
0.050000,22.250269,9.558023,16.715883,4.229705,6.020734,42.876094,1.209735
0.050000,22.315593,9.764900,16.932828,4.338916,2.184224,-76.730205,1.315006
0.050000,22.360261,9.968937,17.141698,4.177383,-3.230666,-108.297802,1.392381
0.050000,22.388667,10.158054,17.332935,3.824758,-7.052497,-76.436620,1.449172
0.050000,22.405432,10.324783,17.500505,3.351399,-9.467178,-48.293610,1.490912
0.050000,22.414433,10.464386,17.640399,2.797870,-11.070577,-32.067986,1.521310
0.050000,22.418660,10.573873,17.749967,2.191357,-12.130257,-21.193606,1.542792
0.050000,22.420278,10.651395,17.827506,1.550788,-12.811394,-13.622731,1.556926
0.050000,22.420739,10.698717,17.874830,0.946480,-12.086147,14.504931,1.565158
0.050000,22.420825,10.722407,17.898520,0.473793,-9.453744,52.648064,1.569173
0.050000,22.420832,10.730732,17.906846,0.166516,-6.145541,66.164062,1.570568
0.050000,22.420833,10.732098,17.908211,0.027315,-2.784027,67.230280,1.570796
0.050000,22.420833,10.732098,17.908211,0.000000,-0.546291,44.754726,1.570796
