dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.798210,2.154236,0.000395,0.039474,1.973684,98.684211,1.518299
0.020000,11.798210,2.154236,0.001974,0.118421,3.947368,98.684211,1.518089
0.020000,11.798210,2.154236,0.005526,0.236842,5.921053,98.684211,1.517615
0.020000,11.798210,2.154236,0.011842,0.394737,7.894737,98.684211,1.516772
0.020000,11.798210,2.154236,0.021711,0.592105,9.868421,98.684211,1.515452
0.020000,11.798946,2.167285,0.035921,0.828947,11.842105,98.684211,1.513543
0.020000,11.800078,2.186594,0.055263,1.105263,13.815789,98.684211,1.510928
0.020000,11.801633,2.211809,0.080526,1.421053,15.789474,98.684211,1.507483
0.020000,11.803699,2.243313,0.112105,1.736842,15.789474,0.000000,1.503127
0.020000,11.806362,2.281121,0.150000,2.052632,15.789474,0.000000,1.497825
0.020000,11.809724,2.325203,0.194211,2.368421,15.789474,-0.000000,1.491536
0.020000,11.813908,2.375550,0.244737,2.684211,15.789474,0.000000,1.484210
0.020000,11.819061,2.432164,0.301579,3.000000,15.789474,0.000000,1.475784
0.020000,11.825353,2.495007,0.364737,3.315789,15.789474,0.000000,1.466190
0.020000,11.832980,2.564060,0.434211,3.631579,15.789474,0.000000,1.455344
0.020000,11.842167,2.639286,0.510000,3.947368,15.789474,0.000000,1.443153
0.020000,11.853170,2.720648,0.592105,4.263158,15.789474,0.000000,1.429506
0.020000,11.866285,2.808095,0.680526,4.578947,15.789474,0.000000,1.414278
0.020000,11.881838,2.901539,0.775263,4.894737,15.789474,-0.000000,1.397330
0.020000,11.900134,3.000520,0.875921,5.171053,13.815789,-98.684211,1.378573
0.020000,11.921404,3.104151,0.981711,5.407895,11.842105,-98.684211,1.357997
0.020000,11.945857,3.211529,1.091842,5.605263,9.868421,-98.684211,1.335600
0.020000,11.973675,3.321755,1.205526,5.763158,7.894737,-98.684211,1.311396
0.020000,12.004990,3.433909,1.321974,5.881579,5.921053,-98.684211,1.285426
0.020000,12.039882,3.547065,1.440395,5.960526,3.947368,-98.684211,1.257762
0.020000,12.078360,3.660306,1.560000,6.000000,1.973684,-98.684211,1.228512
0.020000,12.120352,3.772715,1.680000,6.000000,0.000000,-98.684211,1.197830
0.020000,12.165846,3.883750,1.800000,6.000000,0.000000,0.000000,1.165818
0.020000,12.214942,3.993239,1.920000,6.000000,0.000000,0.000000,1.132499
0.020000,12.267728,4.101002,2.040000,6.000000,0.000000,0.000000,1.097918
0.020000,12.324270,4.206837,2.160000,6.000000,0.000000,0.000000,1.062149
