dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.736915,2.104916,0.000360,0.036000,1.800000,90.000000,1.518304
0.020000,12.736906,2.104736,0.000540,0.009019,-1.349061,-157.453029,1.518112
0.020000,12.736884,2.104330,0.000946,0.020304,0.564238,95.664915,1.517680
0.020000,12.736846,2.103608,0.001669,0.036134,0.791510,11.363591,1.516911
0.020000,12.736784,2.102479,0.002800,0.056558,1.021205,11.484753,1.515708
0.020000,12.737231,2.110425,0.010759,0.397943,17.069242,802.401860,1.514016
0.020000,12.738049,2.124542,0.024900,0.707045,15.455096,-80.707288,1.511832
0.020000,12.739090,2.141778,0.042167,0.863350,7.815272,-381.991185,1.509142
0.020000,12.740378,2.162124,0.062553,1.019320,7.798479,-0.839658,1.505935
0.020000,12.741945,2.185563,0.086045,1.174563,7.762161,-1.815893,1.502196
0.020000,12.743823,2.212069,0.112618,1.328658,7.704733,-2.871394,1.497909
0.020000,12.746052,2.241618,0.142250,1.481631,7.648684,-2.802450,1.493056
0.020000,12.748679,2.274196,0.174935,1.634203,7.628608,-1.003813,1.487612
0.020000,12.751753,2.309770,0.210641,1.785335,7.556562,-3.602306,1.481553
0.020000,12.755331,2.348303,0.249339,1.934900,7.478280,-3.914100,1.474850
0.020000,12.759474,2.389753,0.290996,2.082845,7.397257,-4.051170,1.467472
0.020000,12.764253,2.434098,0.335598,2.230069,7.361201,-1.802763,1.459378
0.020000,12.769739,2.481258,0.383076,2.373930,7.193030,-8.408588,1.450535
0.020000,12.776018,2.531204,0.433415,2.516927,7.149854,-2.158779,1.440891
0.020000,12.783177,2.583858,0.486553,2.656938,7.000566,-7.464421,1.430402
0.020000,12.791311,2.639153,0.542443,2.794491,6.877641,-6.146237,1.419010
0.020000,12.800526,2.697015,0.601035,2.929564,6.753655,-6.199289,1.406654
0.020000,12.810930,2.757340,0.662250,3.060791,6.561314,-9.617078,1.393271
0.020000,12.822645,2.820036,0.726031,3.189045,6.412707,-7.430349,1.378787
0.020000,12.835798,2.884993,0.792307,3.313791,6.237323,-8.769170,1.363121
0.020000,12.850525,2.952081,0.860992,3.434236,6.022237,-10.754323,1.346188
0.020000,12.866966,3.021153,0.931994,3.550115,5.793981,-11.412798,1.327897
0.020000,12.885275,3.092059,1.005226,3.661596,5.574051,-10.996468,1.308147
0.020000,12.905612,3.164631,1.080593,3.768353,5.337807,-11.812213,1.286834
0.020000,12.928140,3.238672,1.157986,3.869626,5.063643,-13.708182,1.263849
0.020000,12.953032,3.313981,1.237302,3.965804,4.808931,-12.735620,1.239081
0.020000,12.980465,3.390335,1.318434,4.056621,4.540828,-13.405157,1.212416
0.020000,13.010623,3.467495,1.401279,4.142249,4.281432,-12.969820,1.183749
0.020000,13.043698,3.545225,1.485753,4.223697,4.072383,-10.452431,1.152977
0.020000,13.079880,3.623260,1.571768,4.300763,3.853300,-10.954143,1.120019
0.020000,13.119372,3.701345,1.659271,4.375161,3.719919,-6.669028,1.084818
0.020000,13.162384,3.779228,1.748242,4.448534,3.668648,-2.563553,1.047346
0.020000,13.209136,3.856663,1.838696,4.522707,3.708640,1.999597,1.007625
0.020000,13.259870,3.933427,1.930711,4.600718,3.900541,9.595036,0.965729
0.020000,13.314842,4.009310,2.024413,4.685138,4.220986,16.022262,0.921805
0.020000,13.374342,4.084135,2.120012,4.779925,4.739361,25.918710,0.876068
0.020000,13.438688,4.157746,2.217781,4.888471,5.427325,34.398236,0.828813
0.020000,13.508228,4.230007,2.318068,5.014352,6.294046,43.336042,0.780407
0.020000,13.583338,4.300791,2.421277,5.160423,7.303555,50.475440,0.731278
0.020000,13.664405,4.369972,2.527850,5.328656,8.411621,55.403299,0.681899
0.020000,13.751815,4.437411,2.638251,5.520073,9.570862,57.962071,0.632765
0.020000,13.845928,4.502954,2.752938,5.734333,10.712976,57.105705,0.584359
0.020000,13.947059,4.566424,2.872337,5.969936,11.780184,53.360357,0.537135
0.020000,14.055460,4.627631,2.996824,6.224350,12.720668,47.024237,0.491495
0.020000,14.171306,4.686375,3.126713,6.494461,13.505548,39.244012,0.447771
0.020000,14.294430,4.742352,3.261964,6.762553,13.404637,-5.045563,0.406305
0.020000,14.424280,4.795201,3.402157,7.009644,12.354532,-52.505255,0.367414
0.020000,14.560163,4.844653,3.546759,7.230100,11.022779,-66.587643,0.331296
0.020000,14.701272,4.890535,3.695140,7.419073,9.448692,-78.704350,0.298049
0.020000,14.846714,4.932764,3.846589,7.572418,7.667236,-89.072802,0.267682
0.020000,14.995845,4.971420,4.000648,7.702950,6.526588,-57.032431,0.240090
0.020000,15.148314,5.006694,4.157145,7.824850,6.095007,-21.579048,0.215092
0.020000,15.303806,5.038794,4.315915,7.938505,5.682750,-20.612853,0.192509
0.020000,15.462027,5.067935,4.476797,8.044102,5.279857,-20.144646,0.172174
0.020000,15.622717,5.094340,4.639642,8.142258,4.907791,-18.603259,0.153926
0.020000,15.785648,5.118232,4.804316,8.233676,4.570890,-16.845080,0.137623
0.020000,15.950617,5.139837,4.970694,8.318916,4.262012,-15.443909,0.123134
0.020000,16.117450,5.159376,5.138667,8.398650,3.986695,-13.765856,0.110341
0.020000,16.285996,5.177072,5.308139,8.473611,3.748067,-11.931396,0.099142
0.020000,16.456126,5.193140,5.479027,8.544375,3.538210,-10.492832,0.089448
0.020000,16.627730,5.207795,5.651255,8.611403,3.351361,-9.342434,0.081181
0.020000,16.800717,5.221248,5.824764,8.675455,3.202632,-7.436456,0.074275
0.020000,16.975010,5.233707,5.999502,8.736912,3.072854,-6.488926,0.068678
0.020000,17.150549,5.245381,6.175429,8.796337,2.971255,-5.079956,0.064344
0.020000,17.327284,5.256475,6.352512,8.854163,2.891294,-3.998055,0.061241
0.020000,17.505179,5.267196,6.530730,8.910887,2.836204,-2.754469,0.059345
0.020000,17.684206,5.277752,6.710068,8.966900,2.800612,-1.779601,0.058641
0.020000,17.864348,5.288353,6.890521,9.022671,2.788552,-0.603014,0.059123
0.020000,18.045595,5.299216,7.072094,9.078620,2.797474,0.446104,0.060795
0.020000,18.227946,5.310561,7.254797,9.135157,2.826851,1.468866,0.063671
0.020000,18.411405,5.322617,7.438652,9.192745,2.879371,2.625979,0.067772
0.020000,18.595984,5.335623,7.623688,9.251825,2.954000,3.731461,0.073130
0.020000,18.781698,5.349830,7.809945,9.312855,3.051539,4.876933,0.079786
0.020000,18.968569,5.365504,7.997472,9.376330,3.173742,6.110166,0.087794
