dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554161,5.325743,0.004762,0.190476,3.809524,76.190476,0.000088
0.050000,0.571156,5.325739,0.021757,0.339907,2.988618,-16.418126,6.282661
0.050000,0.615487,5.325685,0.066088,0.886614,10.934134,158.910335,6.281303
0.050000,0.689306,5.325464,0.139908,1.476392,11.795566,17.228638,6.279099
0.050000,0.792516,5.324889,0.243119,2.064224,11.756647,-0.778387,6.276139
0.050000,0.924977,5.323715,0.375585,2.649333,11.702165,-1.089630,6.272549
0.050000,1.086511,5.321664,0.537132,3.230941,11.632161,-1.400078,6.268490
0.050000,1.276898,5.318446,0.727546,3.808276,11.546699,-1.709241,6.264158
0.050000,1.495877,5.313788,0.946575,4.380569,11.445871,-2.016564,6.259787
0.050000,1.743149,5.307471,1.193928,4.947059,11.329786,-2.321712,6.255643
0.050000,2.018379,5.299367,1.469277,5.506985,11.198521,-2.625299,6.252030
0.050000,2.321197,5.289480,1.772256,6.059590,11.052114,-2.928141,6.249283
0.050000,2.651203,5.277996,2.102462,6.604113,10.890450,-3.233267,6.247777
0.050000,3.007967,5.265329,2.459451,7.139776,10.713258,-3.543852,6.247919
0.050000,3.386315,5.252329,2.838022,7.571426,8.633014,-41.604875,6.250114
0.050000,3.776474,5.240227,3.228369,7.806929,4.710049,-78.459291,6.254622
0.050000,4.168882,5.230288,3.620902,7.850676,0.874949,-76.702016,6.261502
0.050000,4.558821,5.223552,4.010900,7.799944,-1.014645,-37.791865,6.270720
0.050000,4.946267,5.220883,4.398355,7.749112,-1.016641,-0.039931,6.282280
0.050000,5.331173,5.223132,4.783268,7.698254,-1.017164,-0.010457,0.012997
0.050000,5.713465,5.231129,5.165643,7.647508,-1.014910,0.045086,0.029237
0.050000,6.093041,5.245679,5.545498,7.597094,-1.008294,0.132321,0.047799
0.050000,6.469772,5.267564,5.922864,7.547318,-0.995516,0.255565,0.068654
0.050000,6.843501,5.297529,6.297793,7.498585,-0.974665,0.417005,0.091753
0.050000,7.214051,5.336280,6.670363,7.451397,-0.943758,0.618150,0.117025
0.050000,7.581218,5.384475,7.040680,7.406349,-0.900959,0.855972,0.144371
0.050000,7.942259,5.442044,7.406282,7.312027,-1.886439,-19.709600,0.168490
0.050000,8.324182,5.509195,7.794063,7.755632,8.872106,215.170895,0.179750
0.050000,8.704352,5.580633,8.180887,7.736468,-0.383276,-185.107634,0.191892
0.050000,9.082642,5.656659,8.566741,7.717083,-0.387713,-0.088735,0.204927
0.050000,9.458915,5.737574,8.951616,7.697505,-0.391544,-0.076627,0.218864
0.050000,9.833024,5.823674,9.335505,7.677779,-0.394532,-0.059764,0.233709
0.050000,10.204810,5.915251,9.718403,7.657957,-0.396426,-0.037865,0.249468
0.050000,10.574102,6.012592,10.100308,7.638109,-0.396972,-0.010933,0.266141
0.050000,10.940720,6.115974,10.481224,7.618315,-0.395873,0.021978,0.283726
0.050000,11.304473,6.225670,10.861158,7.598673,-0.392835,0.060769,0.302215
0.050000,11.665162,6.341936,11.240123,7.579295,-0.387560,0.105508,0.321597
0.050000,12.022578,6.465018,11.618138,7.560306,-0.379786,0.155471,0.341853
0.050000,12.376506,6.595148,11.995230,7.541846,-0.369211,0.211503,0.362960
0.050000,12.723217,6.731119,12.367650,7.448402,-1.868875,-29.993289,0.384661
0.050000,13.055040,6.869640,12.727226,7.191509,-5.137850,-65.379489,0.406388
0.050000,13.364038,7.006474,13.065165,6.758788,-8.654430,-70.331603,0.427467
0.050000,13.646056,7.138348,13.376493,6.226555,-10.644657,-39.804551,0.447418
0.050000,13.901123,7.263674,13.660686,5.683868,-10.853740,-4.181659,0.466046
0.050000,14.129894,7.381212,13.917886,5.143985,-10.797668,1.121442,0.483221
0.050000,14.333004,7.489812,14.148207,4.606420,-10.751296,0.927452,0.498836
0.050000,14.511055,7.588429,14.351743,4.070730,-10.713797,0.749976,0.512804
0.050000,14.664602,7.676125,14.528569,3.536523,-10.684149,0.592952,0.525058
0.050000,14.794150,7.752081,14.678742,3.003464,-10.661162,0.459740,0.535544
0.050000,14.900140,7.815596,14.802306,2.471272,-10.643856,0.346131,0.544223
0.050000,14.982942,7.866094,14.899292,1.939712,-10.631191,0.253294,0.551064
0.050000,15.042854,7.903120,14.969722,1.408605,-10.622151,0.180793,0.556047
0.050000,15.080095,7.926345,15.013611,0.877792,-10.616244,0.118147,0.559158
0.050000,15.097971,7.937549,15.034708,0.421938,-9.117090,29.983076,0.560656
0.050000,15.103448,7.940990,15.041176,0.129357,-5.851611,65.309579,0.561115
0.050000,15.104025,7.941353,15.041858,0.013644,-2.314255,70.747133,0.561163
0.050000,15.104025,7.941353,15.041858,0.000000,-0.272890,40.827301,0.561163
