dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554256,4.240743,0.004762,0.190476,3.809524,76.190476,0.000088
0.050000,0.570587,4.240739,0.023810,0.571429,7.619048,76.190476,6.282661
0.050000,0.613444,4.240687,0.066667,1.142857,11.428571,76.190476,6.281303
0.050000,0.684872,4.240473,0.138095,1.714286,11.428571,0.000000,6.279099
0.050000,0.784871,4.239916,0.238095,2.285714,11.428571,-0.000000,6.276139
0.050000,0.913437,4.238776,0.366667,2.857143,11.428571,0.000000,6.272549
0.050000,1.070567,4.236781,0.523810,3.428571,11.428571,0.000000,6.268490
0.050000,1.256255,4.233642,0.709524,4.000000,11.428571,-0.000000,6.264158
0.050000,1.470492,4.229085,0.923810,4.571429,11.428571,0.000000,6.259787
0.050000,1.713269,4.222883,1.166667,5.142857,11.428571,0.000000,6.255643
0.050000,1.984580,4.214893,1.438095,5.714286,11.428571,-0.000000,6.252030
0.050000,2.284420,4.205104,1.738095,6.285714,11.428571,0.000000,6.249283
0.050000,2.612793,4.193676,2.066667,6.857143,11.428571,0.000000,6.247777
0.050000,2.969711,4.181004,2.423810,7.428571,11.428571,-0.000000,6.247919
0.050000,3.350439,4.167922,2.804762,7.809524,7.619048,-76.190476,6.250114
0.050000,3.745486,4.155669,3.200000,8.000000,3.809524,-76.190476,6.254622
0.050000,4.145357,4.145543,3.600000,8.000000,0.000000,-76.190476,6.261502
0.050000,4.545296,4.138636,4.000000,8.000000,0.000000,0.000000,6.270720
0.050000,4.945285,4.135884,4.400000,8.000000,0.000000,0.000000,6.282280
0.050000,5.345275,4.138224,4.800000,8.000000,0.000000,0.000000,0.012997
0.050000,5.745183,4.146592,5.200000,8.000000,0.000000,0.000000,0.029237
0.050000,6.144883,4.161919,5.600000,8.000000,0.000000,0.000000,0.047799
0.050000,6.544202,4.185120,6.000000,8.000000,0.000000,0.000000,0.068654
0.050000,6.942914,4.217093,6.400000,8.000000,0.000000,0.000000,0.091753
0.050000,7.340733,4.258701,6.800000,8.000000,0.000000,0.000000,0.117025
0.050000,7.737318,4.310763,7.200000,8.000000,0.000000,0.000000,0.144371
0.050000,8.124207,4.372409,7.600000,8.000000,0.000000,0.000000,0.168490
0.050000,8.518162,4.441676,8.000000,8.000000,0.000000,0.000000,0.179750
0.050000,8.911279,4.515548,8.400000,8.000000,0.000000,0.000000,0.191892
0.050000,9.303434,4.594362,8.800000,8.000000,0.000000,0.000000,0.204927
0.050000,9.694491,4.678457,9.200000,8.000000,0.000000,0.000000,0.218864
0.050000,10.084297,4.768171,9.600000,8.000000,0.000000,0.000000,0.233709
0.050000,10.472684,4.863838,10.000000,8.000000,0.000000,0.000000,0.249468
0.050000,10.859468,4.965791,10.400000,8.000000,0.000000,0.000000,0.266141
0.050000,11.244448,5.074354,10.800000,8.000000,0.000000,0.000000,0.283726
0.050000,11.627408,5.189842,11.200000,8.000000,0.000000,0.000000,0.302215
0.050000,12.008111,5.312561,11.600000,8.000000,0.000000,0.000000,0.321597
0.050000,12.386307,5.442802,12.000000,8.000000,0.000000,0.000000,0.341853
0.050000,12.761727,5.580836,12.400000,8.000000,0.000000,0.000000,0.362960
0.050000,13.130358,5.725405,12.795973,7.838914,-3.221727,-64.434548,0.384661
0.050000,13.483934,5.873008,13.179129,7.487351,-7.031251,-76.190476,0.406388
0.050000,13.813843,6.019103,13.539946,6.945312,-10.840775,-76.190476,0.427467
0.050000,14.115469,6.160148,13.872926,6.373884,-11.428571,-11.755928,0.447418
0.050000,14.388675,6.294387,14.177334,5.802455,-11.428571,0.000000,0.466046
0.050000,14.634021,6.420441,14.453171,5.231027,-11.428571,0.000000,0.483221
0.050000,14.852072,6.537030,14.700437,4.659598,-11.428571,-0.000000,0.498836
0.050000,15.043380,6.642990,14.919131,4.088169,-11.428571,0.000000,0.512804
0.050000,15.208473,6.737280,15.109254,3.516741,-11.428571,0.000000,0.525058
0.050000,15.347836,6.818990,15.270805,2.945312,-11.428571,-0.000000,0.535544
0.050000,15.461902,6.887346,15.403785,2.373884,-11.428571,0.000000,0.544223
0.050000,15.551041,6.941709,15.508194,1.802455,-11.428571,0.000000,0.551064
0.050000,15.615552,6.981577,15.584031,1.231027,-11.428571,-0.000000,0.556047
0.050000,15.655658,7.006588,15.631296,0.659598,-11.428571,0.000000,0.559158
0.050000,15.674910,7.018656,15.654018,0.249256,-8.206844,64.434548,0.560656
0.050000,15.680809,7.022361,15.660984,0.029390,-4.397320,76.190476,0.561115
0.050000,15.681431,7.022752,15.661719,0.000000,-0.587796,76.190476,0.561163
0.050000,15.681431,7.022752,15.661719,0.000000,0.000000,11.755928,0.561163
