dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554351,3.155743,0.004762,0.190476,3.809524,76.190476,0.000088
0.050000,0.570018,3.155739,0.020429,0.313336,2.457194,-27.046592,6.282661
0.050000,0.611401,3.155689,0.061812,0.827672,10.286719,156.590488,6.281303
0.050000,0.680438,3.155482,0.130850,1.380750,11.061565,15.496918,6.279099
0.050000,0.777226,3.154942,0.227639,1.935774,11.100482,0.778350,6.276139
0.050000,0.901897,3.153838,0.352315,2.493522,11.154952,1.089395,6.272549
0.050000,1.054623,3.151898,0.505053,3.054769,11.224949,1.399937,6.268490
0.050000,1.235612,3.148839,0.686068,3.620290,11.310412,1.709272,6.264158
0.050000,1.445107,3.144382,0.895610,4.190852,11.411251,2.016775,6.259787
0.050000,1.683390,3.138294,1.133971,4.767220,11.527360,2.322183,6.255643
0.050000,1.950782,3.130420,1.401479,5.350152,11.658639,2.625570,6.252030
0.050000,2.247644,3.120727,1.698499,5.940406,11.805074,2.928698,6.249283
0.050000,2.574383,3.109357,2.025436,6.538743,11.966744,3.233408,6.247777
0.050000,2.931455,3.096678,2.382733,7.145939,12.143909,3.543304,6.247919
0.050000,3.314562,3.083516,2.766066,7.666666,10.414545,-34.587293,6.250114
0.050000,3.714499,3.071112,3.166196,8.002582,6.718315,-73.924582,6.254622
0.050000,4.121833,3.060798,3.573660,8.149292,2.934206,-75.682186,6.261502
0.050000,4.531772,3.053720,3.983660,8.199999,1.014150,-38.401126,6.270720
0.050000,4.944302,3.050884,4.396200,8.250799,1.015984,0.036692,6.282280
0.050000,5.359376,3.053316,4.811281,8.301617,1.016371,0.007733,0.012997
0.050000,5.776900,3.062056,5.228897,8.352316,1.013968,-0.048062,0.029237
0.050000,6.196725,3.078158,5.649030,8.402676,1.007209,-0.135183,0.047799
0.050000,6.618633,3.102676,6.071650,8.452392,0.994317,-0.257839,0.068654
0.050000,7.042326,3.136657,6.496703,8.501059,0.973339,-0.419568,0.091753
0.050000,7.467415,3.181122,6.924112,8.548176,0.942345,-0.619880,0.117025
0.050000,7.893417,3.237051,7.353769,8.593152,0.899512,-0.856660,0.144371
0.050000,8.306155,3.302773,7.771707,8.358758,-4.687863,-111.747488,0.168490
0.050000,8.712141,3.374157,8.183921,8.244283,-2.289509,47.967075,0.179750
0.050000,9.118206,3.450463,8.597093,8.263433,0.382993,53.450038,0.191892
0.050000,9.524227,3.532065,9.011233,8.282804,0.387423,0.088613,0.204927
0.050000,9.930067,3.619340,9.426352,8.302365,0.391224,0.076019,0.218864
0.050000,10.335570,3.712668,9.842455,8.322074,0.394184,0.059201,0.233709
0.050000,10.740558,3.812426,10.259549,8.341877,0.396061,0.037536,0.249468
0.050000,11.144834,3.918991,10.677634,8.361706,0.396571,0.010185,0.266141
0.050000,11.548177,4.032733,11.096708,8.381478,0.395446,-0.022495,0.283726
0.050000,11.950342,4.154015,11.516763,8.401098,0.392394,-0.061031,0.302215
0.050000,12.351060,4.283187,11.937786,8.420454,0.387123,-0.105434,0.321597
0.050000,12.750035,4.420585,12.359757,8.439420,0.379314,-0.156164,0.341853
0.050000,13.146949,4.566524,12.782650,8.457857,0.368744,-0.211400,0.362960
0.050000,13.537498,4.719690,13.202160,8.390201,-1.353124,-34.437371,0.384661
0.050000,13.912828,4.876377,13.608882,8.134453,-5.114957,-75.236661,0.406388
0.050000,14.263648,5.031733,13.992563,7.673607,-9.216919,-82.039234,0.427467
0.050000,14.584883,5.181948,14.347184,7.092419,-11.623751,-48.136649,0.447418
0.050000,14.876228,5.325100,14.671799,6.492295,-12.002493,-7.574837,0.466046
0.050000,15.138149,5.459670,14.966267,5.889360,-12.058689,-1.123908,0.483221
0.050000,15.371140,5.584248,15.230472,5.284104,-12.105129,-0.928816,0.498836
0.050000,15.575706,5.697551,15.464320,4.676967,-12.142737,-0.752143,0.512804
0.050000,15.752344,5.798435,15.667737,4.068339,-12.172556,-0.596380,0.525058
0.050000,15.901521,5.885900,15.840665,3.458560,-12.195584,-0.460564,0.535544
0.050000,16.023664,5.959096,15.983060,2.847908,-12.213030,-0.348929,0.544223
0.050000,16.119140,6.017324,16.094891,2.236615,-12.225867,-0.256731,0.551064
0.050000,16.188251,6.060035,16.176135,1.624874,-12.234816,-0.178981,0.556047
0.050000,16.231222,6.086832,16.226776,1.012832,-12.240857,-0.120823,0.559158
0.050000,16.251850,6.099762,16.251122,0.486919,-10.518246,34.452211,0.560656
0.050000,16.258171,6.103733,16.258587,0.149288,-6.752620,75.312518,0.561115
0.050000,16.258837,6.104152,16.259374,0.015747,-2.670823,81.635954,0.561163
0.050000,16.258837,6.104152,16.259374,0.000000,-0.314940,47.117647,0.561163
