Delta Time, Position, X Point, Y Point, Velocity, Acceleration, Jerk, Heading, 
50, 0.000301, 19.999790, 19.750000, 0.012039, 0.240782, 4.815642, 3.141604, 
50, 0.001458, 19.998633, 19.750000, 0.023138, 0.221973, -0.376182, 3.141667, 
50, 0.004061, 19.996030, 19.750000, 0.052057, 0.578395, 7.128431, 3.141808, 
50, 0.008688, 19.991403, 19.749998, 0.092538, 0.809614, 4.624395, 3.142060, 
50, 0.015916, 19.984174, 19.749993, 0.144569, 1.040622, 4.620146, 3.142454, 
50, 0.026323, 19.973768, 19.749981, 0.208133, 1.271279, 4.613150, 3.143026, 
50, 0.040483, 19.959608, 19.749955, 0.283204, 1.501412, 4.602667, 3.143809, 
50, 0.058970, 19.941120, 19.749905, 0.369744, 1.730807, 4.587901, 3.144843, 
50, 0.082355, 19.917735, 19.749813, 0.467705, 1.959206, 4.567971, 3.146168, 
50, 0.111206, 19.888885, 19.749658, 0.577020, 2.186300, 4.541883, 3.147831, 
50, 0.146087, 19.854006, 19.749404, 0.697606, 2.411724, 4.508475, 3.149881, 
50, 0.187555, 19.812539, 19.749009, 0.829358, 2.635042, 4.466370, 3.152379, 
50, 0.235874, 19.764223, 19.748416, 0.966396, 2.740767, 2.114494, 3.155371, 
50, 0.291017, 19.709087, 19.747560, 1.102855, 2.729181, -0.231721, 3.158898, 
50, 0.352949, 19.647167, 19.746362, 1.238628, 2.715462, -0.274382, 3.163004, 
50, 0.421628, 19.578507, 19.744730, 1.373598, 2.699384, -0.321555, 3.167743, 
50, 0.497010, 19.503157, 19.742555, 1.507631, 2.680670, -0.374275, 3.173179, 
50, 0.579039, 19.421177, 19.739713, 1.640580, 2.658981, -0.433782, 3.179382, 
50, 0.667653, 19.332639, 19.736055, 1.772275, 2.633903, -0.501567, 3.186437, 
50, 0.762779, 19.237626, 19.731414, 1.902522, 2.604932, -0.579419, 3.194440, 
50, 0.864334, 19.136238, 19.725595, 2.031095, 2.571458, -0.669490, 3.203502, 
50, 0.972220, 19.028593, 19.718374, 2.157732, 2.532740, -0.774357, 3.213753, 
50, 1.086326, 18.914833, 19.709496, 2.282126, 2.487886, -0.897081, 3.225342, 
50, 1.206522, 18.795126, 19.698666, 2.403917, 2.435823, -1.041261, 3.238443, 
50, 1.332656, 18.669676, 19.685551, 2.522681, 2.375271, -1.211038, 3.253257, 
50, 1.464552, 18.538727, 19.669771, 2.637917, 2.304720, -1.411019, 3.270020, 
50, 1.602004, 18.402578, 19.650892, 2.749038, 2.222418, -1.646027, 3.289005, 
50, 1.744503, 18.261854, 19.628471, 2.849975, 2.018739, -4.073584, 3.310490, 
50, 1.891244, 18.117505, 19.602080, 2.934832, 1.697138, -6.432024, 3.334744, 
50, 2.041407, 17.970535, 19.571278, 3.003256, 1.368484, -6.573089, 3.362060, 
50, 2.194156, 17.822005, 19.535630, 3.054968, 1.034255, -6.684577, 3.392748, 
50, 2.348647, 17.673030, 19.494712, 3.089835, 0.697323, -6.738636, 3.427130, 
50, 2.504046, 17.524776, 19.448137, 3.107963, 0.362574, -6.694978, 3.465517, 
50, 2.659538, 17.378440, 19.395567, 3.109844, 0.037606, -6.499364, 3.508191, 
50, 2.814363, 17.235228, 19.336736, 3.096510, -0.266670, -6.085518, 3.555362, 
50, 2.967849, 17.096310, 19.271468, 3.069717, -0.535865, -5.383890, 3.607124, 
50, 3.119453, 16.962777, 19.199687, 3.032071, -0.752925, -4.341208, 3.663399, 
50, 3.268805, 16.835578, 19.121415, 2.987043, -0.900543, -2.952365, 3.723875, 
50, 3.415519, 16.715655, 19.036896, 2.934292, -1.055022, -3.089573, 3.787868, 
50, 3.559437, 16.603682, 18.946484, 2.878354, -1.118764, -1.274849, 3.854387, 
50, 3.700806, 16.499916, 18.850474, 2.827372, -1.019650, 1.982291, 3.922301, 
50, 3.839978, 16.404431, 18.749225, 2.783442, -0.878597, 2.821063, 3.990339, 
50, 3.977315, 16.317166, 18.643176, 2.746753, -0.733780, 2.896330, 4.057216, 
50, 4.113093, 16.237974, 18.532884, 2.715545, -0.624162, 2.192358, 4.121765, 
50, 4.247420, 16.166651, 18.419056, 2.686550, -0.579891, 0.885432, 4.183038, 
50, 4.380206, 16.102943, 18.302551, 2.655725, -0.616508, -0.732348, 4.240354, 
50, 4.511156, 16.046545, 18.184369, 2.618991, -0.734669, -2.363228, 4.293303, 
50, 4.639795, 15.997093, 18.065614, 2.572788, -0.924057, -3.787760, 4.341716, 
50, 4.765513, 15.954168, 17.947452, 2.514350, -1.168774, -4.894341, 4.385604, 
50, 4.887600, 15.917298, 17.831065, 2.441751, -1.451964, -5.663801, 4.425108, 
50, 5.005537, 15.885914, 17.717380, 2.358740, -1.660229, -4.165293, 4.460519, 
50, 5.119036, 15.859394, 17.607023, 2.269976, -1.775278, -2.300987, 4.492218, 
50, 5.227822, 15.837160, 17.500533, 2.175724, -1.885050, -2.195425, 4.520571, 
50, 5.331642, 15.818674, 17.398373, 2.076395, -1.986564, -2.030292, 4.545916, 
50, 5.430266, 15.803445, 17.300932, 1.972480, -2.078302, -1.834757, 4.568558, 
50, 5.523490, 15.791024, 17.208538, 1.864484, -2.159917, -1.632289, 4.588769, 
50, 5.611135, 15.781007, 17.121468, 1.752897, -2.231739, -1.436445, 4.606789, 
50, 5.693044, 15.773032, 17.039948, 1.638175, -2.294453, -1.254279, 4.622826, 
50, 5.769081, 15.766775, 16.964170, 1.520730, -2.348893, -1.088805, 4.637061, 
50, 5.839127, 15.761946, 16.894290, 1.400934, -2.395923, -0.940605, 4.649652, 
50, 5.903083, 15.758292, 16.830438, 1.279115, -2.436371, -0.808946, 4.660733, 
50, 5.960861, 15.755589, 16.772723, 1.155566, -2.470990, -0.692384, 4.670420, 
50, 6.012388, 15.753644, 16.721233, 1.030543, -2.500450, -0.589204, 4.678810, 
50, 6.057602, 15.752289, 16.676039, 0.904277, -2.525331, -0.497613, 4.685986, 
50, 6.096451, 15.751381, 16.637201, 0.776971, -2.546125, -0.415893, 4.692019, 
50, 6.129160, 15.750797, 16.604497, 0.654191, -2.455598, 1.810548, 4.697005, 
50, 6.156238, 15.750435, 16.577422, 0.541548, -2.252864, 4.054686, 4.701070, 
50, 6.178200, 15.750223, 16.555460, 0.439254, -2.045872, 4.139837, 4.704326, 
50, 6.195573, 15.750105, 16.538088, 0.347458, -1.835917, 4.199093, 4.706876, 
50, 6.208887, 15.750044, 16.524774, 0.266275, -1.623671, 4.244918, 4.708815, 
50, 6.218677, 15.750016, 16.514985, 0.195790, -1.409690, 4.279634, 4.710233, 
50, 6.225480, 15.750005, 16.508181, 0.136069, -1.194430, 4.305189, 4.711214, 
50, 6.229838, 15.750001, 16.503824, 0.087155, -0.978268, 4.323246, 4.711840, 
50, 6.232292, 15.750000, 16.501370, 0.049080, -0.761505, 4.335251, 4.712193, 
50, 6.233385, 15.750000, 16.500277, 0.021861, -0.544379, 4.342533, 4.712349, 
50, 6.233660, 15.750000, 16.500001, 0.005508, -0.327063, 4.346319, 4.712389, 
50, 6.233661, 15.750000, 16.500000, 0.000024, -0.109673, 4.347796, 4.712389, 
50, 6.233661, 15.750000, 16.500000, 0.000000, -0.000485, 2.183750, 4.712389, 
