dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.554345,5.325743,0.002474,0.098954,1.979080,39.581597,6.283103
0.050000,0.556629,5.325743,0.004758,0.045681,-1.065455,-60.890703,0.000040
0.050000,0.568778,5.325745,0.016906,0.242968,3.945742,100.223952,0.000243
0.050000,0.585787,5.325751,0.033915,0.340183,1.944299,-40.028859,0.000527
0.050000,0.607658,5.325767,0.055787,0.437426,1.944849,0.010997,0.000890
0.050000,0.634393,5.325796,0.082522,0.534704,1.945559,0.014188,0.001329
0.050000,0.665995,5.325847,0.114123,0.632025,1.946426,0.017353,0.001844
0.050000,0.702464,5.325925,0.150593,0.729398,1.947450,0.020480,0.002432
0.050000,0.743806,5.326039,0.191935,0.826829,1.948633,0.023661,0.003090
0.050000,0.790022,5.326198,0.238151,0.924328,1.949974,0.026808,0.003815
0.050000,0.841117,5.326414,0.289246,1.021902,1.951473,0.029984,0.004604
0.050000,0.897094,5.326695,0.345224,1.119558,1.953130,0.033149,0.005453
0.050000,0.957958,5.327055,0.406089,1.217305,1.954945,0.036289,0.006357
0.050000,1.023714,5.327504,0.471847,1.315151,1.956920,0.039496,0.007312
0.050000,1.094367,5.328056,0.542502,1.413104,1.959052,0.042642,0.008313
0.050000,1.169923,5.328724,0.618060,1.511171,1.961342,0.045813,0.009356
0.050000,1.250387,5.329520,0.698529,1.609361,1.963792,0.048991,0.010433
0.050000,1.335766,5.330459,0.783913,1.707681,1.966400,0.052154,0.011540
0.050000,1.426066,5.331552,0.874219,1.806139,1.969166,0.055329,0.012669
0.050000,1.521295,5.332814,0.969457,1.904743,1.972091,0.058490,0.013815
0.050000,1.621459,5.334256,1.069632,2.003502,1.975174,0.061660,0.014969
0.050000,1.726568,5.335890,1.174753,2.102423,1.978415,0.064822,0.016125
0.050000,1.836628,5.337729,1.284829,2.201513,1.981814,0.067982,0.017275
0.050000,1.951649,5.339782,1.399868,2.300782,1.985371,0.071137,0.018411
0.050000,2.071639,5.342059,1.519879,2.400236,1.989085,0.074297,0.019523
